Departures_from_Sultanpur_Lodi/SQR Amritsar_Raja_Sansi_Airport/ATQ:_71_km
Departures_from_Lohian_Khas_Junction/LNK Amritsar_Raja_Sansi_Airport/ATQ:_75_km
Departures_from_Makhu/MXH Amritsar_Raja_Sansi_Airport/ATQ:_73_km
Departures_from_Mallanwala_Khas/MWX Amritsar_Raja_Sansi_Airport/ATQ:_77_km
Departures_from_Firozpur_Cantt./FZR Bhatinda__Airport/BUP:_80_km
Departures_from_Faridkot/FDK Bhatinda__Airport/BUP:_48_km
Departures_from_Kot_Kapura_Junction/KKP Bhatinda__Airport/BUP:_37_km
Departures_from_Gangsar_Jaitu/GJUT Bhatinda__Airport/BUP:_25_km
Departures_from_Bathinda_Junction/BTI Bhatinda__Airport/BUP:_19_km
Departures_from_Mandi_Dabwali/MBY Bhatinda__Airport/BUP:_36_km
Departures_from_Sangaria/SGRA Bhatinda__Airport/BUP:_63_km
Departures_from_Hanumangarh_Junction/HMH Bhatinda__Airport/BUP:_90_km
Departures_from_Pili_Bangan/PGK Bhatinda__Airport/BUP:_115_km
Departures_from_Suratgarh_Junction/SOG Bhatinda__Airport/BUP:_141_km
Departures_from_Lunkaransar/LKS Bikaner__Airport/BKB:_70_km
Departures_from_Lalgarh_Junction/LGH Bikaner__Airport/BKB:_3_km
Departures_from_Bikaner_Junction/BKN Bikaner__Airport/BKB:_2_km
Departures_from_Deshnoke/DSO Bikaner__Airport/BKB:_26_km
Departures_from_Garhnokha/NOK Bikaner__Airport/BKB:_57_km
Departures_from_Nagaur/NGO Bikaner__Airport/BKB:_105_km
Departures_from_Marwar_Mundwa/MDW Bikaner__Airport/BKB:_123_km
Departures_from_Merta_Road_Junction/MTD Jodhpur__Airport/JDH:_107_km
Departures_from_Gotan/GOTN Jodhpur__Airport/JDH:_86_km
Departures_from_Pipar_Road_Junction/PPR Jodhpur__Airport/JDH:_48_km
Departures_from_Raika_Bagh/RKB Jodhpur__Airport/JDH:_5_km
Departures_from_Jodhpur_Junction/JU Jodhpur__Airport/JDH:_5_km
Departures_from_Luni_Junction/LUNI Jodhpur__Airport/JDH:_29_km
