Departures_from_Badnera_Junction/BD Akola__Airport/AKD:_76_km
Departures_from_Murtizapur/MZR Akola__Airport/AKD:_32_km
Departures_from_Akola_Junction/AK Akola__Airport/AKD:_7_km
Departures_from_Shegaon/SEG Akola__Airport/AKD:_41_km
Departures_from_Jalamb_Junction/JM Akola__Airport/AKD:_55_km
Departures_from_Nandura/NN Akola__Airport/AKD:_67_km
Departures_from_Malkapur/MKU Akola__Airport/AKD:_96_km
Departures_from_Bhusaval_Junction/BSL Akola__Airport/AKD:_144_km
Departures_from_Dharangaon/DXG Aurangabad_Chikalthan_Airport/IXU:_134_km
Departures_from_Dondaicha/DDE Nasik_Gandhi_Nagar_Airport/ISK:_158_km
Departures_from_Navapur/NWU Surat__Airport/STV:_105_km
Departures_from_Vyara/VYA Surat__Airport/STV:_60_km
Departures_from_Madhi/MID Surat__Airport/STV:_45_km
Departures_from_Bardoli/BIY Surat__Airport/STV:_30_km
Departures_from_Udhna_Junction/UDN Surat__Airport/STV:_2_km
Departures_from_Maninagar/MAN Ahmedabad_Sardar_Patel_Airport/AMD:_9_km
Departures_from_Puri/PURI Bhubaneswar__Airport/BBI:_52_km
Departures_from_Sakhi_Gopal/SIL Bhubaneswar__Airport/BBI:_36_km
Departures_from_Khurda_Road_Junction/KUR Bhubaneswar__Airport/BBI:_17_km
Departures_from_Kalupara_Ghat/KAPG Bhubaneswar__Airport/BBI:_61_km
Departures_from_Balugaon/BALU Bhubaneswar__Airport/BBI:_90_km
Departures_from_Khallikot/KIT Bhubaneswar__Airport/BBI:_106_km
Departures_from_Chatrapur/CAP Bhubaneswar__Airport/BBI:_140_km
Departures_from_Brahmapur/BAM Bhubaneswar__Airport/BBI:_158_km
Departures_from_Palasa/PSA Visakhapatnam_Visakhapatnam_Airport/VTZ:_180_km
Departures_from_Srikakulam_Road/CHE Visakhapatnam_Visakhapatnam_Airport/VTZ:_110_km
Departures_from_Vizianagaram_Junction/VZM Visakhapatnam_Visakhapatnam_Airport/VTZ:_49_km
Departures_from_Bobbili/VBL Visakhapatnam_Visakhapatnam_Airport/VTZ:_101_km
Departures_from_Parvatipuram_Town/PVPT Visakhapatnam_Visakhapatnam_Airport/VTZ:_126_km
Departures_from_Rayagada/RGDA Visakhapatnam_Visakhapatnam_Airport/VTZ:_171_km
Departures_from_Muniguda/MNGD Visakhapatnam_Visakhapatnam_Airport/VTZ:_224_km
Departures_from_Kesinga/KSNG Raipur__Airport/RPR:_199_km
Departures_from_Titlagarh_Junction/TIG Raipur__Airport/RPR:_186_km
Departures_from_Kantabanji/KBJ Raipur__Airport/RPR:_152_km
Departures_from_Khariar_Road/KRAR Raipur__Airport/RPR:_91_km
Departures_from_Bagbahra/BGBR Raipur__Airport/RPR:_72_km
Departures_from_Mahasamund/MSMD Raipur__Airport/RPR:_40_km
Departures_from_Bhubaneswar/BBS Bhubaneswar__Airport/BBI:_3_km
Departures_from_Dhenkanal/DNKL Bhubaneswar__Airport/BBI:_55_km
Departures_from_Talcher/TLHR Bhubaneswar__Airport/BBI:_104_km
Departures_from_Angul/ANGL Bhubaneswar__Airport/BBI:_106_km
Departures_from_Boinda/BONA Bhubaneswar__Airport/BBI:_140_km
Departures_from_Rairakhol/RAIR Bhubaneswar__Airport/BBI:_187_km
Departures_from_Sambalpur_Road/SBPD Bilaspur__Airport/PAB:_211_km
Departures_from_Sambalpur_Junction/SBP Bilaspur__Airport/PAB:_209_km
Departures_from_Hirakud/HKG Bilaspur__Airport/PAB:_203_km
Departures_from_Bargarh_Road/BRGA Bilaspur__Airport/PAB:_183_km
Departures_from_Balangir/BLGR Raipur__Airport/RPR:_200_km
Departures_from_Mathura_Junction/MTJ Agra_Kheria_Airport/AGR:_48_km
Departures_from_Mathura_Cantt./MRT Agra_Kheria_Airport/AGR:_48_km
Departures_from_Hathras_City/HTC Agra_Kheria_Airport/AGR:_52_km
Departures_from_Hathras_Road/HTJ Agra_Kheria_Airport/AGR:_57_km
Departures_from_Sikandra_Rao/SKA Agra_Kheria_Airport/AGR:_75_km
Departures_from_KasGanj/KSJ Bareilly__Airport/BEK:_103_km
Departures_from_Ujhani/UJH Bareilly__Airport/BEK:_60_km
Departures_from_Budaun/BEM Bareilly__Airport/BEK:_49_km
Departures_from_Bareilly_MG/BRY Bareilly__Airport/BEK:_3_km
Departures_from_Bareilly_City/BC Bareilly__Airport/BEK:_2_km
Departures_from_Izzatnagar/IZN Bareilly__Airport/BEK:_3_km
Departures_from_Bhojipura_Junction/BPR Bareilly__Airport/BEK:_16_km
Departures_from_Pilibhit_Junction/PBE Bareilly__Airport/BEK:_50_km
Departures_from_Puranpur/PP Bareilly__Airport/BEK:_77_km
Departures_from_Mailani/MLN Bareilly__Airport/BEK:_96_km
Departures_from_Gola_Gokaranath/GK Bareilly__Airport/BEK:_114_km
Departures_from_Lakhimpur/LMP Lucknow_Amausi_Airport/LKO:_139_km
Departures_from_Hargaon/HA Lucknow_Amausi_Airport/LKO:_119_km
Departures_from_Sitapur/STP Lucknow_Amausi_Airport/LKO:_95_km
Departures_from_Sidhauli/SD Lucknow_Amausi_Airport/LKO:_61_km
Departures_from_DaliGanj/DAL Lucknow_Amausi_Airport/LKO:_14_km
Departures_from_Lucknow_City/LC Lucknow_Amausi_Airport/LKO:_12_km
Departures_from_Aishbagh/ASH Lucknow_Amausi_Airport/LKO:_10_km
Departures_from_Jaipur_Junction/JP Jaipur_Sanganer_Airport/JAI:_12_km
Departures_from_Kanakpura/KKU Jaipur_Sanganer_Airport/JAI:_17_km
Departures_from_Asalpur_Jobner/JOB Jaipur_Sanganer_Airport/JAI:_41_km
Departures_from_Phulera_Junction/FL Jaipur_Sanganer_Airport/JAI:_59_km
Departures_from_Naraina/NRI Jaipur_Sanganer_Airport/JAI:_65_km
Departures_from_Tiloniya/TL Jaipur_Sanganer_Airport/JAI:_94_km
Departures_from_Kishangarh/KSG Jaipur_Sanganer_Airport/JAI:_103_km
Departures_from_Madar_Junction/MD Jaipur_Sanganer_Airport/JAI:_117_km
Departures_from_Ajmer_Junction/AII Jaipur_Sanganer_Airport/JAI:_130_km
Departures_from_Tumkur/TK Bengaluru__Airport/BLR:_70_km
Departures_from_Tiptur/TTR Mysore_Mandakalli_Airport/MYQ:_121_km
Departures_from_Arsikere_Junction/ASK Mysore_Mandakalli_Airport/MYQ:_135_km
Departures_from_Birur_Junction/RRB Mangalore_Bajpe_Airport/IXE:_143_km
Departures_from_Davangere/DVG Vidyanagar__Airport/VDY:_115_km
Departures_from_Harihar/HRR Vidyanagar__Airport/VDY:_121_km
Departures_from_Ranibennur/RNR Hubli__Airport/HBX:_106_km
Departures_from_Haveri/HVR Hubli__Airport/HBX:_76_km
Departures_from_Hubli_Junction/UBL Hubli__Airport/HBX:_7_km
Departures_from_Dharwad/DWR Hubli__Airport/HBX:_13_km
Departures_from_Londa_Junction/LD Belgaum__Airport/IXG:_50_km
Departures_from_Belgaum/BGM Belgaum__Airport/IXG:_12_km
Departures_from_Karad/KRD Kolhapur__Airport/KLH:_76_km
Departures_from_Sirohi_Road/SOH Udaipur__Airport/UDR:_93_km
Departures_from_Sojat_Road/SOD Jodhpur__Airport/JDH:_87_km
Departures_from_Beawar/BER Jodhpur__Airport/JDH:_134_km
Departures_from_Mumbai_Central/BCT Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_15_km
Departures_from_Mumbai_Dadar_Western/DDR Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_9_km
Departures_from_Mumbai_Borivali/BVI Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_16_km
Departures_from_Chhapi/CHP Ahmedabad_Sardar_Patel_Airport/AMD:_115_km
