Departures_from_Danapur/DNR Patna__Airport/PAT:_4_km
Departures_from_Bihta/BTA Patna__Airport/PAT:_23_km
Departures_from_Ara/ARA Patna__Airport/PAT:_45_km
Departures_from_Bihiya/BEA Patna__Airport/PAT:_67_km
Departures_from_Banahi/BYN Patna__Airport/PAT:_74_km
Departures_from_Raghunathpur/RPR Patna__Airport/PAT:_83_km
Departures_from_Twining_Ganj/TWG Patna__Airport/PAT:_92_km
Departures_from_Dumraon/DURE Patna__Airport/PAT:_100_km
Departures_from_Buxar/BXR Patna__Airport/PAT:_117_km
Departures_from_Chausa/CSA Varanasi_Babatpur_Airport/VNS:_109_km
Departures_from_Gahmar/GMR Varanasi_Babatpur_Airport/VNS:_100_km
Departures_from_Bhadaura/BWH Varanasi_Babatpur_Airport/VNS:_93_km
Departures_from_Dildarnagar_Junction/DLN Varanasi_Babatpur_Airport/VNS:_85_km
Departures_from_Zamania/ZNA Varanasi_Babatpur_Airport/VNS:_73_km
Departures_from_Dheena/DHA Varanasi_Babatpur_Airport/VNS:_61_km
Departures_from_Sakaldiha/SLD Varanasi_Babatpur_Airport/VNS:_45_km
Departures_from_Kuchman/KCA Varanasi_Babatpur_Airport/VNS:_41_km
Departures_from_Vyasnagar/VYN Varanasi_Babatpur_Airport/VNS:_29_km
Departures_from_Kashi/KEI Varanasi_Babatpur_Airport/VNS:_23_km
Departures_from_Shiupur/SOP Varanasi_Babatpur_Airport/VNS:_15_km
Departures_from_Birapatti/BRPT Varanasi_Babatpur_Airport/VNS:_8_km
Departures_from_Babatpur/BTP Varanasi_Babatpur_Airport/VNS:_2_km
Departures_from_Pindra_Road/PDRD Varanasi_Babatpur_Airport/VNS:_5_km
Departures_from_Khalispur/KSF Varanasi_Babatpur_Airport/VNS:_9_km
Departures_from_Trilochan_Mahdo/TLMD Varanasi_Babatpur_Airport/VNS:_14_km
Departures_from_JalalGanj/JLL Varanasi_Babatpur_Airport/VNS:_21_km
Departures_from_Sarkoni/SIQ Varanasi_Babatpur_Airport/VNS:_25_km
Departures_from_Zafarabad_Junction/ZBD Varanasi_Babatpur_Airport/VNS:_33_km
Departures_from_Jaunpur_City/JOP Varanasi_Babatpur_Airport/VNS:_39_km
Departures_from_Sri_Krishna_Nagar/SKN Varanasi_Babatpur_Airport/VNS:_67_km
Departures_from_HarpalGanj/HRPG Varanasi_Babatpur_Airport/VNS:_75_km
Departures_from_Koiripur/KEPR Varanasi_Babatpur_Airport/VNS:_86_km
Departures_from_Lambhua/LBA Allahabad_Bamrauli_Airport/IXD:_96_km
Departures_from_Shivnagar/SHNG Allahabad_Bamrauli_Airport/IXD:_106_km
Departures_from_Musafir_Khana/MFKA Lucknow_Amausi_Airport/LKO:_106_km
Departures_from_Nihalgarh/NHH Lucknow_Amausi_Airport/LKO:_86_km
Departures_from_AkbarGanj/AKJ Lucknow_Amausi_Airport/LKO:_70_km
Departures_from_Haidergarh/HGH Lucknow_Amausi_Airport/LKO:_53_km
Departures_from_Chhandrauli/CDRL Lucknow_Amausi_Airport/LKO:_37_km
Departures_from_Alamnagar/AMG Lucknow_Amausi_Airport/LKO:_10_km
Departures_from_Sandila/SAN Lucknow_Amausi_Airport/LKO:_52_km
Departures_from_Balamu_Junction/BLM Lucknow_Amausi_Airport/LKO:_72_km
Departures_from_Anjhi_Shahabad/AJI Bareilly__Airport/BEK:_101_km
Departures_from_Tilhar/TLH Bareilly__Airport/BEK:_56_km
Departures_from_Pitambarpur/PMR Bareilly__Airport/BEK:_23_km
Departures_from_Chandausi_Junction/CH Bareilly__Airport/BEK:_67_km
Departures_from_Dhampur/DPR Pantnagar__Airport/PGH:_104_km
Departures_from_Jagadhri_Workshop/JUDW Chandigarh__Airport/IXC:_78_km
Departures_from_Ambala_City/UBC Chandigarh__Airport/IXC:_34_km
Departures_from_Rajpura_Junction/RPJ Chandigarh__Airport/IXC:_29_km
Departures_from_Sirhind_Junction/SIR Chandigarh__Airport/IXC:_41_km
Departures_from_Mandi_Gobindgarh/GVG Ludhiana_Sahnewal_Airport/LUH:_41_km
Departures_from_Khanna/KNN Ludhiana_Sahnewal_Airport/LUH:_33_km
Departures_from_Chawapail/CHA Ludhiana_Sahnewal_Airport/LUH:_15_km
Departures_from_Doraha/DOA Ludhiana_Sahnewal_Airport/LUH:_11_km
Departures_from_Sanehwal/SNL Ludhiana_Sahnewal_Airport/LUH:_3_km
Departures_from_Dhandari_Kalan/DDL Ludhiana_Sahnewal_Airport/LUH:_6_km
Departures_from_Ladhowal/LDW Ludhiana_Sahnewal_Airport/LUH:_21_km
Departures_from_Phillaur_Junction/PHR Ludhiana_Sahnewal_Airport/LUH:_25_km
Departures_from_Goraya/GRY Ludhiana_Sahnewal_Airport/LUH:_37_km
Departures_from_Phagwara_Junction/PGW Ludhiana_Sahnewal_Airport/LUH:_47_km
Departures_from_Chiheru/CEU Ludhiana_Sahnewal_Airport/LUH:_54_km
Departures_from_Kartarpur/KRE Amritsar_Raja_Sansi_Airport/ATQ:_76_km
Departures_from_New_Delhi/NDLS New_Delhi_Indira_Gandhi_International_Airport/DEL:_16_km
Departures_from_Sonipat/SNP New_Delhi_Indira_Gandhi_International_Airport/DEL:_51_km
Departures_from_Panipat_Junction/PNP New_Delhi_Indira_Gandhi_International_Airport/DEL:_98_km
Departures_from_Karnal/KUN Chandigarh__Airport/IXC:_116_km
Departures_from_Kurukshetra_Junction/KKDE Chandigarh__Airport/IXC:_82_km
Departures_from_Getor_Jagatpura/GTJT Jaipur_Sanganer_Airport/JAI:_3_km
Departures_from_Baswa/BU Jaipur_Sanganer_Airport/JAI:_88_km
Departures_from_Charkhi_Dadri/CKD New_Delhi_Indira_Gandhi_International_Airport/DEL:_84_km
Departures_from_Bhiwani/BNW New_Delhi_Indira_Gandhi_International_Airport/DEL:_103_km
Departures_from_Hisar/HSR New_Delhi_Indira_Gandhi_International_Airport/DEL:_156_km
Departures_from_Sirsa/SSA Bhatinda__Airport/BUP:_90_km
