Departures_from_Sonpur_Junction/SEE Patna__Airport/PAT:_15_km
Departures_from_Chhapra_Kacheri/CI Patna__Airport/PAT:_44_km
Departures_from_Siwan_Junction/SV Patna__Airport/PAT:_105_km
Departures_from_Deoria_Sadar/DEOS Gorakhpur__Airport/GOP:_46_km
Departures_from_Barabanki_Junction/BBK Lucknow_Amausi_Airport/LKO:_37_km
Departures_from_Unnao_Junction/ON Kanpur__Airport/KNU:_18_km
Departures_from_Etawah/ETW Gwalior__Airport/GWL:_101_km
Departures_from_Firozabad/FZD Agra_Kheria_Airport/AGR:_47_km
Departures_from_Hathras_Junction/HRS Agra_Kheria_Airport/AGR:_57_km
Departures_from_Aligarh_Junction/ALJN Agra_Kheria_Airport/AGR:_85_km
Departures_from_Shahdara_Junction/DSA New_Delhi_Indira_Gandhi_International_Airport/DEL:_24_km
Departures_from_Mumbai_Dadar_Central/DR Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_9_km
Departures_from_Kasara/KSRA Nasik_Gandhi_Nagar_Airport/ISK:_73_km
Departures_from_Devlali/DVL Nasik_Gandhi_Nagar_Airport/ISK:_27_km
Departures_from_Chalisgaon_Junction/CSN Aurangabad_Chikalthan_Airport/IXU:_82_km
Departures_from_Pachora_Junction/PC Aurangabad_Chikalthan_Airport/IXU:_94_km
Departures_from_Savda/SAV Akola__Airport/AKD:_135_km
Departures_from_Nimbhora/NB Akola__Airport/AKD:_130_km
Departures_from_Raver/RV Akola__Airport/AKD:_126_km
Departures_from_Nepanagar/NPNR Akola__Airport/AKD:_115_km
Departures_from_Talvadiya/TLV Indore__Airport/IDR:_118_km
Departures_from_Chhanera/CAER Indore__Airport/IDR:_124_km
Departures_from_Khirkiya/KKN Indore__Airport/IDR:_131_km
Departures_from_Banapura/BPF Bhopal__Airport/BHO:_95_km
Departures_from_Budni/BNI Bhopal__Airport/BHO:_69_km
Departures_from_Obaidulla_Ganj/ODG Bhopal__Airport/BHO:_43_km
Departures_from_Mandi_Dip/MDDP Bhopal__Airport/BHO:_30_km
Departures_from_Sanchi/SCI Bhopal__Airport/BHO:_49_km
Departures_from_Vidisha/BHS Bhopal__Airport/BHO:_58_km
Departures_from_GulabhGanj/GLG Bhopal__Airport/BHO:_77_km
Departures_from_Ganj_Basoda/BAQ Bhopal__Airport/BHO:_92_km
Departures_from_Mandi_Bamora/MABA Guna__Airport/GUX:_103_km
