Departures_from_Idgah_Agra_Junction/IDH Agra_Kheria_Airport/AGR:_4_km
Departures_from_Yamuna_Bridge_Agra/JAB Agra_Kheria_Airport/AGR:_9_km
Departures_from_Shikohabad_Junction/SKB Agra_Kheria_Airport/AGR:_64_km
Departures_from_Bharthana/BNT Gwalior__Airport/GWL:_116_km
Departures_from_Phaphund/PHD Kanpur__Airport/KNU:_95_km
Departures_from_Lucknow_Junction/LJN Lucknow_Amausi_Airport/LKO:_9_km
Departures_from_Badshahnagar/BNZ Lucknow_Amausi_Airport/LKO:_15_km
Departures_from_Gomati_Nagar/GTNR Lucknow_Amausi_Airport/LKO:_16_km
Departures_from_Burhwal/BUW Lucknow_Amausi_Airport/LKO:_65_km
Departures_from_Jarwal_Road/JLD Lucknow_Amausi_Airport/LKO:_81_km
Departures_from_ColonelGanj/CLJ Lucknow_Amausi_Airport/LKO:_96_km
Departures_from_Mankapur_Junction/MUR Gorakhpur__Airport/GOP:_132_km
Departures_from_Maskanwa/MSW Gorakhpur__Airport/GOP:_118_km
Departures_from_Babhnan/BV Gorakhpur__Airport/GOP:_101_km
Departures_from_Maghar/MHH Gorakhpur__Airport/GOP:_34_km
Departures_from_Sahjanwa/SWA Gorakhpur__Airport/GOP:_25_km
Departures_from_Pipraich/PPC Gorakhpur__Airport/GOP:_13_km
Departures_from_Paniahwa/PNYA Gorakhpur__Airport/GOP:_71_km
Departures_from_Harinagar/HIR Gorakhpur__Airport/GOP:_103_km
Departures_from_Mehsi/MAI Patna__Airport/PAT:_89_km
Departures_from_Thandla_Road/THDR Indore__Airport/IDR:_134_km
Departures_from_Unhel/UNL Indore__Airport/IDR:_78_km
Departures_from_Simaria/SAE Patna__Airport/PAT:_100_km
Departures_from_Bachwara_Junction/BCA Patna__Airport/PAT:_85_km
Departures_from_Dalsingh_Sarai/DSS Patna__Airport/PAT:_80_km
Departures_from_NazirGanj/NAZJ Patna__Airport/PAT:_77_km
Departures_from_Ujiarpur/UJP Patna__Airport/PAT:_78_km
Departures_from_Karpurigram/KPGM Patna__Airport/PAT:_75_km
Departures_from_Khudiram_B_Pusa/PUV Patna__Airport/PAT:_46_km
Departures_from_Goraul/GRL Patna__Airport/PAT:_38_km
Departures_from_Bhagwanpur/BNR Patna__Airport/PAT:_20_km
Departures_from_Nayagaon/NYO Patna__Airport/PAT:_20_km
Departures_from_Dighwara/DGA Patna__Airport/PAT:_55_km
Departures_from_Kopa_Samhota/KPS Patna__Airport/PAT:_64_km
Departures_from_Daudpur/DDP Patna__Airport/PAT:_72_km
Departures_from_Ekma/EM Patna__Airport/PAT:_80_km
Departures_from_Chainwa/CW Patna__Airport/PAT:_88_km
Departures_from_Duraundha_Junction/DDA Gorakhpur__Airport/GOP:_94_km
Departures_from_Jiradei/ZRD Gorakhpur__Airport/GOP:_87_km
Departures_from_Mairwa/MW Gorakhpur__Airport/GOP:_79_km
Departures_from_Bankata/BTK Gorakhpur__Airport/GOP:_65_km
Departures_from_Bhatpar_Rani/BHTR Gorakhpur__Airport/GOP:_17_km
Departures_from_Bhatni_Junction/BTT Pantnagar__Airport/PGH:_38_km
Departures_from_Chauri_Chaura/CC Pantnagar__Airport/PGH:_30_km
Departures_from_Kemri/KEMR Pantnagar__Airport/PGH:_12_km
Departures_from_Bilaspur_Road/BLOR Pantnagar__Airport/PGH:_2_km
Departures_from_Rudrapur_City/RUPC Pantnagar__Airport/PGH:_6_km
Departures_from_Haldi_Road/HLDD Pantnagar__Airport/PGH:_22_km
Departures_from_Lal_Kuan_Junction/LKU Pantnagar__Airport/PGH:_28_km
Departures_from_Haldwani/HDW Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_126_km
Departures_from_Kathgodam/KGM Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_119_km
Departures_from_Midnapore/MDN Jamshedpur_Sonari_Airport/IXW:_125_km
Departures_from_Chandrakona_Road/CDGR Dhanbad__Airport/DBD:_99_km
Departures_from_Bishnupur/VSU Dhanbad__Airport/DBD:_47_km
Departures_from_Bankura_Junction/BQA Dhanbad__Airport/DBD:_57_km
Departures_from_Adra_Junction/ADRA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_27_km
Departures_from_Burnpur/BURN Patna__Airport/PAT:_52_km
Departures_from_Naihati_Junction/NH Patna__Airport/PAT:_44_km
Departures_from_Shahpur_Patoree/SPP Patna__Airport/PAT:_21_km
Departures_from_Mehnar_Road/MNO Patna__Airport/PAT:_66_km
Departures_from_Sitalpur/STLR Patna__Airport/PAT:_88_km
Departures_from_Suraimanpur/SIP Jaipur_Sanganer_Airport/JAI:_4_km
Departures_from_Sahatwar/STW Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_72_km
Departures_from_Durgapura/DPA Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_43_km
Departures_from_Palghar/PLG Bhavnagar_Civil_Airport/BHU:_6_km
Departures_from_Virar/VR Bhavnagar_Civil_Airport/BHU:_7_km
Departures_from_Bhavnagar_Terminus/BVC Bhavnagar_Civil_Airport/BHU:_25_km
Departures_from_Bhavnagar_Para/BVP Bhavnagar_Civil_Airport/BHU:_33_km
Departures_from_Sihor_Gujarat/SOJN Bhavnagar_Civil_Airport/BHU:_49_km
Departures_from_Songadh/SGD Bhavnagar_Civil_Airport/BHU:_75_km
Departures_from_Dhola_Junction/DLJ Bhavnagar_Civil_Airport/BHU:_87_km
Departures_from_Botad_Junction/BTD Bhavnagar_Civil_Airport/BHU:_104_km
Departures_from_Ranpur/RUR Rajkot__Airport/RAJ:_104_km
Departures_from_Limbdi/LM Khajuraho__Airport/HJR:_101_km
Departures_from_Jorawarnagar_Junction/JVN Khajuraho__Airport/HJR:_111_km
Departures_from_Satna_Junction/STA Kota__Airport/KTU:_81_km
Departures_from_Maihar/MYR Kota__Airport/KTU:_35_km
Departures_from_Mandalgarh/MLGH Kota__Airport/KTU:_14_km
Departures_from_Bundi/BUDI Kota__Airport/KTU:_21_km
Departures_from_Gurla/GQL Agra_Kheria_Airport/AGR:_50_km
Departures_from_Keshorai_Patan/KPTN New_Delhi_Indira_Gandhi_International_Airport/DEL:_43_km
Departures_from_Bharatpur_Junction/BTE Tirupati__Airport/TIR:_74_km
Departures_from_Asaoti/AST Tirupati__Airport/TIR:_80_km
Departures_from_Sholinghur/SHU Tirupati__Airport/TIR:_82_km
Departures_from_Walajah_Road_Junction/WJR Tirupati__Airport/TIR:_111_km
Departures_from_Mukundarayapuram/MCN Bengaluru__Airport/BLR:_125_km
Departures_from_Gudiyattam/GYM Bengaluru__Airport/BLR:_89_km
Departures_from_Ambur/AB Bengaluru__Airport/BLR:_59_km
Departures_from_Kuppam/KPN Bengaluru__Airport/BLR:_36_km
Departures_from_Bangarapet_Junction/BWT Bengaluru__Airport/BLR:_29_km
Departures_from_Malur/MLO Bengaluru__Airport/BLR:_24_km
Departures_from_Devangonthi/DKN Bengaluru__Airport/BLR:_23_km
Departures_from_Whitefield/WFD Bengaluru__Airport/BLR:_25_km
Departures_from_Krishnarajapuram/KJM Bengaluru__Airport/BLR:_27_km
Departures_from_Bangalore_East/BNCE Bengaluru__Airport/BLR:_27_km
Departures_from_Bangalore_Cantt./BNC Bengaluru__Airport/BLR:_28_km
Departures_from_Bangalore_Yesvantpur_Junction/YPR Hyderabad_Begumpet_Airport/HYD:_64_km
Departures_from_Malleswaram/MWM Bengaluru__Airport/BLR:_106_km
