Departures_from_Gauribidanur/GBD Bengaluru__Airport/BLR:_53_km
Departures_from_Dodballapur/DBU Bengaluru__Airport/BLR:_20_km
Departures_from_Yelahanka_Junction/YNK Bengaluru__Airport/BLR:_17_km
Departures_from_Ghatprabha/GPB Belgaum__Airport/IXG:_47_km
Departures_from_Darbhanga_Junction/DBG Patna__Airport/PAT:_108_km
Departures_from_Mirzapur/MZP Varanasi_Babatpur_Airport/VNS:_48_km
Departures_from_Barpeta_Road/BPRD Guwahati_Borjhar_Airport/GAU:_79_km
Departures_from_Bolpur_Shantiniketan/BHP Dhanbad__Airport/DBD:_137_km
Departures_from_Trivandrum_Kochuveli/KCVL Trivandrum_International_Airport/TRV:_4_km
Departures_from_Kanniyakumari/CAPE Trivandrum_International_Airport/TRV:_86_km
Departures_from_Parassala/PASA Trivandrum_International_Airport/TRV:_31_km
Departures_from_Chirayinkeezhu/CRY Trivandrum_International_Airport/TRV:_26_km
Departures_from_Kadakavur/KVU Trivandrum_International_Airport/TRV:_29_km
Departures_from_Paravur/PVU Trivandrum_International_Airport/TRV:_49_km
Departures_from_Piravom_Road/PVRD Cochin_International_Nedumbassery_Airport/COK:_39_km
Departures_from_Pudukkad/PUK Cochin_International_Nedumbassery_Airport/COK:_34_km
Departures_from_Orai/ORAI Kanpur__Airport/KNU:_109_km
Departures_from_Begumpet_Junction/BMT Hyderabad_Begumpet_Airport/HYD:_25_km
Departures_from_Sedam/SEM Hyderabad_Begumpet_Airport/HYD:_128_km
Departures_from_Manderdisa/MYD Dimapur__Airport/DMU:_76_km
Departures_from_Hatikhali/HTL Dimapur__Airport/DMU:_71_km
Departures_from_Dijaobra/DJB Silchar_Kumbirgram_Airport/IXS:_70_km
Departures_from_Langting/LGT Silchar_Kumbirgram_Airport/IXS:_65_km
Departures_from_Dihakho/DKE Silchar_Kumbirgram_Airport/IXS:_59_km
Departures_from_Mupa/MUPA Silchar_Kumbirgram_Airport/IXS:_52_km
Departures_from_Kalachand/KQI Silchar_Kumbirgram_Airport/IXS:_50_km
Departures_from_Maibang/MBG Silchar_Kumbirgram_Airport/IXS:_47_km
Departures_from_Wadrengdisa/WDA Silchar_Kumbirgram_Airport/IXS:_42_km
Departures_from_Daotuhaja/DJA Silchar_Kumbirgram_Airport/IXS:_36_km
Departures_from_Phiding/PDJ Silchar_Kumbirgram_Airport/IXS:_33_km
Departures_from_Mahur/MXR Silchar_Kumbirgram_Airport/IXS:_33_km
Departures_from_Migrendisa/MGE Silchar_Kumbirgram_Airport/IXS:_31_km
Departures_from_Lower_Haflong/LFG Silchar_Kumbirgram_Airport/IXS:_29_km
Departures_from_Bagetar/BF Silchar_Kumbirgram_Airport/IXS:_24_km
Departures_from_Haflong_Hill/HFG Silchar_Kumbirgram_Airport/IXS:_26_km
Departures_from_Jatinga/JTG Silchar_Kumbirgram_Airport/IXS:_27_km
Departures_from_Longrangajao/LJO Silchar_Kumbirgram_Airport/IXS:_28_km
Departures_from_Mailongdisa/MGX Silchar_Kumbirgram_Airport/IXS:_25_km
