Departures_from_Misrauli/MFL Allahabad_Bamrauli_Airport/IXD:_81_km
Departures_from_Talakhajuri/TLKH Allahabad_Bamrauli_Airport/IXD:_86_km
Departures_from_Bani/BANI Allahabad_Bamrauli_Airport/IXD:_94_km
Departures_from_Kasimpur/KCJ Lucknow_Amausi_Airport/LKO:_91_km
Departures_from_FursatGanj/FTG Lucknow_Amausi_Airport/LKO:_82_km
Departures_from_Rupamau/RUM Lucknow_Amausi_Airport/LKO:_78_km
Departures_from_GangaGanj/GANG Lucknow_Amausi_Airport/LKO:_64_km
Departures_from_Harchandpur/HCP Lucknow_Amausi_Airport/LKO:_56_km
Departures_from_Kundanganj/KVG Lucknow_Amausi_Airport/LKO:_50_km
Departures_from_Shrirajnagar/SAGR Lucknow_Amausi_Airport/LKO:_35_km
Departures_from_Nigohan/NHN Lucknow_Amausi_Airport/LKO:_28_km
Departures_from_Kankaha/KKAH Lucknow_Amausi_Airport/LKO:_21_km
Departures_from_MohanlalGanj/MLJ Lucknow_Amausi_Airport/LKO:_14_km
Departures_from_Utraitia_Junction/UTR Lucknow_Amausi_Airport/LKO:_10_km
Departures_from_Bilpur/BLPU Bareilly__Airport/BEK:_39_km
Departures_from_DaltonGanj/DTO Gaya__Airport/GAY:_125_km
Departures_from_Garwa_Road/GHD Gaya__Airport/GAY:_129_km
Departures_from_Garhwa/GHQ Gaya__Airport/GAY:_138_km
Departures_from_Nagar_Untari/NUQ Varanasi_Babatpur_Airport/VNS:_153_km
Departures_from_Duddhinagar/DXN Varanasi_Babatpur_Airport/VNS:_150_km
Departures_from_Renukut/RNQ Varanasi_Babatpur_Airport/VNS:_147_km
Departures_from_Chopan/CPU Varanasi_Babatpur_Airport/VNS:_111_km
Departures_from_Agori_Khas/AGY Varanasi_Babatpur_Airport/VNS:_102_km
Departures_from_Churk/CUK Varanasi_Babatpur_Airport/VNS:_97_km
Departures_from_Roberts_Ganj/RBGJ Varanasi_Babatpur_Airport/VNS:_93_km
Departures_from_Lusa/LUSA Varanasi_Babatpur_Airport/VNS:_67_km
Departures_from_Saktesgarh/SKGH Varanasi_Babatpur_Airport/VNS:_53_km
Departures_from_Ram_Chaura_Road/RMC Allahabad_Bamrauli_Airport/IXD:_21_km
Departures_from_LalgopalGanj/LGO Allahabad_Bamrauli_Airport/IXD:_26_km
Departures_from_Kunda_Harnamganj/KHNM Allahabad_Bamrauli_Airport/IXD:_40_km
Departures_from_Garhi_Manikpur/GRMR Allahabad_Bamrauli_Airport/IXD:_53_km
Departures_from_Pariawan_Kalakankar_Road/PQN Allahabad_Bamrauli_Airport/IXD:_59_km
Departures_from_Unchahar_Junction/UCR Allahabad_Bamrauli_Airport/IXD:_71_km
Departures_from_Lachhmanpur/LMN Allahabad_Bamrauli_Airport/IXD:_87_km
Departures_from_Babrala/BBA Bareilly__Airport/BEK:_103_km
Departures_from_Soro/SORO Bhubaneswar__Airport/BBI:_154_km
Departures_from_Rupsa_Junction/ROP Jamshedpur_Sonari_Airport/IXW:_166_km
Departures_from_Betnoti/BTQ Jamshedpur_Sonari_Airport/IXW:_145_km
Departures_from_Baripada/BPO Jamshedpur_Sonari_Airport/IXW:_121_km
Departures_from_Achhnera_Junction/AH Agra_Kheria_Airport/AGR:_21_km
Departures_from_Kuchaman_City/KMNC Jaipur_Sanganer_Airport/JAI:_104_km
Departures_from_Makrana_Junction/MKN Jaipur_Sanganer_Airport/JAI:_116_km
Departures_from_Samdhari_Junction/SMR Jodhpur__Airport/JDH:_71_km
Departures_from_Balotra_Junction/BLT Jodhpur__Airport/JDH:_98_km
Departures_from_Barmer/BME Jaisalmer__Airport/JSA:_144_km
Departures_from_Shahabad/SDB Sholapur__Airport/SSE:_127_km
Departures_from_Dudhani/DUD Sholapur__Airport/SSE:_59_km
Departures_from_Hotgi_Junction/HG Sholapur__Airport/SSE:_10_km
Departures_from_Indi_Road/IDR Sholapur__Airport/SSE:_49_km
Departures_from_Bijapur/BJP Sholapur__Airport/SSE:_96_km
