Departures_from_Bargarh/BRG Allahabad_Bamrauli_Airport/IXD:_44_km
Departures_from_Shankargarh/SRJ Allahabad_Bamrauli_Airport/IXD:_32_km
Departures_from_Phulpur/PLP Allahabad_Bamrauli_Airport/IXD:_39_km
Departures_from_Ugrasenpur/URPR Allahabad_Bamrauli_Airport/IXD:_48_km
Departures_from_Janghai_Junction/JNH Varanasi_Babatpur_Airport/VNS:_59_km
Departures_from_Suriawan/SAW Varanasi_Babatpur_Airport/VNS:_47_km
Departures_from_Dalkolha/DLK Bagdogra__Airport/IXB:_107_km
Departures_from_Telta/TETA Bagdogra__Airport/IXB:_115_km
Departures_from_Sudhani/SUD Bagdogra__Airport/IXB:_121_km
Departures_from_Azamnagar_Road/AZR Bagdogra__Airport/IXB:_141_km
Departures_from_Khurial/KWE Bagdogra__Airport/IXB:_137_km
Departures_from_Labha/LAV Bagdogra__Airport/IXB:_144_km
Departures_from_Semapur/SMO Bagdogra__Airport/IXB:_162_km
Departures_from_Katareah/KTRH Bagdogra__Airport/IXB:_191_km
Departures_from_Narayanpur/NNR Dhanbad__Airport/DBD:_188_km
Departures_from_Mahes_Khunt/MSK Patna__Airport/PAT:_164_km
Departures_from_Lakhminia/LKN Patna__Airport/PAT:_130_km
Departures_from_Banka_Ghat/BKG Patna__Airport/PAT:_20_km
Departures_from_Phulwari_Sharif/PWS Patna__Airport/PAT:_1_km
Departures_from_Goalpara_Town/GLPT Rupsi__Airport/RUP:_75_km
Departures_from_Dalgaon/DLO Cooch_Behar__Airport/CDP:_57_km
Departures_from_Takari/TKR Kolhapur__Airport/KLH:_55_km
Departures_from_Kudachi/KUD Kolhapur__Airport/KLH:_64_km
Departures_from_Alnavar_Junction/LWR Hubli__Airport/HBX:_40_km
Departures_from_Kadur/DRU Mangalore_Bajpe_Airport/IXE:_145_km
Departures_from_Gomoh_Junction/GMO Bokaro__Airport/VEBK:_27_km
Departures_from_Parasnath/PNME Bokaro__Airport/VEBK:_68_km
Departures_from_Koderma/KQR Gaya__Airport/GAY:_71_km
Departures_from_Khairar_Junction/KID Khajuraho__Airport/HJR:_81_km
Departures_from_Mysore_Junction/MYS Mysore_Mandakalli_Airport/MYQ:_10_km
Departures_from_Shrirangapatna/S Mysore_Mandakalli_Airport/MYQ:_23_km
Departures_from_Pandavapura/PANP Mysore_Mandakalli_Airport/MYQ:_27_km
Departures_from_Mandya/MYA Mysore_Mandakalli_Airport/MYQ:_45_km
Departures_from_Maddur/MAD Mysore_Mandakalli_Airport/MYQ:_63_km
Departures_from_Channapatna/CPT Mysore_Mandakalli_Airport/MYQ:_80_km
Departures_from_Ramanagaram/RMGM Bengaluru__Airport/BLR:_74_km
Departures_from_Bidadi/BID Bengaluru__Airport/BLR:_59_km
Departures_from_Kengeri/KGI Bengaluru__Airport/BLR:_42_km
Departures_from_Seohara/SEO Pantnagar__Airport/PGH:_93_km
Departures_from_Chandigarh_Junction/CDG Chandigarh__Airport/IXC:_5_km
Departures_from_Kanpur_Anwarganj/CPA Kanpur__Airport/KNU:_2_km
Departures_from_Khaga/KGA Allahabad_Bamrauli_Airport/IXD:_77_km
Departures_from_Sirathu/SRO Allahabad_Bamrauli_Airport/IXD:_50_km
Departures_from_Bharwari/BRE Allahabad_Bamrauli_Airport/IXD:_29_km
Departures_from_Allahabad_City/ALY Allahabad_Bamrauli_Airport/IXD:_12_km
Departures_from_Handia_Khas/HDK Allahabad_Bamrauli_Airport/IXD:_49_km
Departures_from_Gyanpur_Road/GYN Varanasi_Babatpur_Airport/VNS:_60_km
Departures_from_Madhosingh/MBS Varanasi_Babatpur_Airport/VNS:_40_km
Departures_from_Bhulanpur/BHLP Varanasi_Babatpur_Airport/VNS:_22_km
Departures_from_Manduadih/MUV Varanasi_Babatpur_Airport/VNS:_21_km
Departures_from_Varanasi_City/BCY Varanasi_Babatpur_Airport/VNS:_21_km
Departures_from_Aunrihar_Junction/ARJ Varanasi_Babatpur_Airport/VNS:_36_km
Departures_from_Dullahapur/DLR Varanasi_Babatpur_Airport/VNS:_72_km
Departures_from_Mau_Junction/MAU Varanasi_Babatpur_Airport/VNS:_93_km
Departures_from_Indara_Junction/IAA Gorakhpur__Airport/GOP:_90_km
Departures_from_Belthara_Road/BLTR Gorakhpur__Airport/GOP:_83_km
Departures_from_Lar_Road/LRD Gorakhpur__Airport/GOP:_78_km
Departures_from_Salempur_Junction/SRU Gorakhpur__Airport/GOP:_72_km
Departures_from_Sardarnagar/SANR Gorakhpur__Airport/GOP:_7_km
Departures_from_Kusmhi/KHM Gorakhpur__Airport/GOP:_3_km
Departures_from_Yadgir/YG Hyderabad_Begumpet_Airport/HYD:_156_km
Departures_from_Narayanpet_Road/NRPD Hyderabad_Begumpet_Airport/HYD:_154_km
Departures_from_Yerraguntla/YA Cuddapah__Airport/COH:_31_km
Departures_from_Razampeta/RJP Cuddapah__Airport/COH:_58_km
Departures_from_Koduru/KOU Tirupati__Airport/TIR:_43_km
Departures_from_Perambur/PER Chennai_Meenambakkam_Airport/MAA:_15_km
Departures_from_Joychandi_Pahar/JOC Dhanbad__Airport/DBD:_46_km
Departures_from_Purulia_Junction/PRR Bokaro__Airport/VEBK:_45_km
Departures_from_Mambalam/MBM Chennai_Meenambakkam_Airport/MAA:_7_km
Departures_from_Mangalore_Central/MAQ Mangalore_Bajpe_Airport/IXE:_13_km
Departures_from_Manjeshwar/MJS Mangalore_Bajpe_Airport/IXE:_28_km
Departures_from_Kumbala/KMQ Mangalore_Bajpe_Airport/IXE:_44_km
Departures_from_Kasaragod/KGQ Mangalore_Bajpe_Airport/IXE:_56_km
Departures_from_Kottikkulam/KQK Mangalore_Bajpe_Airport/IXE:_65_km
Departures_from_Kanhangad/KZE Mangalore_Bajpe_Airport/IXE:_78_km
Departures_from_Nileshwar/NLE Mangalore_Bajpe_Airport/IXE:_87_km
Departures_from_Charvattur/CHV Mangalore_Bajpe_Airport/IXE:_92_km
Departures_from_Payyanur/PAY Mangalore_Bajpe_Airport/IXE:_108_km
Departures_from_Payangadi/PAZ Mangalore_Bajpe_Airport/IXE:_118_km
Departures_from_Kannapuram/KPQ Kozhikkode_Calicut_Airport/CCJ:_123_km
Departures_from_Thalassery/TLY Kozhikkode_Calicut_Airport/CCJ:_89_km
Departures_from_Mahe/MAHE Kozhikkode_Calicut_Airport/CCJ:_81_km
Departures_from_Vadakara/BDJ Kozhikkode_Calicut_Airport/CCJ:_68_km
Departures_from_Koyilandy/QLD Kozhikkode_Calicut_Airport/CCJ:_47_km
Departures_from_Ferok/FK Kozhikkode_Calicut_Airport/CCJ:_15_km
Departures_from_Kadalundi/KN Kozhikkode_Calicut_Airport/CCJ:_15_km
Departures_from_Parappangadi/PGI Kozhikkode_Calicut_Airport/CCJ:_15_km
Departures_from_Tanur/TA Kozhikkode_Calicut_Airport/CCJ:_20_km
Departures_from_Tirur/TIR Kozhikkode_Calicut_Airport/CCJ:_26_km
Departures_from_Kuttippuram/KTU Kozhikkode_Calicut_Airport/CCJ:_35_km
Departures_from_Pattambi/PTB Kozhikkode_Calicut_Airport/CCJ:_47_km
Departures_from_Coimbatore_North_Junction/CBF Coimbatore__Airport/CJB:_10_km
Departures_from_Pilamedu/PLMD Coimbatore__Airport/CJB:_5_km
Departures_from_Tiruppur_Uthukuzhi/UKL Coimbatore__Airport/CJB:_48_km
Departures_from_Unjalur/URL Salem__Airport/SXV:_79_km
Departures_from_Kodumudi/KMD Salem__Airport/SXV:_85_km
Departures_from_Pugalur/PGR Tiruchirapalli__Airport/TRZ:_86_km
Departures_from_Moorthipalayam/MPLM Tiruchirapalli__Airport/TRZ:_85_km
Departures_from_Karur_Junction/KRR Tiruchirapalli__Airport/TRZ:_76_km
Departures_from_Mahadanapuram/MMH Tiruchirapalli__Airport/TRZ:_53_km
