Departures_from_Haldibari/HDB Bagdogra__Airport/IXB:_62_km
Departures_from_Siliguru_Town/SGUT Bagdogra__Airport/IXB:_11_km
Departures_from_Sukna/SN Bagdogra__Airport/IXB:_13_km
Departures_from_Rangtong/RTG Bagdogra__Airport/IXB:_18_km
Departures_from_Tindharia/TDH Bagdogra__Airport/IXB:_21_km
Departures_from_Gayabari/GBE Bagdogra__Airport/IXB:_22_km
Departures_from_Mahanadi/MHN Bagdogra__Airport/IXB:_23_km
Departures_from_Kurseong/KGN Bagdogra__Airport/IXB:_25_km
Departures_from_Tung/TUNG Bagdogra__Airport/IXB:_30_km
Departures_from_Sonada/SAD Bagdogra__Airport/IXB:_33_km
Departures_from_Ghoom/GHUM Bagdogra__Airport/IXB:_39_km
Departures_from_Darjeeling/DJ Bagdogra__Airport/IXB:_42_km
Departures_from_Mungaoli/MNV Guna__Airport/GUX:_85_km
Departures_from_Ashok_Nagar/ASKN Guna__Airport/GUX:_41_km
Departures_from_Chhabra_Gugor/CAG Guna__Airport/GUX:_53_km
Departures_from_Baran/BAZ Kota__Airport/KTU:_71_km
Departures_from_Chauth_ka_Barwara/CKB Jaipur_Sanganer_Airport/JAI:_97_km
Departures_from_Isarda/ISA Jaipur_Sanganer_Airport/JAI:_80_km
Departures_from_Bansthali_Niwai/BNLW Jaipur_Sanganer_Airport/JAI:_53_km
Departures_from_Mumbai_CST/CSTM Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_18_km
Departures_from_Neral_Junction/NRL Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_50_km
Departures_from_Khandala/KAD Pune_Lohegaon_Airport/PNQ:_63_km
Departures_from_Talegaon/TGN Pune_Lohegaon_Airport/PNQ:_33_km
Departures_from_Khadki/KK Pune_Lohegaon_Airport/PNQ:_9_km
Departures_from_Chaukhandi/CHH Varanasi_Babatpur_Airport/VNS:_13_km
Departures_from_Sewapuri/SWPR Varanasi_Babatpur_Airport/VNS:_15_km
Departures_from_Parsipur/PRF Varanasi_Babatpur_Airport/VNS:_25_km
Departures_from_Mondh/MOF Varanasi_Babatpur_Airport/VNS:_40_km
Departures_from_Nibhapur/NBP Allahabad_Bamrauli_Airport/IXD:_57_km
Departures_from_Suwansa/SWS Allahabad_Bamrauli_Airport/IXD:_53_km
Departures_from_Gaura/GRX Allahabad_Bamrauli_Airport/IXD:_52_km
Departures_from_Dandupur/DND Allahabad_Bamrauli_Airport/IXD:_53_km
Departures_from_Malihabad/MLD Lucknow_Amausi_Airport/LKO:_26_km
Departures_from_Baghauli/BGH Lucknow_Amausi_Airport/LKO:_82_km
Departures_from_Milak/MIL Bareilly__Airport/BEK:_39_km
Departures_from_Kanth/KNT Pantnagar__Airport/PGH:_87_km
Departures_from_Bundki/BEK Dehradun_Grant_Airport/DED:_81_km
Departures_from_Chandok/CNK Dehradun_Grant_Airport/DED:_72_km
Departures_from_Balawali/BLW Dehradun_Grant_Airport/DED:_66_km
Departures_from_Raisi/RSI Dehradun_Grant_Airport/DED:_61_km
Departures_from_Aithal/ATMO Dehradun_Grant_Airport/DED:_47_km
Departures_from_Jwalapur/JWP Dehradun_Grant_Airport/DED:_31_km
Departures_from_Raiwala/RWL Dehradun_Grant_Airport/DED:_19_km
Departures_from_Doiwala/DWO Dehradun_Grant_Airport/DED:_6_km
Departures_from_Dehradun/DDN Dehradun_Grant_Airport/DED:_20_km
Departures_from_Pipalsana/PLS Pantnagar__Airport/PGH:_66_km
Departures_from_Roshanpur/RHN Pantnagar__Airport/PGH:_60_km
Departures_from_Alai/ALJ Pantnagar__Airport/PGH:_57_km
Departures_from_Kashipur/KPV Pantnagar__Airport/PGH:_56_km
Departures_from_Gaushala/GWS Pantnagar__Airport/PGH:_57_km
Departures_from_Pirumadara/PRM Pantnagar__Airport/PGH:_55_km
Departures_from_Ramnagar/RMR Pantnagar__Airport/PGH:_55_km
Departures_from_Malarna/MLZ Jaipur_Sanganer_Airport/JAI:_102_km
Departures_from_/ Guna__Airport/GUX:_71_km
Departures_from_Kolaras/KLRS New_Delhi_Indira_Gandhi_International_Airport/DEL:_49_km
Departures_from_Dasna/DS New_Delhi_Indira_Gandhi_International_Airport/DEL:_27_km
Departures_from_Vivek_Vihar/VVB Porbandar__Airport/PBD:_5_km
Departures_from_Porbandar/PBR Porbandar__Airport/PBD:_29_km
Departures_from_Wansjaliya/WSJ Jamnagar__Airport/JGA:_33_km
Departures_from_/ Jamnagar__Airport/JGA:_5_km
Departures_from_Lalpur_Jam/LPJ Jamnagar__Airport/JGA:_11_km
Departures_from_Jamnagar/JAM Rajkot__Airport/RAJ:_42_km
Departures_from_Hapa/HAPA Jodhpur__Airport/JDH:_124_km
Departures_from_Wankaner_Junction/WKR Nasik_Gandhi_Nagar_Airport/ISK:_35_km
Departures_from_Sendra/SEU Shirdi__Airport/SRD:_44_km
Departures_from_Lasalgaon/LS Aurangabad_Chikalthan_Airport/IXU:_46_km
Departures_from_Rotegaon/RGO Aurangabad_Chikalthan_Airport/IXU:_10_km
Departures_from_Lasur/LSR Aurangabad_Chikalthan_Airport/IXU:_54_km
Departures_from_Aurangabad/AWB Aurangabad_Chikalthan_Airport/IXU:_94_km
Departures_from_Jalna/J Nanded__Airport/NDC:_102_km
Departures_from_Partur/PTU Nanded__Airport/NDC:_88_km
Departures_from_Selu/SELU Nanded__Airport/NDC:_61_km
Departures_from_Manwath_Road/MVO Nanded__Airport/NDC:_32_km
Departures_from_Parbhani_Junction/PBN Nanded__Airport/NDC:_3_km
Departures_from_Purna_Junction/PAU Nanded__Airport/NDC:_21_km
Departures_from_Hazur_Sahib_Nanded/NED Nanded__Airport/NDC:_39_km
Departures_from_Mudkhed/MUE Nanded__Airport/NDC:_68_km
Departures_from_Umri/UMRI Nanded__Airport/NDC:_78_km
Departures_from_Dharmabad/DAB Nanded__Airport/NDC:_105_km
Departures_from_Basar/BSX Hyderabad_Begumpet_Airport/HYD:_128_km
Departures_from_Nizamabad/NZB Hyderabad_Begumpet_Airport/HYD:_103_km
Departures_from_Kamareddi/KMC Hyderabad_Begumpet_Airport/HYD:_93_km
Departures_from_Akanapet/AKE Hyderabad_Begumpet_Airport/HYD:_37_km
Departures_from_Mirzapali/MZL Shirdi__Airport/SRD:_51_km
Departures_from_Bolarum/BMO Shirdi__Airport/SRD:_35_km
Departures_from_Ankai/ANK Shirdi__Airport/SRD:_22_km
Departures_from_Yeola/YL Shirdi__Airport/SRD:_18_km
Departures_from_Sanvatsar/SNVR Shirdi__Airport/SRD:_23_km
Departures_from_Kanhegaon/KNGN Shirdi__Airport/SRD:_23_km
Departures_from_Puntamba_Junction/PB Shirdi__Airport/SRD:_37_km
Departures_from_Chitali/CIT Shirdi__Airport/SRD:_39_km
Departures_from_Nipani_Vadgaon/NPW Akola__Airport/AKD:_67_km
Departures_from_Padhegaon/PDGN Shirdi__Airport/SRD:_53_km
Departures_from_Takli/TKI Shirdi__Airport/SRD:_60_km
Departures_from_Rahuri/RRI Shirdi__Airport/SRD:_70_km
Departures_from_Vambori/VBR Shirdi__Airport/SRD:_94_km
Departures_from_Vilad/VL Pune_Lohegaon_Airport/PNQ:_91_km
Departures_from_Akolner/AKR Pune_Lohegaon_Airport/PNQ:_83_km
