Departures_from_Visapur/VPR Pune_Lohegaon_Airport/PNQ:_80_km
Departures_from_Belwandi/BWD Pune_Lohegaon_Airport/PNQ:_79_km
Departures_from_Shrigonda_Road/SGND Pune_Lohegaon_Airport/PNQ:_78_km
Departures_from_Kashti/KSTH Pune_Lohegaon_Airport/PNQ:_77_km
Departures_from_Yalvigi/YLG Hubli__Airport/HBX:_52_km
Departures_from_Karajgi/KJG Hubli__Airport/HBX:_70_km
Departures_from_Byadgi/BYD Hubli__Airport/HBX:_90_km
Departures_from_Chikjajur_Junction/JRU Vidyanagar__Airport/VDY:_134_km
Departures_from_Hassan_Junction/HAS Mysore_Mandakalli_Airport/MYQ:_109_km
Departures_from_Hole_Narsipur/HLN Mysore_Mandakalli_Airport/MYQ:_79_km
Departures_from_Mandagere/MGF Mysore_Mandakalli_Airport/MYQ:_65_km
Departures_from_Krishnarajanagara/KRNR Mysore_Mandakalli_Airport/MYQ:_40_km
Departures_from_Phulwartanr/PLJE Bokaro__Airport/VEBK:_18_km
Departures_from_Katrasgarh/KTH Dhanbad__Airport/DBD:_15_km
Departures_from_Nagarsol/NSL Shirdi__Airport/SRD:_45_km
Departures_from_Taru/TR Shirdi__Airport/SRD:_42_km
Departures_from_Parsoda/PSD Shirdi__Airport/SRD:_56_km
Departures_from_Potul/POZ Aurangabad_Chikalthan_Airport/IXU:_31_km
Departures_from_Daulatabad/DLB Aurangabad_Chikalthan_Airport/IXU:_21_km
Departures_from_Badnapur/BDU Aurangabad_Chikalthan_Airport/IXU:_36_km
Departures_from_Karkheli/KEK Nanded__Airport/NDC:_54_km
Departures_from_Contai_Road/CNT Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_138_km
Departures_from_Jaleswar/JER Jamshedpur_Sonari_Airport/IXW:_164_km
Departures_from_Kolkata_Santragachi_Junction/SRC Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_19_km
Departures_from_Tamluk/TMZ Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_72_km
Departures_from_Kanthi_P_Halt/KATI Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_127_km
Departures_from_Ramnagar_Bengal/RMRB Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_148_km
Departures_from_Digha_Flag_Station/DGHA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_158_km
Departures_from_Hazaribagh_Road/HZD Bokaro__Airport/VEBK:_68_km
Departures_from_Parsabad/PSB Bokaro__Airport/VEBK:_89_km
Departures_from_Paharpur/PRP Gaya__Airport/GAY:_30_km
Departures_from_Tankuppa/TKN Gaya__Airport/GAY:_19_km
Departures_from_Guraru/GRRU Gaya__Airport/GAY:_19_km
Departures_from_RafiGanj/RFJ Gaya__Airport/GAY:_35_km
Departures_from_Jakhim/JHN Gaya__Airport/GAY:_46_km
Departures_from_Son_Nagar/SEB Gaya__Airport/GAY:_78_km
Departures_from_Kudra/KTQ Varanasi_Babatpur_Airport/VNS:_109_km
Departures_from_Durgauti/DGO Varanasi_Babatpur_Airport/VNS:_74_km
Departures_from_Karamnasa/KMS Varanasi_Babatpur_Airport/VNS:_65_km
Departures_from_Saidraja/SYJ Varanasi_Babatpur_Airport/VNS:_57_km
Departures_from_Chandauli_Majhwar/CDMR Varanasi_Babatpur_Airport/VNS:_40_km
Departures_from_Jaunpur_Junction/JNU Varanasi_Babatpur_Airport/VNS:_40_km
Departures_from_Kheta_Sarai/KS Varanasi_Babatpur_Airport/VNS:_46_km
Departures_from_Shahganj_Junction/SHG Varanasi_Babatpur_Airport/VNS:_74_km
Departures_from_Malipur/MLPR Varanasi_Babatpur_Airport/VNS:_100_km
Departures_from_Akbarpur/ABP Gorakhpur__Airport/GOP:_102_km
Departures_from_GoshainGanj/GGJ Gorakhpur__Airport/GOP:_113_km
Departures_from_Ayodhya_Junction/AY Gorakhpur__Airport/GOP:_130_km
Departures_from_Acharya_Narendra_Dev_Nagar/ACND Lucknow_Amausi_Airport/LKO:_133_km
Departures_from_Sohwal/SLW Lucknow_Amausi_Airport/LKO:_115_km
Departures_from_Rudauli/RDL Lucknow_Amausi_Airport/LKO:_92_km
Departures_from_Daryabad/DYD Lucknow_Amausi_Airport/LKO:_70_km
Departures_from_SafdarGanj/SGJ Lucknow_Amausi_Airport/LKO:_63_km
Departures_from_Saneh_Road/SNX Dehradun_Grant_Airport/DED:_72_km
Departures_from_Kotdwar/KTW Dehradun_Grant_Airport/DED:_63_km
Departures_from_Katra/KEA Gorakhpur__Airport/GOP:_130_km
Departures_from_Okha/OKHA Jamnagar__Airport/JGA:_101_km
Departures_from_Dwarka/DWK Porbandar__Airport/PBD:_102_km
Departures_from_Khambhaliya/KMBL Jamnagar__Airport/JGA:_48_km
Departures_from_Balichak/BCK Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_102_km
Departures_from_Basta/BTS Jamshedpur_Sonari_Airport/IXW:_162_km
Departures_from_Markona/MKO Bhubaneswar__Airport/BBI:_139_km
Departures_from_Baitarani_Road/BTV Bhubaneswar__Airport/BBI:_97_km
Departures_from_Korai_Halt/KRIH Bhubaneswar__Airport/BBI:_91_km
Departures_from_Dhanmandal/DNM Bhubaneswar__Airport/BBI:_60_km
Departures_from_Barang/BRAG Bhubaneswar__Airport/BBI:_18_km
Departures_from_Nirakarpur/NKP Bhubaneswar__Airport/BBI:_44_km
Departures_from_Chilka/CLKA Bhubaneswar__Airport/BBI:_96_km
Departures_from_Ichchapuram/IPM Bhubaneswar__Airport/BBI:_183_km
Departures_from_Sompeta/SPT Bhubaneswar__Airport/BBI:_201_km
Departures_from_Naupada_Junction/NWP Visakhapatnam_Visakhapatnam_Airport/VTZ:_154_km
Departures_from_Chipurupalle/CPP Visakhapatnam_Visakhapatnam_Airport/VTZ:_79_km
Departures_from_Kankavli/KKW Kolhapur__Airport/KLH:_79_km
Departures_from_Thivim/THVM Goa_Dabolim_Airport/GOI:_30_km
Departures_from_Karwar/KAWR Goa_Dabolim_Airport/GOI:_77_km
Departures_from_Gokarna_Road/GOK Goa_Dabolim_Airport/GOI:_111_km
Departures_from_Kumta/KT Goa_Dabolim_Airport/GOI:_130_km
Departures_from_Honnavar/HNA Hubli__Airport/HBX:_145_km
Departures_from_Bhatkal/BTJL Mangalore_Bajpe_Airport/IXE:_125_km
Departures_from_Byndoor_Mookambika_Road/BYNR Mangalore_Bajpe_Airport/IXE:_110_km
Departures_from_Kundapura/KUDA Mangalore_Bajpe_Airport/IXE:_78_km
Departures_from_Mulki/MULK Mangalore_Bajpe_Airport/IXE:_16_km
Departures_from_Surathkal/SL Mangalore_Bajpe_Airport/IXE:_10_km
Departures_from_Mararikkulam/MAKM Cochin_International_Nedumbassery_Airport/COK:_65_km
Departures_from_Chittoor/CTO Tirupati__Airport/TIR:_69_km
Departures_from_Tinpahar_Junction/TPH Dhanbad__Airport/DBD:_194_km
Departures_from_Pirpainti/PPT Bagdogra__Airport/IXB:_188_km
Departures_from_Sabaur/SBO Dhanbad__Airport/DBD:_176_km
Departures_from_Khurja_Junction/KRJ New_Delhi_Indira_Gandhi_International_Airport/DEL:_80_km
Departures_from_Bilimora_Junction/BIM Daman__Airport/NMB:_41_km
Departures_from_Amalsad/AML Surat__Airport/STV:_43_km
Departures_from_Maroli/MRL Surat__Airport/STV:_18_km
Departures_from_Sachin/SCH Surat__Airport/STV:_11_km
Departures_from_Guskara/GKH Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_124_km
Departures_from_Prantik/PNE Dhanbad__Airport/DBD:_136_km
Departures_from_Ahmadpur_Junction/AMP Dhanbad__Airport/DBD:_134_km
Departures_from_Mallarpur/MLV Dhanbad__Airport/DBD:_141_km
Departures_from_Nalhati_Junction/NHT Dhanbad__Airport/DBD:_159_km
Departures_from_Morgram/MGAE Dhanbad__Airport/DBD:_178_km
Departures_from_Sagardighi/SDI Dhanbad__Airport/DBD:_185_km
