Departures_from_Udvada/UVD Daman__Airport/NMB:_9_km
Departures_from_Kim/KIM Surat__Airport/STV:_29_km
Departures_from_Kosamba_Junction/KSB Surat__Airport/STV:_37_km
Departures_from_Miyagam_Karjan/MYG Vadodara__Airport/BDQ:_35_km
Departures_from_Mahemdavad_Kheda_Road/MHD Ahmedabad_Sardar_Patel_Airport/AMD:_32_km
Departures_from_Barejadi/BJD Ahmedabad_Sardar_Patel_Airport/AMD:_21_km
Departures_from_Dungri/DGI Daman__Airport/NMB:_32_km
Departures_from_Sayan/SYN Surat__Airport/STV:_19_km
Departures_from_Panoli/PAO Surat__Airport/STV:_50_km
Departures_from_Nabipur/NIU Vadodara__Airport/BDQ:_65_km
Departures_from_Palej/PLJ Vadodara__Airport/BDQ:_51_km
Departures_from_Vasad_Junction/VDA Vadodara__Airport/BDQ:_23_km
Departures_from_Kolkata_Shalimar/SHM Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_18_km
Departures_from_Kudalnagar/KON Madurai__Airport/IXM:_13_km
Departures_from_Sarai/SAI Patna__Airport/PAT:_30_km
Departures_from_Paman/PMN Kanpur__Airport/KNU:_31_km
Departures_from_Pokhrayan/PHN Kanpur__Airport/KNU:_60_km
Departures_from_Kalpi/KPI Kanpur__Airport/KNU:_74_km
Departures_from_Ait/AIT Gwalior__Airport/GWL:_114_km
Departures_from_Moth/MOTH Gwalior__Airport/GWL:_99_km
Departures_from_Chirgaon/CGN Gwalior__Airport/GWL:_104_km
Departures_from_Sathi/SAHI Gorakhpur__Airport/GOP:_114_km
Departures_from_Chanpatia/CAI Gorakhpur__Airport/GOP:_115_km
Departures_from_Pipra/PPA Patna__Airport/PAT:_105_km
Departures_from_Motipur/MTR Patna__Airport/PAT:_83_km
Departures_from_Kanginhal/KGX Hubli__Airport/HBX:_72_km
Departures_from_Bhanapur/BNP Vidyanagar__Airport/VDY:_72_km
Departures_from_Haripur/HP Jodhpur__Airport/JDH:_107_km
Departures_from_Tapri_Junction/TPZ Dehradun_Grant_Airport/DED:_68_km
Departures_from_Ambika_Kalna/ABKA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_66_km
Departures_from_Nabadwip_Dham/NDAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_87_km
Departures_from_Katwa_Junction/KWAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_120_km
Departures_from_Salar/SALE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_136_km
Departures_from_Bazarsau/BZLE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_145_km
Departures_from_Khagraghat_Road/KGLE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_171_km
Departures_from_Jangipur_Road/JRLE Dhanbad__Airport/DBD:_186_km
Departures_from_Nimtita/NILE Dhanbad__Airport/DBD:_189_km
Departures_from_Samsi/SM Bagdogra__Airport/IXB:_167_km
Departures_from_Bhaluka_Road_F/BKRD Bagdogra__Airport/IXB:_162_km
Departures_from_Harischandrapur/HCR Bagdogra__Airport/IXB:_156_km
Departures_from_Kumedpur_Junction/KDPR Bagdogra__Airport/IXB:_139_km
Departures_from_Simri_Bakhtiyarpur/SBV Patna__Airport/PAT:_160_km
Departures_from_Jhargram/JGM Jamshedpur_Sonari_Airport/IXW:_99_km
Departures_from_Chakulia/CKU Jamshedpur_Sonari_Airport/IXW:_71_km
Departures_from_Ghatsila/GTS Jamshedpur_Sonari_Airport/IXW:_42_km
Departures_from_Jhimri/JHMR Jamshedpur_Sonari_Airport/IXW:_35_km
Departures_from_Latemda/LMTD Jamshedpur_Sonari_Airport/IXW:_45_km
Departures_from_Tiraldih/TUL Jamshedpur_Sonari_Airport/IXW:_53_km
Departures_from_Suisa/SSIA Bokaro__Airport/VEBK:_54_km
Departures_from_Torang/TRAN Ranchi__Airport/IXR:_14_km
Departures_from_Tatisilwai/TIS Ranchi__Airport/IXR:_7_km
Departures_from_Namkon/NKM Gaya__Airport/GAY:_38_km
Departures_from_Makhdumpur_Gaya/MDE Gaya__Airport/GAY:_62_km
Departures_from_Gujhandi/GJD Bokaro__Airport/VEBK:_28_km
Departures_from_Kotshila_Junction/KSX Bokaro__Airport/VEBK:_48_km
Departures_from_Silli/SLF Bokaro__Airport/VEBK:_16_km
Departures_from_Bhandaridah/BHME Bokaro__Airport/VEBK:_21_km
Departures_from_Phusro/PUS Bokaro__Airport/VEBK:_26_km
Departures_from_Bermo/BRMO Bokaro__Airport/VEBK:_28_km
Departures_from_Jarangdih/JAN Bokaro__Airport/VEBK:_33_km
Departures_from_Bokaro_Thermal/BKRO Bokaro__Airport/VEBK:_45_km
Departures_from_Dumri_Bihar/DMBR Bokaro__Airport/VEBK:_55_km
Departures_from_Danea/DNEA Gwalior__Airport/GWL:_97_km
Departures_from_Jaswantnagar/JGR Bokaro__Airport/VEBK:_57_km
Departures_from_Chainpur/CNPR Ranchi__Airport/IXR:_46_km
Departures_from_Ranchi_Road/RRME Dehradun_Grant_Airport/DED:_15_km
Departures_from_Rishikesh/RKSH Dehradun_Grant_Airport/DED:_15_km
Departures_from_Virbhadra/VRH Chandigarh__Airport/IXC:_40_km
Departures_from_Fatehgarh_Sahib/FGSB Chandigarh__Airport/IXC:_38_km
Departures_from_Bassi_Pathanan/BSPN Chandigarh__Airport/IXC:_32_km
Departures_from_Morinda_Junction/MRND Chandigarh__Airport/IXC:_29_km
Departures_from_Kurali/KRLI Chandigarh__Airport/IXC:_43_km
Departures_from_Rupnagar/RPAR Chandigarh__Airport/IXC:_46_km
Departures_from_Ghanauli/GANL Shimla__Airport/SLV:_51_km
Departures_from_Kiratpur_Sahib/KART Shimla__Airport/SLV:_60_km
Departures_from_Anandpur_Sahib/ANSB Ludhiana_Sahnewal_Airport/LUH:_74_km
Departures_from_Nangal_Dam/NLDM Ludhiana_Sahnewal_Airport/LUH:_72_km
Departures_from_Naya_Nangal/NNGL Ludhiana_Sahnewal_Airport/LUH:_74_km
Departures_from_Raimehatpur/MTPR Ludhiana_Sahnewal_Airport/LUH:_80_km
Departures_from_Una_Himachal/UHL Chandigarh__Airport/IXC:_12_km
Departures_from_Chandi_Mandir/CNDM Chandigarh__Airport/IXC:_24_km
Departures_from_Kalka/KLK Bhubaneswar__Airport/BBI:_69_km
Departures_from_Kuhuri/KUU Bhubaneswar__Airport/BBI:_131_km
Departures_from_Ganjam/GAM Visakhapatnam_Visakhapatnam_Airport/VTZ:_185_km
Departures_from_Keutguda/KTGA Visakhapatnam_Visakhapatnam_Airport/VTZ:_195_km
Departures_from_Sikarpai/SKPI Visakhapatnam_Visakhapatnam_Airport/VTZ:_188_km
Departures_from_Bhalumaska/BLMK Visakhapatnam_Visakhapatnam_Airport/VTZ:_185_km
Departures_from_Leliguma/LLGM Visakhapatnam_Visakhapatnam_Airport/VTZ:_176_km
Departures_from_Rauli/RUL Visakhapatnam_Visakhapatnam_Airport/VTZ:_171_km
Departures_from_Tikiri/TKRI Visakhapatnam_Visakhapatnam_Airport/VTZ:_163_km
Departures_from_Singaram/SGRM Visakhapatnam_Visakhapatnam_Airport/VTZ:_150_km
Departures_from_Laxmipur_Road/LKMR Visakhapatnam_Visakhapatnam_Airport/VTZ:_142_km
Departures_from_Kakirigumma/KKGM Visakhapatnam_Visakhapatnam_Airport/VTZ:_129_km
Departures_from_Damanjodi/DMNJ Visakhapatnam_Visakhapatnam_Airport/VTZ:_137_km
Departures_from_Koraput_Junction/KRPU Visakhapatnam_Visakhapatnam_Airport/VTZ:_143_km
Departures_from_Manabar/MVF Visakhapatnam_Visakhapatnam_Airport/VTZ:_150_km
Departures_from_Jarti/JRT Visakhapatnam_Visakhapatnam_Airport/VTZ:_158_km
Departures_from_Maligura/MVG Visakhapatnam_Visakhapatnam_Airport/VTZ:_157_km
Departures_from_Chattriput/CTS Visakhapatnam_Visakhapatnam_Airport/VTZ:_156_km
