Departures_from_Giddarbaha/GDB Bhatinda__Airport/BUP:_12_km
Departures_from_Malout/MOT Bhatinda__Airport/BUP:_28_km
Departures_from_Abohar/ABS Bhatinda__Airport/BUP:_59_km
Departures_from_Shri_Ganganagar/SGNR Bhatinda__Airport/BUP:_98_km
Departures_from_Sarupathar/SZR Dimapur__Airport/DMU:_38_km
Departures_from_Titabar/TTB Jorhat_Rowriah_Airport/JRH:_15_km
Departures_from_Amguri/AGI Jorhat_Rowriah_Airport/JRH:_38_km
Departures_from_Sapekhati/SPK Dibrugarh__Airport/DIB:_46_km
Departures_from_Borhat/BFD Dibrugarh__Airport/DIB:_46_km
Departures_from_Namrup/NAM Dibrugarh__Airport/DIB:_46_km
Departures_from_Duliajan/DJG Dibrugarh__Airport/DIB:_33_km
Departures_from_New_Tinsukia_Junction/NTSK Dibrugarh__Airport/DIB:_33_km
Departures_from_Makum_Junction/MJN Dibrugarh__Airport/DIB:_44_km
Departures_from_Digboi/DBY Dibrugarh__Airport/DIB:_63_km
Departures_from_Margherita/MRG Dibrugarh__Airport/DIB:_72_km
Departures_from_Ledo/LEDO Dibrugarh__Airport/DIB:_72_km
Departures_from_Pasraha/PSR Patna__Airport/PAT:_176_km
Departures_from_Sonbarsa_Kacheri/SBM Patna__Airport/PAT:_160_km
Departures_from_Koparia/KFA Patna__Airport/PAT:_159_km
Departures_from_Dhamara_Ghat/DHT Patna__Airport/PAT:_159_km
Departures_from_Badla_Ghat/BHB Patna__Airport/PAT:_158_km
Departures_from_Sahibpur_Kamal_Junction/SKJ Patna__Airport/PAT:_140_km
Departures_from_Veraval/VRL Diu__Airport/DIU:_64_km
Departures_from_Keshod/KSD Porbandar__Airport/PBD:_77_km
Departures_from_Junagadh_Junction/JND Porbandar__Airport/PBD:_88_km
Departures_from_Jetalsar_Junction/JLR Rajkot__Airport/RAJ:_71_km
Departures_from_Gondal/GDL Rajkot__Airport/RAJ:_39_km
Departures_from_Bhakti_Nagar/BKNG Rajkot__Airport/RAJ:_3_km
Departures_from_Than_Junction/THAN Rajkot__Airport/RAJ:_55_km
Departures_from_Derol/DRL Vadodara__Airport/BDQ:_43_km
Departures_from_Tarana_Road/TAN Indore__Airport/IDR:_69_km
Departures_from_Kali_Sindh/KSH Bhopal__Airport/BHO:_97_km
Departures_from_Parbati/PRB Bhopal__Airport/BHO:_35_km
Departures_from_Bhaton_Ki_Gali/BHG Jaipur_Sanganer_Airport/JAI:_34_km
Departures_from_Sadulshahr/SDS Bhatinda__Airport/BUP:_73_km
Departures_from_Kayamsar/QMRS Jaipur_Sanganer_Airport/JAI:_171_km
Departures_from_Marwar_Mathanya/MMY Jodhpur__Airport/JDH:_33_km
Departures_from_Osiyan/OSN Jodhpur__Airport/JDH:_58_km
Departures_from_Shaitan_Singh_Nagar/STSN Jodhpur__Airport/JDH:_111_km
Departures_from_Pokaran/POK Jaisalmer__Airport/JSA:_111_km
Departures_from_Khalilpur/KIP New_Delhi_Indira_Gandhi_International_Airport/DEL:_54_km
Departures_from_Bawal/BWL New_Delhi_Indira_Gandhi_International_Airport/DEL:_78_km
Departures_from_Ajaraka/AIA New_Delhi_Indira_Gandhi_International_Airport/DEL:_89_km
Departures_from_Harsauli/HSI New_Delhi_Indira_Gandhi_International_Airport/DEL:_94_km
Departures_from_Bassi/BAI Jaipur_Sanganer_Airport/JAI:_24_km
Departures_from_Nawa_City/NAC Jaipur_Sanganer_Airport/JAI:_88_km
Departures_from_Marwar_Lohwat/MWT Jodhpur__Airport/JDH:_99_km
Departures_from_Basni/BANE Jodhpur__Airport/JDH:_5_km
Departures_from_Baytu/BUT Jodhpur__Airport/JDH:_141_km
Departures_from_Utarlai/UTL Jaisalmer__Airport/JSA:_141_km
Departures_from_Sakhoti_Tanda/SKF New_Delhi_Indira_Gandhi_International_Airport/DEL:_97_km
Departures_from_Dakhineswar/DAKE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_9_km
Departures_from_Kamarkundu/KQU Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_33_km
Departures_from_Gurpa/GAP Gaya__Airport/GAY:_43_km
Departures_from_Gola_Road/GRE Ranchi__Airport/IXR:_49_km
Departures_from_WyndhamGanj/WDM Varanasi_Babatpur_Airport/VNS:_150_km
Departures_from_Rura/RURA Kanpur__Airport/KNU:_49_km
Departures_from_Jhinjhak/JJK Kanpur__Airport/KNU:_67_km
Departures_from_Jalesar_Road/JLS Agra_Kheria_Airport/AGR:_40_km
Departures_from_Chola/CHL New_Delhi_Indira_Gandhi_International_Airport/DEL:_71_km
Departures_from_Dhulian_Ganga/DGLE Dhanbad__Airport/DBD:_187_km
Departures_from_Jorhat_Town/JTTN Jorhat_Rowriah_Airport/JRH:_5_km
Departures_from_Kumbakonam/KMU Tiruchirapalli__Airport/TRZ:_81_km
Departures_from_Thanjavur_Junction/TJ Tiruchirapalli__Airport/TRZ:_49_km
Departures_from_Mankatha/MKB Patna__Airport/PAT:_112_km
Departures_from_Dumri_Halt/DMRX Patna__Airport/PAT:_107_km
Departures_from_Rampur_Dumra/RDUM Patna__Airport/PAT:_101_km
Departures_from_Suhsarai/SOW Patna__Airport/PAT:_60_km
Departures_from_Silao/SILO Gaya__Airport/GAY:_65_km
Departures_from_Vangaon/VGN Daman__Airport/NMB:_65_km
Departures_from_Sanjan/SJN Daman__Airport/NMB:_28_km
Departures_from_Bhilad/BLD Daman__Airport/NMB:_19_km
Departures_from_Pardi/PAD Daman__Airport/NMB:_13_km
Departures_from_Samlaya_Junction/SMLA Vadodara__Airport/BDQ:_21_km
Departures_from_Sant_Road/SAT Vadodara__Airport/BDQ:_82_km
Departures_from_Piplod_Junction/PPD Vadodara__Airport/BDQ:_93_km
Departures_from_Julana/JNA New_Delhi_Indira_Gandhi_International_Airport/DEL:_97_km
Departures_from_Uchana/UCA New_Delhi_Indira_Gandhi_International_Airport/DEL:_140_km
Departures_from_Bareta/BRZ Bhatinda__Airport/BUP:_103_km
Departures_from_Budhlada/BLZ Bhatinda__Airport/BUP:_90_km
Departures_from_Mansa/MSZ Bhatinda__Airport/BUP:_73_km
Departures_from_Maur/MAUR Bhatinda__Airport/BUP:_53_km
Departures_from_Ramannapet/RMNP Hyderabad_Begumpet_Airport/HYD:_73_km
Departures_from_Rajabera/RJB Bokaro__Airport/VEBK:_15_km
