Departures_from_New_Maynaguri/NMX Bagdogra__Airport/IXB:_53_km
Departures_from_Kamakhyaguri/KAMG Cooch_Behar__Airport/CDP:_36_km
Departures_from_Sorbhog_Junction/SBE Guwahati_Borjhar_Airport/GAU:_86_km
Departures_from_Tihu/TIHU Guwahati_Borjhar_Airport/GAU:_58_km
Departures_from_Barpathar/BXP Dimapur__Airport/DMU:_48_km
Departures_from_Surgaon_Banjari/SGBJ Indore__Airport/IDR:_112_km
Departures_from_Charkhera/CRK Bhopal__Airport/BHO:_109_km
Departures_from_Barud/BRUD Indore__Airport/IDR:_124_km
Departures_from_Dagarhkeri/DRHI Indore__Airport/IDR:_128_km
Departures_from_Jasra/JSR Allahabad_Bamrauli_Airport/IXD:_19_km
Departures_from_Sarai_Chandi/SYC Allahabad_Bamrauli_Airport/IXD:_29_km
Departures_from_Barya_Ram/BYHA Allahabad_Bamrauli_Airport/IXD:_54_km
Departures_from_Sarai_Kansrai/SQN Varanasi_Babatpur_Airport/VNS:_53_km
Departures_from_Kapseti/KEH Varanasi_Babatpur_Airport/VNS:_19_km
Departures_from_Jakhanian/JKN Varanasi_Babatpur_Airport/VNS:_71_km
Departures_from_Anavardikhanpet/AVN Tirupati__Airport/TIR:_68_km
Departures_from_Vaikom_Road/VARD Cochin_International_Nedumbassery_Airport/COK:_45_km
Departures_from_Bawani_Khera/BWK New_Delhi_Indira_Gandhi_International_Airport/DEL:_118_km
Departures_from_Hansi/HNS New_Delhi_Indira_Gandhi_International_Airport/DEL:_133_km
Departures_from_Mandi_Adampur/ADR Bhatinda__Airport/BUP:_136_km
Departures_from_Bhattu/BHT Bhatinda__Airport/BUP:_118_km
Departures_from_Kalanwali/KNL Bhatinda__Airport/BUP:_55_km
Departures_from_Raman/RMN Bhatinda__Airport/BUP:_43_km
Departures_from_Khed/KHED Pune_Lohegaon_Airport/PNQ:_116_km
Departures_from_Sangameshwar_Road/SGR Kolhapur__Airport/KLH:_104_km
Departures_from_Vilavade/VID Kolhapur__Airport/KLH:_76_km
Departures_from_Rajapur_Road/RAJP Kolhapur__Airport/KLH:_74_km
Departures_from_Vaibhavwadi_Road/VBW Kolhapur__Airport/KLH:_67_km
Departures_from_Sindhudurg/SNDD Goa_Dabolim_Airport/GOI:_87_km
