Departures_from_Verna/VEN Goa_Dabolim_Airport/GOI:_10_km
Departures_from_Bhatkal/BTKL Mangalore_Bajpe_Airport/IXE:_126_km
Departures_from_Nadbai/NBI Agra_Kheria_Airport/AGR:_80_km
Departures_from_Kherli/KL Agra_Kheria_Airport/AGR:_96_km
Departures_from_Mandawar_Mahwa_Road/MURD Jaipur_Sanganer_Airport/JAI:_114_km
Departures_from_Ankola/ANKL Goa_Dabolim_Airport/GOI:_103_km
Departures_from_Barkur/BKJ Mangalore_Bajpe_Airport/IXE:_62_km
Departures_from_Kapasan/KIN Udaipur__Airport/UDR:_52_km
Departures_from_Dubaha/DUBH Patna__Airport/PAT:_69_km
Departures_from_Siho/SIHO Patna__Airport/PAT:_66_km
Departures_from_Silaut/SLT Patna__Airport/PAT:_65_km
Departures_from_Narayanpur_Anant/NRPA Patna__Airport/PAT:_67_km
Departures_from_Ramgarhwa/RGH Gorakhpur__Airport/GOP:_144_km
Departures_from_Raxaul_Junction/RXL Gorakhpur__Airport/GOP:_148_km
Departures_from_Sitapur_Cantt./SCC Lucknow_Amausi_Airport/LKO:_95_km
Departures_from_Gevra_Road/GAD Bilaspur__Airport/PAB:_81_km
Departures_from_Korba/KRBA Bilaspur__Airport/PAB:_77_km
Departures_from_Saragbundia/SRBA Bilaspur__Airport/PAB:_72_km
Departures_from_Kothari_Road/KTHD Bilaspur__Airport/PAB:_67_km
Departures_from_Balpur_Halt/BPRH Bilaspur__Airport/PAB:_65_km
Departures_from_Kapan/KPNA Bilaspur__Airport/PAB:_42_km
Departures_from_Kotmi_Sonar_Halt/KTSH Bilaspur__Airport/PAB:_27_km
Departures_from_Jairamnagar/JRMG Bilaspur__Airport/PAB:_21_km
Departures_from_Gatora/GTW Bilaspur__Airport/PAB:_15_km
Departures_from_Sitafal_Mandi/STPD Hyderabad_Begumpet_Airport/HYD:_25_km
Departures_from_Malkajgiri/MJF Hyderabad_Begumpet_Airport/HYD:_28_km
Departures_from_Gowdavalli/GWV Hyderabad_Begumpet_Airport/HYD:_45_km
Departures_from_Medchal/MED Hyderabad_Begumpet_Airport/HYD:_48_km
Departures_from_Wadiaram/WDR Hyderabad_Begumpet_Airport/HYD:_87_km
Departures_from_Bhojudih_Junction/BJE Dhanbad__Airport/DBD:_23_km
Departures_from_Bhaga_Junction/VAA Dhanbad__Airport/DBD:_14_km
Departures_from_Mahuda_Junction/MHQ Bokaro__Airport/VEBK:_18_km
Departures_from_Rewa/REWA Allahabad_Bamrauli_Airport/IXD:_116_km
Departures_from_Sahasrakund/SHSK Nanded__Airport/NDC:_79_km
Departures_from_Kinwat/KNVT Nanded__Airport/NDC:_110_km
Departures_from_Adilabad/ADB Nanded__Airport/NDC:_146_km
Departures_from_Hardattpur/HDT Varanasi_Babatpur_Airport/VNS:_21_km
Departures_from_Garividi/GVI Visakhapatnam_Visakhapatnam_Airport/VTZ:_73_km
Departures_from_Sigadam/SGDM Visakhapatnam_Visakhapatnam_Airport/VTZ:_90_km
Departures_from_Ponduru/PDU Visakhapatnam_Visakhapatnam_Airport/VTZ:_97_km
Departures_from_Dusi/DUSI Visakhapatnam_Visakhapatnam_Airport/VTZ:_103_km
Departures_from_Tilaru/TIU Visakhapatnam_Visakhapatnam_Airport/VTZ:_128_km
Departures_from_Kotabommali/KBM Visakhapatnam_Visakhapatnam_Airport/VTZ:_140_km
Departures_from_Pundi/PUN Visakhapatnam_Visakhapatnam_Airport/VTZ:_168_km
Departures_from_Niphad/NR Nasik_Gandhi_Nagar_Airport/ISK:_18_km
Departures_from_Bagra_Tawa/BGTA Bhopal__Airport/BHO:_104_km
Departures_from_Sadisopur/SDE Patna__Airport/PAT:_18_km
Departures_from_Banka_Road/BNKR Dhanbad__Airport/DBD:_133_km
Departures_from_Barahat/BHLE Dhanbad__Airport/DBD:_140_km
Departures_from_Punsia/PNSA Dhanbad__Airport/DBD:_144_km
Departures_from_Dhauni/DWLE Dhanbad__Airport/DBD:_149_km
Departures_from_Hatpuraini/HPLE Dhanbad__Airport/DBD:_164_km
Departures_from_Kollikhutaha/KKTA Dhanbad__Airport/DBD:_167_km
Departures_from_Ammasandra/AMSA Bengaluru__Airport/BLR:_113_km
Departures_from_Pachhapur/PCH Belgaum__Airport/IXG:_28_km
Departures_from_Loisingha/LSX Raipur__Airport/RPR:_197_km
Departures_from_Lanjigarh_Road/LJR Raipur__Airport/RPR:_232_km
Departures_from_Sanathnagar/SNF Hyderabad_Begumpet_Airport/HYD:_27_km
Departures_from_Shankarpalli/SKP Hyderabad_Begumpet_Airport/HYD:_42_km
Departures_from_Nawandgi/NAW Hyderabad_Begumpet_Airport/HYD:_112_km
Departures_from_Kondapuram/KDP Cuddapah__Airport/COH:_71_km
Departures_from_Muddanuru/MOO Cuddapah__Airport/COH:_47_km
Departures_from_Kamalapuram/KKM Cuddapah__Airport/COH:_15_km
Departures_from_Nandalur/NRE Cuddapah__Airport/COH:_47_km
Departures_from_Pullampet/PMT Cuddapah__Airport/COH:_67_km
Departures_from_Obulavaripalli/OBVP Tirupati__Airport/TIR:_57_km
Departures_from_Dudhwakhara/DKX Bikaner__Airport/BKB:_195_km
Departures_from_Suratpura/SURP New_Delhi_Indira_Gandhi_International_Airport/DEL:_173_km
Departures_from_Laseri/LSE New_Delhi_Indira_Gandhi_International_Airport/DEL:_170_km
Departures_from_Jhunpa/JUP New_Delhi_Indira_Gandhi_International_Airport/DEL:_163_km
Departures_from_Siwani/SWNI New_Delhi_Indira_Gandhi_International_Airport/DEL:_158_km
Departures_from_Naloi_Barwa/BVZ New_Delhi_Indira_Gandhi_International_Airport/DEL:_158_km
Departures_from_Charaud/CRW New_Delhi_Indira_Gandhi_International_Airport/DEL:_157_km
Departures_from_Kallakkudi_Palanganatham/KKPM Tiruchirapalli__Airport/TRZ:_36_km
Departures_from_Lalgudi/LLI Tiruchirapalli__Airport/TRZ:_18_km
Departures_from_Tiruchirappalli_Town/TPTN Tiruchirapalli__Airport/TRZ:_8_km
Departures_from_Ponmalai_Golden_Rock/GOC Tiruchirapalli__Airport/TRZ:_4_km
Departures_from_Tiruverumbur/TRB Tiruchirapalli__Airport/TRZ:_8_km
Departures_from_Budalur/BAL Tiruchirapalli__Airport/TRZ:_31_km
Departures_from_Chhatna/CJN Dhanbad__Airport/DBD:_85_km
Departures_from_Sarangpur/SFW Bhopal__Airport/BHO:_97_km
Departures_from_Pachor_Road/PFR Bhopal__Airport/BHO:_82_km
Departures_from_Chachaura_Binaganj/CBK Guna__Airport/GUX:_66_km
Departures_from_Kumbhraj/KHRJ Guna__Airport/GUX:_44_km
Departures_from_Pipraigaon/PIA Guna__Airport/GUX:_67_km
Departures_from_Chaunrah/CNH Kanpur__Airport/KNU:_69_km
Departures_from_Sathiaon/SAA Varanasi_Babatpur_Airport/VNS:_81_km
Departures_from_Dehu_Road/DEHR Pune_Lohegaon_Airport/PNQ:_23_km
Departures_from_Pimpri/PMP Pune_Lohegaon_Airport/PNQ:_14_km
Departures_from_Alandi/ALN Pune_Lohegaon_Airport/PNQ:_20_km
Departures_from_Bamhrauli/BMU Allahabad_Bamrauli_Airport/IXD:_1_km
Departures_from_Manauri/MRE Allahabad_Bamrauli_Airport/IXD:_8_km
Departures_from_Saiyid_Sarawan/SYWN Allahabad_Bamrauli_Airport/IXD:_13_km
Departures_from_ManoharGanj/MNJ Allahabad_Bamrauli_Airport/IXD:_21_km
Departures_from_Shujaatpur/SJT Allahabad_Bamrauli_Airport/IXD:_40_km
Departures_from_Faizullapur/FYZ Kanpur__Airport/KNU:_87_km
Departures_from_Khurja_City/KJY New_Delhi_Indira_Gandhi_International_Airport/DEL:_85_km
Departures_from_Bulandshahr/BSC New_Delhi_Indira_Gandhi_International_Airport/DEL:_79_km
Departures_from_Gulaothi/GLH New_Delhi_Indira_Gandhi_International_Airport/DEL:_73_km
Departures_from_Rajghat_Narora/RG Bareilly__Airport/BEK:_111_km
