Departures_from_Bahjoi/BJ Bareilly__Airport/BEK:_83_km
Departures_from_Chit_Baragaon/CBN Patna__Airport/PAT:_116_km
Departures_from_Tajpur_Dehma/TJD Varanasi_Babatpur_Airport/VNS:_117_km
Departures_from_Karimuddin_Pur/KMDR Varanasi_Babatpur_Airport/VNS:_109_km
Departures_from_NandGanj/NDJ Varanasi_Babatpur_Airport/VNS:_58_km
Departures_from_Khajauli/KJI Patna__Airport/PAT:_157_km
Departures_from_Rajanagar/RJA Patna__Airport/PAT:_146_km
Departures_from_Pandaul/PDW Patna__Airport/PAT:_131_km
Departures_from_Tarsarai/TRS Patna__Airport/PAT:_123_km
Departures_from_Kakarghatti/KKHT Patna__Airport/PAT:_114_km
Departures_from_Majhowlia/MJL Gorakhpur__Airport/GOP:_122_km
Departures_from_Khada/KZA Gorakhpur__Airport/GOP:_67_km
Departures_from_Ghughuli/GH Gorakhpur__Airport/GOP:_51_km
Departures_from_Tahsil_Fatehpur/TSF Lucknow_Amausi_Airport/LKO:_58_km
Departures_from_Mahmudabad_Avadh/MMB Lucknow_Amausi_Airport/LKO:_66_km
Departures_from_Biswan/BVN Lucknow_Amausi_Airport/LKO:_86_km
Departures_from_Sitapur_City/SPC Lucknow_Amausi_Airport/LKO:_98_km
Departures_from_Maholi/MAHO Lucknow_Amausi_Airport/LKO:_112_km
Departures_from_MaikalGanj/MINJ Bareilly__Airport/BEK:_121_km
Departures_from_Gholvad/GVD Daman__Airport/NMB:_42_km
Departures_from_Itola/ITA Vadodara__Airport/BDQ:_23_km
Departures_from_Vishvamitri/VS Vadodara__Airport/BDQ:_8_km
Departures_from_Kanjari_Boriyavi/KBRV Vadodara__Airport/BDQ:_46_km
Departures_from_Chandlodiya/CDLD Ahmedabad_Sardar_Patel_Airport/AMD:_10_km
Departures_from_Ambli_Road/ABD Ahmedabad_Sardar_Patel_Airport/AMD:_15_km
Departures_from_Gora_Ghuma/GGM Ahmedabad_Sardar_Patel_Airport/AMD:_21_km
Departures_from_Sanand/SAU Ahmedabad_Sardar_Patel_Airport/AMD:_27_km
Departures_from_Chharodi/CE Ahmedabad_Sardar_Patel_Airport/AMD:_39_km
Departures_from_Jakhvada/JKA Ahmedabad_Sardar_Patel_Airport/AMD:_47_km
Departures_from_Sindhawadar/SDD Rajkot__Airport/RAJ:_31_km
Departures_from_Gop_Jam/GOP Jamnagar__Airport/JGA:_51_km
Departures_from_Sakhpur/SKR Porbandar__Airport/PBD:_22_km
Departures_from_Ranavav/RWO Porbandar__Airport/PBD:_10_km
Departures_from_Lakhtar/LTR Ahmedabad_Sardar_Patel_Airport/AMD:_95_km
Departures_from_Muli_Road/MOL Rajkot__Airport/RAJ:_82_km
Departures_from_Daladi/DL Rajkot__Airport/RAJ:_45_km
Departures_from_Padadhari/PDH Rajkot__Airport/RAJ:_24_km
Departures_from_Jam_Wanthali/WTJ Jamnagar__Airport/JGA:_34_km
Departures_from_Alia_Bada/ALB Jamnagar__Airport/JGA:_22_km
Departures_from_Kanalas_Junction/KNLS Jamnagar__Airport/JGA:_21_km
Departures_from_Bhatiya/BHTA Porbandar__Airport/PBD:_66_km
Departures_from_Mithapur/MTHP Jamnagar__Airport/JGA:_108_km
Departures_from_/ Patna__Airport/PAT:_55_km
Departures_from_Karisath/KRS Patna__Airport/PAT:_31_km
Departures_from_Koelwar/KWR Patna__Airport/PAT:_28_km
Departures_from_Neora_Naddi/NOR Patna__Airport/PAT:_83_km
Departures_from_Hardas_Bigha/HDE Patna__Airport/PAT:_150_km
Departures_from_Mor/MOR Dhanbad__Airport/DBD:_194_km
Departures_from_Dasharathpur/DRTP Bagdogra__Airport/IXB:_194_km
Departures_from_Bikram_Shila/BKSL Dhanbad__Airport/DBD:_182_km
Departures_from_Taljhari/TLJ Dhanbad__Airport/DBD:_164_km
Departures_from_Kotalpukur/KLP Vijayawada__Airport/VGA:_57_km
Departures_from_Chatra/CTR Vijayawada__Airport/VGA:_56_km
Departures_from_Bidupur/BIU Vijayawada__Airport/VGA:_51_km
Departures_from_Machilipatnam/MTM Vijayawada__Airport/VGA:_43_km
Departures_from_Chilakalapudi/CLU Vijayawada__Airport/VGA:_39_km
Departures_from_Pedana/PAV Vijayawada__Airport/VGA:_35_km
Departures_from_Vadlamannadu/VMD Vijayawada__Airport/VGA:_30_km
Departures_from_Kavutaram/KVM Akola__Airport/AKD:_116_km
Departures_from_Gudlavalleru/GVL Nagpur_Sonegaon_Airport/NAG:_64_km
Departures_from_Nujella/NUJ Nagpur_Sonegaon_Airport/NAG:_65_km
Departures_from_Bodwad/BDWD Nagpur_Sonegaon_Airport/NAG:_82_km
Departures_from_Bhugaon/BPK Nagpur_Sonegaon_Airport/NAG:_90_km
Departures_from_Sonegaon/SNN Nagpur_Sonegaon_Airport/NAG:_118_km
Departures_from_Nagri/NGI Nagpur_Sonegaon_Airport/NAG:_140_km
Departures_from_Chikni_Road/CKNI Jabalpur__Airport/JLR:_117_km
Departures_from_Tadali/TAE Allahabad_Bamrauli_Airport/IXD:_171_km
Departures_from_Babupeth/BUPH Ranchi__Airport/IXR:_57_km
Departures_from_Khanna_Banjari/KHBJ Ranchi__Airport/IXR:_51_km
