Departures_from_Kiroda/KRC Bikaner__Airport/BKB:_158_km
Departures_from_Pakala_Junction/PAK Tirupati__Airport/TIR:_53_km
Departures_from_Kem/KEM Osmanabad__Airport/OMN:_88_km
Departures_from_Madha/MA Sholapur__Airport/SSE:_63_km
Departures_from_Mohol/MO Sholapur__Airport/SSE:_35_km
Departures_from_Achalda/ULD Kanpur__Airport/KNU:_105_km
Departures_from_Nuzvid/NZD Vijayawada__Airport/VGA:_23_km
Departures_from_Powerpet/PRH Vijayawada__Airport/VGA:_41_km
Departures_from_Bhimadolu/BMD Vijayawada__Airport/VGA:_61_km
Departures_from_Virpur/VRR Rajkot__Airport/RAJ:_54_km
Departures_from_Navagadh/NUD Rajkot__Airport/RAJ:_66_km
Departures_from_Maliya_Hatina/MLHA Diu__Airport/DIU:_86_km
Departures_from_Chorvad_Road/CVR Diu__Airport/DIU:_79_km
Departures_from_Dantan/DNT Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_151_km
Departures_from_Amarda_Road/ARD Jamshedpur_Sonari_Airport/IXW:_161_km
Departures_from_Kapilas_Road_Junction/KIS Bhubaneswar__Airport/BBI:_40_km
Departures_from_Naraj_Marthapur/NQR Bhubaneswar__Airport/BBI:_24_km
Departures_from_Sardiha/SUA Jamshedpur_Sonari_Airport/IXW:_114_km
Departures_from_Pradhankhunta/PKA Dhanbad__Airport/DBD:_11_km
Departures_from_Sindri_Block_Hut/SDBH Dhanbad__Airport/DBD:_16_km
Departures_from_Pathardih_Bazar/PBQ Dhanbad__Airport/DBD:_21_km
Departures_from_Sudamdih/SDMD Dhanbad__Airport/DBD:_28_km
Departures_from_Santaldih/SNTD Ranchi__Airport/IXR:_42_km
Departures_from_Govindpur_Road/GBX Ranchi__Airport/IXR:_61_km
Departures_from_Pokla/PKF Ranchi__Airport/IXR:_110_km
Departures_from_Orga/ORGA Cooch_Behar__Airport/CDP:_16_km
Departures_from_Ghoksadanga/GDX Rajahmundry__Airport/RJA:_23_km
Departures_from_Kadiyam/KYM Rajahmundry__Airport/RJA:_29_km
Departures_from_Bikkavolu/BVL Rajahmundry__Airport/RJA:_33_km
Departures_from_Medapadu/MPU Cochin_International_Nedumbassery_Airport/COK:_24_km
Departures_from_Thrippunithura/TRTR Trivandrum_International_Airport/TRV:_2_km
Departures_from_Thiruvananthapuram_Pettah/TVP Hyderabad_Begumpet_Airport/HYD:_19_km
Departures_from_Malakpet/MXT Hyderabad_Begumpet_Airport/HYD:_13_km
Departures_from_Falaknuma/FM Hyderabad_Begumpet_Airport/HYD:_6_km
Departures_from_Umdanagar/UR Hyderabad_Begumpet_Airport/HYD:_17_km
Departures_from_Timmapur/TMX Hyderabad_Begumpet_Airport/HYD:_31_km
Departures_from_Shadnagar/SHNR Hyderabad_Begumpet_Airport/HYD:_116_km
Departures_from_Wanparti_Road/WPR Hyderabad_Begumpet_Airport/HYD:_125_km
Departures_from_Sriramnagar/SRNR Tirupati__Airport/TIR:_38_km
Departures_from_Nagari/NG Salem__Airport/SXV:_60_km
Departures_from_Palakkodu/PCV Madurai__Airport/IXM:_26_km
Departures_from_Sholavandan/SDN Madurai__Airport/IXM:_6_km
Departures_from_Tirupparangundram/TDN Madurai__Airport/IXM:_21_km
Departures_from_Kalligudi/KGD Tuticorin__Airport/TCN:_15_km
Departures_from_Kailasapuram/KLPM Tuticorin__Airport/TCN:_12_km
