Departures_from_Jarandeshwar/JSV Pune_Lohegaon_Airport/PNQ:_99_km
Departures_from_Bhavani_Nagar/BVNR Kolhapur__Airport/KLH:_58_km
Departures_from_Valivade/VVE Kolhapur__Airport/KLH:_41_km
Departures_from_Vishrambag/VRB Gorakhpur__Airport/GOP:_29_km
Departures_from_Sihapar/SIPR New_Delhi_Indira_Gandhi_International_Airport/DEL:_45_km
Departures_from_Dadri/DER Patna__Airport/PAT:_28_km
Departures_from_GoldingGanj/GALG Patna__Airport/PAT:_24_km
Departures_from_Baragopal/BAGL Patna__Airport/PAT:_18_km
Departures_from_Awatarnagar/ATNR Bareilly__Airport/BEK:_94_km
Departures_from_Parmanandpur/PMU Khajuraho__Airport/HJR:_99_km
Departures_from_Dhanari/DN Patna__Airport/PAT:_82_km
Departures_from_Chitahra/CTHR Cooch_Behar__Airport/CDP:_18_km
Departures_from_Sathajagat/STJT Tiruchirapalli__Airport/TRZ:_94_km
Departures_from_Alipur_Duar/APD Ahmedabad_Sardar_Patel_Airport/AMD:_59_km
Departures_from_Pennadam/PNDM Amritsar_Raja_Sansi_Airport/ATQ:_52_km
Departures_from_Vijapur/VJF New_Delhi_Indira_Gandhi_International_Airport/DEL:_72_km
Departures_from_Chhina/CHN New_Delhi_Indira_Gandhi_International_Airport/DEL:_74_km
Departures_from_Hafizpur/HZR Porbandar__Airport/PBD:_106_km
Departures_from_Baral/BARL Jamnagar__Airport/JGA:_42_km
Departures_from_Varvala/VVA Diu__Airport/DIU:_27_km
Departures_from_Jaliya_Devani/JALD Jaipur_Sanganer_Airport/JAI:_23_km
Departures_from_Hadmadiya/HRM Jaipur_Sanganer_Airport/JAI:_46_km
Departures_from_Nindhar_Benar/NDH Jaipur_Sanganer_Airport/JAI:_61_km
Departures_from_Loharwara/LHW Jaipur_Sanganer_Airport/JAI:_76_km
Departures_from_Chhota_Gudha/COD Jaipur_Sanganer_Airport/JAI:_89_km
Departures_from_Baori_Thikria/BOTI Jaipur_Sanganer_Airport/JAI:_97_km
Departures_from_Palsana/PLSN Jaipur_Sanganer_Airport/JAI:_102_km
Departures_from_Ranolishishu/RNIS Bhubaneswar__Airport/BBI:_31_km
Departures_from_Goriyan/GIO Bhubaneswar__Airport/BBI:_38_km
Departures_from_Ghantakhal_Nidhipur/GHNH Bhatinda__Airport/BUP:_42_km
Departures_from_Charbatia/CBT Chandigarh__Airport/IXC:_148_km
Departures_from_Jharia/JRI New_Delhi_Indira_Gandhi_International_Airport/DEL:_17_km
Departures_from_Kot_Fatteh/KTF Agra_Kheria_Airport/AGR:_84_km
Departures_from_Ghaso/GSO Kanpur__Airport/KNU:_13_km
Departures_from_Sadar_Bazar/DSB Kanpur__Airport/KNU:_45_km
Departures_from_Bhadan/BDN Chandigarh__Airport/IXC:_22_km
Departures_from_Panki/PNK Chandigarh__Airport/IXC:_10_km
Departures_from_Bindki_Road/BKO Chandigarh__Airport/IXC:_8_km
Departures_from_Lalru/LLU Kanpur__Airport/KNU:_36_km
Departures_from_Dappar/DHPR Kanpur__Airport/KNU:_46_km
Departures_from_Ghagghar/GHG Lucknow_Amausi_Airport/LKO:_69_km
Departures_from_Bighapur/BQP Lucknow_Amausi_Airport/LKO:_82_km
Departures_from_Takia/TQA Salem__Airport/SXV:_44_km
