Departures_from_Bolinna_Doaba/BLND Ludhiana_Sahnewal_Airport/LUH:_64_km
Departures_from_Khurdpur/KUPR Ludhiana_Sahnewal_Airport/LUH:_71_km
Departures_from_Sham_Chaurasi/SCQ Ludhiana_Sahnewal_Airport/LUH:_73_km
Departures_from_Nasrala/NAS Ludhiana_Sahnewal_Airport/LUH:_76_km
Departures_from_Hoshiarpur/HSX Ludhiana_Sahnewal_Airport/LUH:_79_km
Departures_from_Farah_Town/FHT Agra_Kheria_Airport/AGR:_28_km
Departures_from_Hodal/HDL New_Delhi_Indira_Gandhi_International_Airport/DEL:_84_km
Departures_from_Faridabad_New_Town/FDN New_Delhi_Indira_Gandhi_International_Airport/DEL:_31_km
Departures_from_Jalalpur_Dhai/JPD Lucknow_Amausi_Airport/LKO:_90_km
Departures_from_Safedabad/SFH Lucknow_Amausi_Airport/LKO:_33_km
Departures_from_Jugaur/JRR Lucknow_Amausi_Airport/LKO:_26_km
Departures_from_Malhour/ML Lucknow_Amausi_Airport/LKO:_21_km
Departures_from_Umar_Tali/UTA Lucknow_Amausi_Airport/LKO:_57_km
Departures_from_Dalelnagar/DLQ Lucknow_Amausi_Airport/LKO:_63_km
Departures_from_Masit/MST Lucknow_Amausi_Airport/LKO:_89_km
Departures_from_Karna/KAR Lucknow_Amausi_Airport/LKO:_96_km
Departures_from_Kaurha/KUF Lucknow_Amausi_Airport/LKO:_115_km
Departures_from_Behtagokul/BEG Bareilly__Airport/BEK:_117_km
Departures_from_Todarpur/TDP Bareilly__Airport/BEK:_110_km
Departures_from_Algawan/AIG Bareilly__Airport/BEK:_95_km
Departures_from_Kahiliya/KH Bareilly__Airport/BEK:_88_km
Departures_from_Banthra/BTRA Bareilly__Airport/BEK:_66_km
Departures_from_Miranpur_Katra/MK Bareilly__Airport/BEK:_46_km
Departures_from_Tisua/TSA Bareilly__Airport/BEK:_32_km
Departures_from_Rasuriya/RYS Bareilly__Airport/BEK:_13_km
Departures_from_Agra_City/AGA Agra_Kheria_Airport/AGR:_7_km
Departures_from_Krishnashilla/KRSL Varanasi_Babatpur_Airport/VNS:_152_km
Departures_from_Anpara/ANPR Varanasi_Babatpur_Airport/VNS:_146_km
Departures_from_Karaila_Road_Junction/KRLR Varanasi_Babatpur_Airport/VNS:_141_km
Departures_from_Mirchadhori/MCQ Varanasi_Babatpur_Airport/VNS:_136_km
Departures_from_Atrampur/ARP Allahabad_Bamrauli_Airport/IXD:_16_km
Departures_from_Billi/BXLL Varanasi_Babatpur_Airport/VNS:_118_km
Departures_from_Shakti_Nagar/SKTN Varanasi_Babatpur_Airport/VNS:_156_km
Departures_from_Bhadri/BHDR Allahabad_Bamrauli_Airport/IXD:_33_km
Departures_from_Maman/MOM New_Delhi_Indira_Gandhi_International_Airport/DEL:_83_km
Departures_from_Kansrao/QSR Dehradun_Grant_Airport/DED:_13_km
Departures_from_Sura_Nussi/SRX Ludhiana_Sahnewal_Airport/LUH:_77_km
Departures_from_Dilwa/DLW Gaya__Airport/GAY:_55_km
Departures_from_Mananwala/MOW Amritsar_Raja_Sansi_Airport/ATQ:_23_km
Departures_from_Pathri/PRI Dehradun_Grant_Airport/DED:_40_km
Departures_from_Ikkar/IKK Dehradun_Grant_Airport/DED:_36_km
Departures_from_Motichur/MOTC Dehradun_Grant_Airport/DED:_24_km
Departures_from_Majhola_Pakarya/MJZ Pantnagar__Airport/PGH:_49_km
Departures_from_Khatima/KHMA Pantnagar__Airport/PGH:_52_km
Departures_from_Chakarpur/CKK Pantnagar__Airport/PGH:_56_km
Departures_from_Banbasa/BNSA Pantnagar__Airport/PGH:_61_km
Departures_from_Tanakpur/TPU Pantnagar__Airport/PGH:_65_km
Departures_from_Mursan/MSN Agra_Kheria_Airport/AGR:_49_km
Departures_from_Sonai/SYZ Agra_Kheria_Airport/AGR:_49_km
Departures_from_Raya/RAYA Agra_Kheria_Airport/AGR:_50_km
Departures_from_Tarikere_Junction/TKE Mangalore_Bajpe_Airport/IXE:_137_km
