Departures_from_Cinnamara/CMA Jorhat_Rowriah_Airport/JRH:_7_km
Departures_from_Tadwal/TVL Sholapur__Airport/SSE:_28_km
Departures_from_Sali/SALI Jaipur_Sanganer_Airport/JAI:_82_km
Departures_from_Sakhun/SK Jaipur_Sanganer_Airport/JAI:_76_km
Departures_from_Dantra/DTRA Jaipur_Sanganer_Airport/JAI:_69_km
Departures_from_Bhanwasa/BNWS Jaipur_Sanganer_Airport/JAI:_47_km
Departures_from_Dhinda/DHND Jaipur_Sanganer_Airport/JAI:_34_km
Departures_from_Bobas/BOBS Jaipur_Sanganer_Airport/JAI:_28_km
Departures_from_Sheo_Singh_Pura/SHNX Jaipur_Sanganer_Airport/JAI:_24_km
Departures_from_Dhanakya/DNK Patna__Airport/PAT:_101_km
Departures_from_Rusera_Ghat/ROA Patna__Airport/PAT:_116_km
Departures_from_Hasanpur_Road/HPO Patna__Airport/PAT:_123_km
Departures_from_Salauna/SLNA Salem__Airport/SXV:_18_km
Departures_from_Salem_Town/SXT Salem__Airport/SXV:_23_km
Departures_from_Ayodhyapattanam/APN Salem__Airport/SXV:_42_km
Departures_from_Valappadi_G_Halt/VGE Salem__Airport/SXV:_64_km
Departures_from_Attur/ATU Salem__Airport/SXV:_95_km
Departures_from_Chinna_Salem/CHSM Dibrugarh__Airport/DIB:_58_km
Departures_from_Lakswa/LXA Kolhapur__Airport/KLH:_119_km
Departures_from_Aravali_Road/AVRD Goa_Dabolim_Airport/GOI:_49_km
Departures_from_Madure/MADR Bengaluru__Airport/BLR:_40_km
Departures_from_Dodbele/DBL Bengaluru__Airport/BLR:_65_km
Departures_from_Kyatsandra/KIAT Bengaluru__Airport/BLR:_88_km
Departures_from_Gubbi/GBB Mangalore_Bajpe_Airport/IXE:_156_km
Departures_from_Ajjampur/AJP Mangalore_Bajpe_Airport/IXE:_166_km
Departures_from_Shivani/SHV Vidyanagar__Airport/VDY:_163_km
Departures_from_Hosdurga_Road/HSD Vidyanagar__Airport/VDY:_153_km
Departures_from_Ramgiri/RGI Vidyanagar__Airport/VDY:_144_km
Departures_from_Holalkere/HLK Vidyanagar__Airport/VDY:_122_km
Departures_from_Mayakonda/MYK Vidyanagar__Airport/VDY:_120_km
Departures_from_Kodaganur/KAG Hubli__Airport/HBX:_117_km
Departures_from_Chalgeri/CLI Hubli__Airport/HBX:_98_km
Departures_from_Devargudda/DAD Hubli__Airport/HBX:_66_km
Departures_from_Kalsur/KVS Hubli__Airport/HBX:_59_km
Departures_from_Savanur/SVNR Hubli__Airport/HBX:_42_km
Departures_from_Gudgeri/GDI Hubli__Airport/HBX:_30_km
Departures_from_Saunshi/SNH Hubli__Airport/HBX:_22_km
Departures_from_Kundgol/KNO Vidyanagar__Airport/VDY:_24_km
Departures_from_Kariganuru/KGW Vidyanagar__Airport/VDY:_13_km
Departures_from_Papinayaknahali/PKL Vidyanagar__Airport/VDY:_7_km
Departures_from_Gadiganuru/GNR Bellary__Airport/BEP:_15_km
Departures_from_Kudatini/KDN Bellary__Airport/BEP:_2_km
Departures_from_Bellary_Cantt./BYC Bellary__Airport/BEP:_39_km
Departures_from_Somalapuram/SLM Bellary__Airport/BEP:_56_km
Departures_from_Rayadurg/RDG Bellary__Airport/BEP:_55_km
Departures_from_Molakalmuru/MOMU Vidyanagar__Airport/VDY:_85_km
Departures_from_Thallak/THKU Vidyanagar__Airport/VDY:_99_km
Departures_from_Challakere/CHKE Vidyanagar__Airport/VDY:_110_km
Departures_from_Bellenahalli/BNHL Vidyanagar__Airport/VDY:_114_km
Departures_from_Chitradurg/CTA Vidyanagar__Airport/VDY:_123_km
Departures_from_Amritapura/AMC Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_36_km
Departures_from_Ulhasnagar/ULNR Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_38_km
Departures_from_Ambarnath/ABH Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_42_km
Departures_from_Badlapur/BUD Pune_Lohegaon_Airport/PNQ:_46_km
Departures_from_Kamshet/KMST Sholapur__Airport/SSE:_68_km
