Departures_from_Talamanchi/TMC Tirupati__Airport/TIR:_125_km
Departures_from_Alluru_Road/AXR Tirupati__Airport/TIR:_136_km
Departures_from_Pathrad/PARD Nanded__Airport/NDC:_9_km
Departures_from_Mugat/MGC Nanded__Airport/NDC:_12_km
Departures_from_Sivungaon/SVN Nanded__Airport/NDC:_27_km
Departures_from_Shelgaon_Halt/SLGH Nanded__Airport/NDC:_32_km
Departures_from_Bolsa/BLSA Nanded__Airport/NDC:_47_km
Departures_from_Navipet/NVT Nanded__Airport/NDC:_91_km
Departures_from_Jankampet_Junction/JKM Nanded__Airport/NDC:_97_km
Departures_from_Talmadla/TMD Hyderabad_Begumpet_Airport/HYD:_117_km
Departures_from_Bhiknur/BKU Hyderabad_Begumpet_Airport/HYD:_109_km
Departures_from_Masaipet/ME Hyderabad_Begumpet_Airport/HYD:_79_km
Departures_from_Brahmanpalli/BMPL Hyderabad_Begumpet_Airport/HYD:_76_km
Departures_from_Manoharabad/MOB Hyderabad_Begumpet_Airport/HYD:_61_km
Departures_from_Dabilpur/DBV Hyderabad_Begumpet_Airport/HYD:_52_km
Departures_from_Gundla_Pochampalli/GDPL Hyderabad_Begumpet_Airport/HYD:_40_km
Departures_from_Cavalry_Barracks/CVB Hyderabad_Begumpet_Airport/HYD:_32_km
Departures_from_Misrod/MSO Bhopal__Airport/BHO:_19_km
Departures_from_Barkhera/BKA Bhopal__Airport/BHO:_55_km
Departures_from_Powerkheda/PRKD Bhopal__Airport/BHO:_84_km
Departures_from_Kiratgarh/KRTH Bhopal__Airport/BHO:_99_km
Departures_from_Taku/TAKU Bhopal__Airport/BHO:_127_km
Departures_from_Kala_Akhar/KQE Bhopal__Airport/BHO:_116_km
Departures_from_Dhodra_Mohar/DOH Bhopal__Airport/BHO:_131_km
Departures_from_Barbatpur/BBTR Bhopal__Airport/BHO:_142_km
Departures_from_Maramjhiri/MJY Nagpur_Sonegaon_Airport/NAG:_161_km
Departures_from_Malkapur_Road/MALK Nagpur_Sonegaon_Airport/NAG:_151_km
Departures_from_Barsali/BYS Nagpur_Sonegaon_Airport/NAG:_146_km
Departures_from_Barelipur/BQM Nagpur_Sonegaon_Airport/NAG:_132_km
Departures_from_Morkadhana/MKDN Nagpur_Sonegaon_Airport/NAG:_134_km
Departures_from_Palachauri/PCLI Nagpur_Sonegaon_Airport/NAG:_136_km
