Departures_from_Boroti/BOT Sholapur__Airport/SSE:_45_km
Departures_from_Nagansur/NGS Sholapur__Airport/SSE:_37_km
Departures_from_Tilati/TLT Sholapur__Airport/SSE:_20_km
Departures_from_Tikekarwadi/TKWD Sholapur__Airport/SSE:_2_km
Departures_from_Lachyan/LHN Sholapur__Airport/SSE:_42_km
Departures_from_Nimbal/NBL Sholapur__Airport/SSE:_63_km
Departures_from_Minchnal/MNL Sholapur__Airport/SSE:_78_km
Departures_from_Ghatkesar/GT Hyderabad_Begumpet_Airport/HYD:_38_km
Departures_from_Peddakurapadu/PKPU Vijayawada__Airport/VGA:_61_km
Departures_from_Siripuram/SRPM Vijayawada__Airport/VGA:_58_km
Departures_from_Vejandla/VJA Vijayawada__Airport/VGA:_46_km
Departures_from_Chinnaravuru/CIV Vijayawada__Airport/VGA:_39_km
Departures_from_Vemuru/VMU Vijayawada__Airport/VGA:_42_km
Departures_from_Penumarru/PUMU Vijayawada__Airport/VGA:_47_km
Departures_from_Bhattiprolu/BQU Vijayawada__Airport/VGA:_50_km
Departures_from_Palikona/POA Vijayawada__Airport/VGA:_55_km
Departures_from_Repalle/RAL Vijayawada__Airport/VGA:_60_km
Departures_from_Hanakere/HNK Mysore_Mandakalli_Airport/MYQ:_54_km
Departures_from_Settihally/SET Mysore_Mandakalli_Airport/MYQ:_74_km
Departures_from_Hejjala/HJL Bengaluru__Airport/BLR:_52_km
Departures_from_Nayandahalli/NYH Bengaluru__Airport/BLR:_37_km
Departures_from_Eravipuram/IRP Trivandrum_International_Airport/TRV:_57_km
Departures_from_Kappil/KFI Trivandrum_International_Airport/TRV:_44_km
Departures_from_Edavai/EVA Trivandrum_International_Airport/TRV:_43_km
Departures_from_Akathumuri/AMY Trivandrum_International_Airport/TRV:_32_km
Departures_from_Perunguzhi/PGZ Trivandrum_International_Airport/TRV:_22_km
Departures_from_Kaniyapuram/KXP Trivandrum_International_Airport/TRV:_14_km
Departures_from_Trivandrum_Veli/VELI Trivandrum_International_Airport/TRV:_7_km
Departures_from_Balaramapuram/BRAM Trivandrum_International_Airport/TRV:_16_km
Departures_from_Naraikkinar/NRK Tuticorin__Airport/TCN:_27_km
Departures_from_Joravasan/JRS Daman__Airport/NMB:_37_km
Departures_from_Atul/ATUL Daman__Airport/NMB:_16_km
Departures_from_Vaitarna/VTN Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_50_km
Departures_from_Magra/MUG Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_39_km
Departures_from_Pundooah/PDA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_52_km
Departures_from_Kalipahari/KPK Dhanbad__Airport/DBD:_65_km
Departures_from_Barachak/BCQ Dhanbad__Airport/DBD:_55_km
Departures_from_Salanpur/SLS Dhanbad__Airport/DBD:_48_km
Departures_from_Madankata/MNC Dhanbad__Airport/DBD:_47_km
