Departures_from_Dharuadihi/DIH Ranchi__Airport/IXR:_194_km
Departures_from_Panpali/PNPL Ranchi__Airport/IXR:_207_km
Departures_from_Dhutra/DTV Ranchi__Airport/IXR:_212_km
Departures_from_Ib/IB Bilaspur__Airport/PAB:_200_km
Departures_from_Hemagiri/HGR Bilaspur__Airport/PAB:_177_km
Departures_from_Daghora/DAO Bilaspur__Airport/PAB:_170_km
Departures_from_Jamga/JMG Bilaspur__Airport/PAB:_158_km
Departures_from_Kotarlia/KRL Bilaspur__Airport/PAB:_149_km
Departures_from_Kirodimalnagar/KDTR Bilaspur__Airport/PAB:_132_km
Departures_from_Bhupdeopur/BEF Bilaspur__Airport/PAB:_124_km
Departures_from_Robertson/ROB Bilaspur__Airport/PAB:_116_km
Departures_from_Jharradih/JDI Bilaspur__Airport/PAB:_102_km
Departures_from_Chakarbhatha/CHBT Bilaspur__Airport/PAB:_2_km
Departures_from_Nipania/NPI Bilaspur__Airport/PAB:_20_km
Departures_from_Baikunth/BKTH Raipur__Airport/RPR:_37_km
Departures_from_Siliari/SLH Raipur__Airport/RPR:_28_km
Departures_from_Mandhar/MDH Raipur__Airport/RPR:_18_km
Departures_from_Bortalao/BTL Raipur__Airport/RPR:_121_km
Departures_from_Darekasa/DKS Raipur__Airport/RPR:_127_km
Departures_from_Gudma/GDM Nagpur_Sonegaon_Airport/NAG:_140_km
Departures_from_Khat/KHAT Nagpur_Sonegaon_Airport/NAG:_58_km
Departures_from_Rewral/RRL Nagpur_Sonegaon_Airport/NAG:_50_km
Departures_from_Tharsa/TAR Nagpur_Sonegaon_Airport/NAG:_44_km
Departures_from_Chacher/CHCR Nagpur_Sonegaon_Airport/NAG:_38_km
Departures_from_Kanhan_Junction/KNHN Nagpur_Sonegaon_Airport/NAG:_26_km
Departures_from_Kalamna/KAV Nagpur_Sonegaon_Airport/NAG:_14_km
Departures_from_Aliyabad/AYB Sholapur__Airport/SSE:_90_km
Departures_from_Kyataneakeri_Road/KTK Sholapur__Airport/SSE:_69_km
Departures_from_Chorgi/CHRG Sholapur__Airport/SSE:_54_km
Departures_from_Padnur/PDNR Sholapur__Airport/SSE:_37_km
Departures_from_Sulerjavalge/SLGE Sholapur__Airport/SSE:_21_km
Departures_from_Aherwadi/AHD Sholapur__Airport/SSE:_17_km
Departures_from_Sulehalli/SUH Sholapur__Airport/SSE:_140_km
Departures_from_Salwa/SAL Nagpur_Sonegaon_Airport/NAG:_32_km
Departures_from_Mundikota/MNU Nagpur_Sonegaon_Airport/NAG:_92_km
Departures_from_Kachewani/KWN Nagpur_Sonegaon_Airport/NAG:_109_km
Departures_from_Gangajhari/GJ Nagpur_Sonegaon_Airport/NAG:_117_km
Departures_from_Paniajob/PJB Raipur__Airport/RPR:_119_km
Departures_from_Jatkanhar/JTR Raipur__Airport/RPR:_100_km
Departures_from_Musra/MUA Raipur__Airport/RPR:_96_km
Departures_from_Murhipar/MUP Raipur__Airport/RPR:_65_km
Departures_from_Saraswatinagar/SRWN Raipur__Airport/RPR:_17_km
Departures_from_WRS_Colony_PH/WRC Raipur__Airport/RPR:_16_km
Departures_from_Urkura/URK Raipur__Airport/RPR:_16_km
Departures_from_Dagori/DGS Bilaspur__Airport/PAB:_11_km
Departures_from_Dadhapara/DPH Bilaspur__Airport/PAB:_5_km
Departures_from_Lankalakoderu/LKDU Rajahmundry__Airport/RJA:_69_km
Departures_from_Srungavruksham/SGKM Rajahmundry__Airport/RJA:_71_km
Departures_from_Pennada_Agraharam/PAGM Rajahmundry__Airport/RJA:_72_km
Departures_from_Kaldhari/KLDI Rajahmundry__Airport/RJA:_36_km
Departures_from_Agartala/AGTL Agartala_Singerbhil_Airport/IXA:_12_km
Departures_from_Jogendranagar/JGNR Agartala_Singerbhil_Airport/IXA:_12_km
Departures_from_Jirania/JRNA Agartala_Singerbhil_Airport/IXA:_22_km
Departures_from_Teliamura/TLMR Agartala_Singerbhil_Airport/IXA:_40_km
Departures_from_Mungiakami/MGKM Agartala_Singerbhil_Airport/IXA:_50_km
Departures_from_Ambassa/ABSA Agartala_Singerbhil_Airport/IXA:_66_km
Departures_from_Jawaharnagar/JWNR Agartala_Singerbhil_Airport/IXA:_70_km
Departures_from_SK_Para/SKAP Agartala_Singerbhil_Airport/IXA:_78_km
Departures_from_Manu/MANU Agartala_Singerbhil_Airport/IXA:_83_km
Departures_from_Kumarghat/KUGT Agartala_Singerbhil_Airport/IXA:_90_km
Departures_from_Dharmanagar/DMR Aizawl__Airport/AJL:_99_km
Departures_from_Churaibari/CBZ Silchar_Kumbirgram_Airport/IXS:_96_km
Departures_from_Patharkandi/PTKD Silchar_Kumbirgram_Airport/IXS:_78_km
Departures_from_Karimganj_Junction/KXJ Silchar_Kumbirgram_Airport/IXS:_64_km
Departures_from_Ginigera/GIN Vidyanagar__Airport/VDY:_48_km
Departures_from_Haddinagundu/HDD Bellary__Airport/BEP:_11_km
Departures_from_Hagari/HGI Bellary__Airport/BEP:_18_km
Departures_from_Virapur/VP Bellary__Airport/BEP:_30_km
Departures_from_Bantanahal/BLL Bellary__Airport/BEP:_44_km
Departures_from_Potlapadu/POO Vijayawada__Airport/VGA:_162_km
Departures_from_Gundlakamma/GKM Vijayawada__Airport/VGA:_144_km
Departures_from_Santamagulur/SAB Vijayawada__Airport/VGA:_107_km
Departures_from_Munumaka/MUK Vijayawada__Airport/VGA:_99_km
Departures_from_Zampini/ZPI Vijayawada__Airport/VGA:_40_km
Departures_from_Bellamkonda/BMKD Vijayawada__Airport/VGA:_89_km
Departures_from_Numaligarh/NMGY Jorhat_Rowriah_Airport/JRH:_36_km
Departures_from_Barkisalalya/BSYA Gaya__Airport/GAY:_82_km
Departures_from_Mohibullapur/MBP Lucknow_Amausi_Airport/LKO:_19_km
Departures_from_Nauganwan/NGW Indore__Airport/IDR:_92_km
Departures_from_Pritam_Nagar/PRNG Indore__Airport/IDR:_84_km
Departures_from_Runija/RNJ Indore__Airport/IDR:_79_km
Departures_from_Sunderabad/SNBD Indore__Airport/IDR:_66_km
Departures_from_Barnagar/BNG Indore__Airport/IDR:_60_km
Departures_from_Pirjhalar/PJH Indore__Airport/IDR:_53_km
Departures_from_Gautampura_Road/GPX Indore__Airport/IDR:_47_km
Departures_from_Osra/OSRA Indore__Airport/IDR:_41_km
Departures_from_Fatehabad_Chandrawatiganj_Junction/FTD Indore__Airport/IDR:_36_km
Departures_from_Ajnod/AJN Indore__Airport/IDR:_25_km
Departures_from_Palia/PLA Indore__Airport/IDR:_12_km
Departures_from_Indore_Junction_MG/INDM Indore__Airport/IDR:_7_km
Departures_from_Lokmanya_Nagar/LKMN Indore__Airport/IDR:_6_km
Departures_from_Rajendra_Nagar/RJQ Indore__Airport/IDR:_7_km
Departures_from_Rau/RAU Indore__Airport/IDR:_11_km
Departures_from_Haranya_Kheri/HKH Indore__Airport/IDR:_17_km
Departures_from_Mhow/MHOW Indore__Airport/IDR:_20_km
Departures_from_Chaneti/CHTI Bareilly__Airport/BEK:_6_km
Departures_from_Parsa_Khera/PKRA Bareilly__Airport/BEK:_12_km
Departures_from_Dhaneta/DAN Bareilly__Airport/BEK:_24_km
Departures_from_Duganpur/DUN Bareilly__Airport/BEK:_45_km
Departures_from_Dhamora/DAM Bareilly__Airport/BEK:_51_km
