Departures_from_Shahzad_Nagar/SAR Pantnagar__Airport/PGH:_54_km
Departures_from_Mundha_Pande/MPH Pantnagar__Airport/PGH:_61_km
Departures_from_Dalpatpur/DLP Pantnagar__Airport/PGH:_66_km
Departures_from_Kathghar/KGF Pantnagar__Airport/PGH:_73_km
Departures_from_Harthala/HRH Pantnagar__Airport/PGH:_78_km
Departures_from_Aghwanpur/AWP Pantnagar__Airport/PGH:_79_km
Departures_from_Matlabpur/MTB Pantnagar__Airport/PGH:_84_km
Departures_from_Chakraj_Mal/CAJ Pantnagar__Airport/PGH:_99_km
Departures_from_Habibwala/HBW Dehradun_Grant_Airport/DED:_103_km
Departures_from_Puraini/PNI Dehradun_Grant_Airport/DED:_97_km
Departures_from_Murshadpur/MSDR Dehradun_Grant_Airport/DED:_77_km
Departures_from_Fazalpur/FZL Dehradun_Grant_Airport/DED:_71_km
Departures_from_Dausni/DSNI Dehradun_Grant_Airport/DED:_51_km
Departures_from_Landaura/LDR Dehradun_Grant_Airport/DED:_50_km
Departures_from_Dhandhera/DNRA Dehradun_Grant_Airport/DED:_49_km
Departures_from_Barshi_Town/BTW Osmanabad__Airport/OMN:_38_km
Departures_from_Chaube/CBH Bokaro__Airport/VEBK:_77_km
Departures_from_Modnimb/MLB Sholapur__Airport/SSE:_67_km
Departures_from_Ausa_Road/OSA Latur__Airport/LTU:_7_km
Departures_from_Rajkiawas/RKZ Jodhpur__Airport/JDH:_77_km
Departures_from_Bomadra/BOM Jodhpur__Airport/JDH:_69_km
Departures_from_Kairla/KAI Jodhpur__Airport/JDH:_49_km
Departures_from_Pirdulesha_Halt/PRDH Jodhpur__Airport/JDH:_54_km
Departures_from_Rohat/RT Jodhpur__Airport/JDH:_39_km
Departures_from_Hanwant/HWT Jodhpur__Airport/JDH:_23_km
Departures_from_Salawas/SZ Jodhpur__Airport/JDH:_13_km
Departures_from_Howbagh_Jabalpur/HBG Jabalpur__Airport/JLR:_14_km
Departures_from_Guwarighat/GRG Jabalpur__Airport/JLR:_17_km
Departures_from_Jamtara_Paraswara/JPV Jabalpur__Airport/JLR:_21_km
