Departures_from_Talaburu/TABU Jamshedpur_Sonari_Airport/IXW:_70_km
Departures_from_Kendposi/KNPS Jamshedpur_Sonari_Airport/IXW:_77_km
Departures_from_Maluka/MLKA Jamshedpur_Sonari_Airport/IXW:_89_km
Departures_from_Dharampur/DMPR Agra_Kheria_Airport/AGR:_120_km
Departures_from_Bajalta/BLA Jammu__Airport/IXJ:_14_km
Departures_from_Talguppa/TLGP Hubli__Airport/HBX:_135_km
Departures_from_Sagar_Jambagaru/SRF Hubli__Airport/HBX:_139_km
Departures_from_Adderi/AEX Mangalore_Bajpe_Airport/IXE:_141_km
Departures_from_Kenchanalu_Halt/KCLA Mangalore_Bajpe_Airport/IXE:_144_km
Departures_from_Sivapur/SPV Mangalore_Bajpe_Airport/IXE:_144_km
Departures_from_Karanahalli/KRNH Mangalore_Bajpe_Airport/IXE:_138_km
Departures_from_Masarahalli/MSS Tuticorin__Airport/TCN:_39_km
Departures_from_Shimoga_Bidare/BEI Tuticorin__Airport/TCN:_43_km
Departures_from_Tirunelveli_Town/TYT Tuticorin__Airport/TCN:_54_km
Departures_from_Pettai/PEA Tuticorin__Airport/TCN:_57_km
Departures_from_Cheranmahadevi/SMD Tuticorin__Airport/TCN:_65_km
Departures_from_Karaikkurichi/KARK Trivandrum_International_Airport/TRV:_66_km
Departures_from_Viravanallur/VVR Trivandrum_International_Airport/TRV:_65_km
Departures_from_Kallidaikurichi/KIC Trivandrum_International_Airport/TRV:_66_km
Departures_from_Ambasamudram/ASD Coimbatore__Airport/CJB:_17_km
Departures_from_Kizha_Ambur/KIB Coimbatore__Airport/CJB:_26_km
Departures_from_Azhwarkurichi/AZK Tuticorin__Airport/TCN:_35_km
Departures_from_Ravanasamudram/RVS Tuticorin__Airport/TCN:_29_km
Departures_from_Kila_Kadaiyam/KKY Tuticorin__Airport/TCN:_17_km
Departures_from_Mettur/MTE Tuticorin__Airport/TCN:_12_km
Departures_from_Pavurchutram/PCM Tiruchirapalli__Airport/TRZ:_54_km
Departures_from_Kizha_Puliyur/KYZ Vijayawada__Airport/VGA:_17_km
Departures_from_Periyanaikanpalayam/PKM Vijayawada__Airport/VGA:_8_km
Departures_from_Karaimadai/KAY Vijayawada__Airport/VGA:_5_km
Departures_from_Talaiyuthu/TAY Vijayawada__Airport/VGA:_5_km
Departures_from_Gangaikondan/GDN Vijayawada__Airport/VGA:_11_km
Departures_from_Pandiyapuram/PYM Vijayawada__Airport/VGA:_15_km
Departures_from_Tattapparai/TIP Vijayawada__Airport/VGA:_17_km
Departures_from_Titte/TT Vijayawada__Airport/VGA:_13_km
Departures_from_Satya_Narayanapuram/STPM New_Delhi_Indira_Gandhi_International_Airport/DEL:_76_km
Departures_from_Nidamanuru/NDM New_Delhi_Indira_Gandhi_International_Airport/DEL:_73_km
Departures_from_Uppalur/UPL New_Delhi_Indira_Gandhi_International_Airport/DEL:_73_km
Departures_from_Tenneru/TNRU New_Delhi_Indira_Gandhi_International_Airport/DEL:_75_km
Departures_from_Indupalli/IDP New_Delhi_Indira_Gandhi_International_Airport/DEL:_73_km
Departures_from_Ventrapragada/VPG Bilaspur__Airport/PAB:_68_km
Departures_from_Dosapadu/DPD Bilaspur__Airport/PAB:_75_km
Departures_from_Ramavarappadu/RMV Gorakhpur__Airport/GOP:_145_km
Departures_from_Nurnagar/NRNR Jaisalmer__Airport/JSA:_135_km
Departures_from_Kharkhauda/KXK Jaisalmer__Airport/JSA:_135_km
Departures_from_Kaili/KALI Jaisalmer__Airport/JSA:_134_km
Departures_from_Chandsara/CXA Jaisalmer__Airport/JSA:_135_km
Departures_from_Chhaprawat/CHWT Jaisalmer__Airport/JSA:_139_km
Departures_from_Madwarani/MWRN Tiruchirapalli__Airport/TRZ:_13_km
Departures_from_Urga/URGA Tiruchirapalli__Airport/TRZ:_19_km
Departures_from_Masnadih/MSDH Tiruchirapalli__Airport/TRZ:_25_km
Departures_from_Khadeen/KQF Tiruchirapalli__Airport/TRZ:_39_km
Departures_from_Bhachhbar/BBC Tiruchirapalli__Airport/TRZ:_100_km
Departures_from_Ramsar/RMX Tiruchirapalli__Airport/TRZ:_95_km
Departures_from_Gagariya/GGY Tiruchirapalli__Airport/TRZ:_89_km
Departures_from_Gadra_Road/GDD Tiruchirapalli__Airport/TRZ:_80_km
Departures_from_Jaisingder/JSD Tiruchirapalli__Airport/TRZ:_75_km
Departures_from_Tondamanpatti/TOM Tiruchirapalli__Airport/TRZ:_70_km
Departures_from_Solgampatti/SGM Tiruchirapalli__Airport/TRZ:_64_km
Departures_from_Aiyanapuram/AYN Tiruchirapalli__Airport/TRZ:_60_km
Departures_from_Alakkudi/ALK Tiruchirapalli__Airport/TRZ:_4_km
Departures_from_Kulikarai/KU Tiruchirapalli__Airport/TRZ:_55_km
Departures_from_Tirumanthikunam/TMU Tiruchirapalli__Airport/TRZ:_77_km
Departures_from_Koradacheri/KDE Tiruchirapalli__Airport/TRZ:_73_km
Departures_from_Nidamangalam/NMJ Tiruchirapalli__Airport/TRZ:_66_km
Departures_from_Koyilvenni/KYV Tiruchirapalli__Airport/TRZ:_63_km
Departures_from_Ammapet/AMT Tiruchirapalli__Airport/TRZ:_59_km
Departures_from_Saliyamangalam/SMM Tiruchirapalli__Airport/TRZ:_57_km
Departures_from_Kudikadu/KXO Tiruchirapalli__Airport/TRZ:_86_km
Departures_from_Manjattidal/MCJ Tiruchirapalli__Airport/TRZ:_89_km
Departures_from_Mariammankovil/MAV Tiruchirapalli__Airport/TRZ:_97_km
Departures_from_Darasuram/DSM Tiruchirapalli__Airport/TRZ:_107_km
Departures_from_Swamimalai/SWI Rajkot__Airport/RAJ:_16_km
Departures_from_Sundaraperumal_Kovil/SPL Rajkot__Airport/RAJ:_21_km
Departures_from_Pandaravadai/PDV Rajkot__Airport/RAJ:_51_km
Departures_from_Ayyampet/AZP Rajkot__Airport/RAJ:_80_km
Departures_from_Pasupatikovil/PVL Rajkot__Airport/RAJ:_87_km
Departures_from_Tirunagesvaram/TRM Porbandar__Airport/PBD:_79_km
Departures_from_Tiruvidaimaruthur/TDR Porbandar__Airport/PBD:_76_km
Departures_from_Narasingampet/NPT Diu__Airport/DIU:_72_km
Departures_from_Malliyam/MY Diu__Airport/DIU:_27_km
Departures_from_Kothariya/RKY Diu__Airport/DIU:_31_km
Departures_from_Ribada/RBR Diu__Airport/DIU:_35_km
Departures_from_Semla/SE Diu__Airport/DIU:_40_km
Departures_from_Gomta/GTT Diu__Airport/DIU:_58_km
Departures_from_Choki_Sorath/CKE Bhavnagar_Civil_Airport/BHU:_87_km
Departures_from_Vadal/VAL Rajkot__Airport/RAJ:_85_km
Departures_from_Lushala/LAL Rajkot__Airport/RAJ:_95_km
Departures_from_Badodar/BDDR Rajkot__Airport/RAJ:_96_km
Departures_from_Adari_Road/ADE Diu__Airport/DIU:_86_km
Departures_from_Kodinar/KODR Diu__Airport/DIU:_73_km
