Departures_from_Naya_Nagar/NWC Patna__Airport/PAT:_109_km
Departures_from_Garhpura/GRPA Patna__Airport/PAT:_118_km
Departures_from_Baijnathpur/BYP Patna__Airport/PAT:_169_km
Departures_from_Budhma/BDMA Bagdogra__Airport/IXB:_178_km
Departures_from_Supaul/SOU Patna__Airport/PAT:_170_km
Departures_from_Buranpudi/BCM Patna__Airport/PAT:_169_km
Departures_from_Garh_Baruari/GEB Patna__Airport/PAT:_167_km
Departures_from_Panchgachia/PGC Patna__Airport/PAT:_165_km
Departures_from_Saharsa_Kutchery_Halt/SHKY Patna__Airport/PAT:_162_km
Departures_from_Ugna_Halt/UGNA Patna__Airport/PAT:_130_km
Departures_from_Lalit_Lakshmipur/LLPR Patna__Airport/PAT:_149_km
Departures_from_Korahia/KRHA Patna__Airport/PAT:_158_km
Departures_from_Nirmali/NMA Patna__Airport/PAT:_176_km
Departures_from_Ghogardiha/GGH Patna__Airport/PAT:_165_km
Departures_from_Chikna/CKNA Patna__Airport/PAT:_161_km
Departures_from_Tamuria/TMA Patna__Airport/PAT:_153_km
Departures_from_Jhanjharpur/JJP Patna__Airport/PAT:_145_km
Departures_from_Lohna_Road/LNO Patna__Airport/PAT:_141_km
Departures_from_Manigachi/MGI Patna__Airport/PAT:_133_km
Departures_from_Bansh_Baria/BSAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_36_km
Departures_from_Tribeni/TBAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_40_km
Departures_from_Kuntighat/KJU Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_42_km
Departures_from_Dumurdaha/DMLE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_45_km
Departures_from_Khamargachhi/KMAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_47_km
Departures_from_Jirat/JIT Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_53_km
Departures_from_Balagarh/BGAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_55_km
Departures_from_Somra_Bazar/SOAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_57_km
Departures_from_Behula/BHLA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_62_km
Departures_from_Guptipara/GPAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_63_km
Departures_from_Baghnapara/BGRA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_70_km
Departures_from_Dhatrigram/DTAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_74_km
Departures_from_Samudra_Garh/SMAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_81_km
Departures_from_Tikri/TRE Gorakhpur__Airport/GOP:_134_km
Departures_from_Nawabganj_Gonda/NGB Lucknow_Amausi_Airport/LKO:_133_km
Departures_from_Katka/KFK Varanasi_Babatpur_Airport/VNS:_33_km
Departures_from_Tharwai/THW Allahabad_Bamrauli_Airport/IXD:_22_km
Departures_from_Jarauna/JUA Varanasi_Babatpur_Airport/VNS:_50_km
Departures_from_Barsathi/BSY Varanasi_Babatpur_Airport/VNS:_43_km
Departures_from_Bhanaur/VNN Varanasi_Babatpur_Airport/VNS:_37_km
Departures_from_Warigaon_Newada/WRGN Varanasi_Babatpur_Airport/VNS:_34_km
Departures_from_Shudnipur/SPPR Varanasi_Babatpur_Airport/VNS:_31_km
Departures_from_Salkhapur/SAF Varanasi_Babatpur_Airport/VNS:_30_km
Departures_from_Kajgaon_Terhwan/KJTW Varanasi_Babatpur_Airport/VNS:_32_km
Departures_from_Pakhruli/PKX Allahabad_Bamrauli_Airport/IXD:_97_km
Departures_from_Bhadaiyan/BDIN Allahabad_Bamrauli_Airport/IXD:_96_km
Departures_from_Mahrani_Pachhim/MWP Allahabad_Bamrauli_Airport/IXD:_96_km
Departures_from_Sarai_Harkhu/SVZ Varanasi_Babatpur_Airport/VNS:_57_km
Departures_from_Bakhsha/BKSA Varanasi_Babatpur_Airport/VNS:_52_km
Departures_from_Srinivasa_Nagar/SHAN Hyderabad_Begumpet_Airport/HYD:_82_km
Departures_from_Uppalavai/UPW Hyderabad_Begumpet_Airport/HYD:_140_km
Departures_from_Sirnapalli/SCP Nanded__Airport/NDC:_133_km
Departures_from_Indalvai/IDL Nanded__Airport/NDC:_126_km
Departures_from_Dichpalli/DHP Nanded__Airport/NDC:_120_km
Departures_from_Yedapalli/YDP Nanded__Airport/NDC:_91_km
Departures_from_Shakar_Nagar/SKNR Nanded__Airport/NDC:_89_km
Departures_from_Bodhan/BDHN Nanded__Airport/NDC:_89_km
Departures_from_Samrla/SQE Nanded__Airport/NDC:_61_km
Departures_from_Fakhrabad/FKB Nanded__Airport/NDC:_84_km
Departures_from_Vidya_Nagar/VAR Hyderabad_Begumpet_Airport/HYD:_22_km
Departures_from_Jamai_Osmania/JOO Hyderabad_Begumpet_Airport/HYD:_23_km
Departures_from_Arts_College/ATC Hyderabad_Begumpet_Airport/HYD:_24_km
Departures_from_Gundlapochampalli/GOPL Hyderabad_Begumpet_Airport/HYD:_40_km
Departures_from_Bimbari/BMBE Nanded__Airport/NDC:_35_km
Departures_from_Hadgaon_Road/HDGR Nanded__Airport/NDC:_48_km
Departures_from_Jirona/JXN Nanded__Airport/NDC:_74_km
Departures_from_Dhanora_Deccan/DHNR Nanded__Airport/NDC:_96_km
Departures_from_Ambari/ABX Nanded__Airport/NDC:_115_km
Departures_from_Kosai/KSAE Nanded__Airport/NDC:_124_km
Departures_from_Umram/UMM Nanded__Airport/NDC:_135_km
Departures_from_Mahimba/MHMB Nanded__Airport/NDC:_89_km
Departures_from_Shivni_Shivapur/SVW Akola__Airport/AKD:_3_km
Departures_from_Barsi_Takli/BSQ Akola__Airport/AKD:_15_km
Departures_from_Lohogad/LHD Akola__Airport/AKD:_27_km
Departures_from_Aman_Vadi/AMW Akola__Airport/AKD:_39_km
Departures_from_Jaulka/JUK Akola__Airport/AKD:_47_km
Departures_from_Kata_Road/KXX Akola__Airport/AKD:_62_km
Departures_from_Washim/WHM Akola__Airport/AKD:_70_km
Departures_from_Kekatumar/KKG Akola__Airport/AKD:_79_km
Departures_from_Penganga/PGG Akola__Airport/AKD:_86_km
Departures_from_Kanhargaon_Naka/KNRG Akola__Airport/AKD:_87_km
Departures_from_Malsailu/MLSU Nanded__Airport/NDC:_83_km
Departures_from_Nawalgohan/NVLN Nanded__Airport/NDC:_75_km
Departures_from_Hingoli_Deccan/HNL Nanded__Airport/NDC:_65_km
Departures_from_Dhamni/DNE Nanded__Airport/NDC:_60_km
Departures_from_Nandapur/NDPR Nanded__Airport/NDC:_49_km
Departures_from_Bolda/BLC Nanded__Airport/NDC:_43_km
Departures_from_Sirli/SIF Nanded__Airport/NDC:_40_km
Departures_from_Chondi/CWI Nanded__Airport/NDC:_34_km
Departures_from_Basmat/BMF Nanded__Airport/NDC:_26_km
Departures_from_Marsul/MRV Nanded__Airport/NDC:_24_km
Departures_from_Kalamb_Road/KMRD Osmanabad__Airport/OMN:_11_km
Departures_from_Dhoki/DKY Osmanabad__Airport/OMN:_10_km
Departures_from_Thair/TER Osmanabad__Airport/OMN:_13_km
Departures_from_Palsap/PCP Osmanabad__Airport/OMN:_18_km
Departures_from_Murud/MRX Latur__Airport/LTU:_24_km
Departures_from_Harangul/HGL Latur__Airport/LTU:_4_km
Departures_from_Murti/MRTY Latur__Airport/LTU:_35_km
Departures_from_Bhanvad/BNVD Porbandar__Airport/PBD:_36_km
Departures_from_Rana_Bordi/RNBD Porbandar__Airport/PBD:_16_km
Departures_from_Hadmatiya_Junction/HM Rajkot__Airport/RAJ:_36_km
