Departures_from_Lakhabawal/LKBL Jamnagar__Airport/JGA:_7_km
Departures_from_Pipli/PPLI Jamnagar__Airport/JGA:_16_km
Departures_from_Kathghar_Right_Bank/KGFR Pantnagar__Airport/PGH:_73_km
Departures_from_Got/GOT Pantnagar__Airport/PGH:_70_km
Departures_from_Sehal/SEW Pantnagar__Airport/PGH:_68_km
Departures_from_Jalpur/JLQ Pantnagar__Airport/PGH:_63_km
Departures_from_Padiya_Nagla/PAQ Pantnagar__Airport/PGH:_59_km
Departures_from_Vani_Road/VNRD Ahmedabad_Sardar_Patel_Airport/AMD:_73_km
Departures_from_Khareshwar_Road/KHRS Ahmedabad_Sardar_Patel_Airport/AMD:_76_km
Departures_from_Sabli_Road/SR Ahmedabad_Sardar_Patel_Airport/AMD:_80_km
Departures_from_Lilapur_Road/LPR Ahmedabad_Sardar_Patel_Airport/AMD:_84_km
Departures_from_Bala_Road/BLRD Ahmedabad_Sardar_Patel_Airport/AMD:_106_km
Departures_from_Chamaraj/CJR Rajkot__Airport/RAJ:_98_km
Departures_from_Digsar/DXR Rajkot__Airport/RAJ:_91_km
Departures_from_Ramparda/RA Rajkot__Airport/RAJ:_73_km
Departures_from_Vagdiya/VD Rajkot__Airport/RAJ:_66_km
Departures_from_Lakhamanchi/LMC Rajkot__Airport/RAJ:_50_km
Departures_from_Lunseriya/LXR Rajkot__Airport/RAJ:_43_km
Departures_from_Amarsar/AXA Rajkot__Airport/RAJ:_36_km
Departures_from_Kanakot/KNKT Rajkot__Airport/RAJ:_24_km
Departures_from_Khorana/KHC Rajkot__Airport/RAJ:_16_km
Departures_from_Bileshwar/BLWR Rajkot__Airport/RAJ:_10_km
Departures_from_Khanderi/KHDI Rajkot__Airport/RAJ:_9_km
Departures_from_Chanol/CX Rajkot__Airport/RAJ:_30_km
Departures_from_Modpur/MDPR Jamnagar__Airport/JGA:_32_km
Departures_from_Sinhan/SYQ Jamnagar__Airport/JGA:_41_km
Departures_from_Bhatel/BHTL Porbandar__Airport/PBD:_63_km
Departures_from_Bhopalka/BPKA Porbandar__Airport/PBD:_64_km
Departures_from_Kuranga/KRGA Porbandar__Airport/PBD:_71_km
Departures_from_Gorinja/GRJA Porbandar__Airport/PBD:_98_km
Departures_from_Vartej/VTJ Bhavnagar_Civil_Airport/BHU:_14_km
Departures_from_Sanosra/SOA Bhavnagar_Civil_Airport/BHU:_43_km
Departures_from_Ujalvav/UJ Bhavnagar_Civil_Airport/BHU:_55_km
Departures_from_Alampur/ALMR Bhavnagar_Civil_Airport/BHU:_57_km
Departures_from_Ningala_Junction/NGA Bhavnagar_Civil_Airport/BHU:_61_km
Departures_from_Lathidad/LTD Bhavnagar_Civil_Airport/BHU:_65_km
Departures_from_Kundli/KDI Bhavnagar_Civil_Airport/BHU:_82_km
Departures_from_Chuda/CDA Bhavnagar_Civil_Airport/BHU:_99_km
Departures_from_Surendranagar_Gate/SRGT Rajkot__Airport/RAJ:_105_km
Departures_from_Viramdad/VQD Jamnagar__Airport/JGA:_55_km
Departures_from_Okha_Madhi/OKD Porbandar__Airport/PBD:_80_km
