Departures_from_Khurahat/KRT Gorakhpur__Airport/GOP:_86_km
Departures_from_Sarai_Rani/RKS Varanasi_Babatpur_Airport/VNS:_69_km
Departures_from_Sanjarpur/SJER Varanasi_Babatpur_Airport/VNS:_75_km
Departures_from_Didarganj_Road/DJD Allahabad_Bamrauli_Airport/IXD:_15_km
Departures_from_Khanja_Halt/KHJA Allahabad_Bamrauli_Airport/IXD:_20_km
Departures_from_Daraganj/DRGJ Allahabad_Bamrauli_Airport/IXD:_30_km
Departures_from_Jhusi/JI Allahabad_Bamrauli_Airport/IXD:_41_km
Departures_from_Ramnathpur/RTR Allahabad_Bamrauli_Airport/IXD:_57_km
Departures_from_Saidabad/SDC Allahabad_Bamrauli_Airport/IXD:_60_km
Departures_from_Bhiti/BYH Varanasi_Babatpur_Airport/VNS:_56_km
Departures_from_Atraura/ATRR Varanasi_Babatpur_Airport/VNS:_47_km
Departures_from_Jangiganj/JGG Varanasi_Babatpur_Airport/VNS:_44_km
Departures_from_Almaw/ALMW Varanasi_Babatpur_Airport/VNS:_28_km
Departures_from_Ahimanpur/AHM Varanasi_Babatpur_Airport/VNS:_26_km
Departures_from_Kachhwa_Road/KWH Varanasi_Babatpur_Airport/VNS:_22_km
Departures_from_Nigatpur/NTU Kanpur__Airport/KNU:_8_km
Departures_from_Raja_Talab/RTB Bareilly__Airport/BEK:_104_km
Departures_from_Rawatpur/RPO Bareilly__Airport/BEK:_96_km
Departures_from_Shamsabad/SSD Bareilly__Airport/BEK:_96_km
Departures_from_Kaimganj/KMJ Bareilly__Airport/BEK:_91_km
Departures_from_Daryaogonj/DRO Bareilly__Airport/BEK:_89_km
Departures_from_Patiali/PTI Bareilly__Airport/BEK:_90_km
Departures_from_Ganj_Dundwara/GWA Kanpur__Airport/KNU:_20_km
Departures_from_Sahawar_Town/SWRT Kanpur__Airport/KNU:_24_km
Departures_from_Mandhana_Junction/MDA Kanpur__Airport/KNU:_45_km
Departures_from_Chaubepur/CBR Kanpur__Airport/KNU:_50_km
Departures_from_Utripura/UTP Kanpur__Airport/KNU:_76_km
Departures_from_Dhaursalar/DUO Kanpur__Airport/KNU:_82_km
Departures_from_Mani_Mau/MNMU Gorakhpur__Airport/GOP:_92_km
Departures_from_Kannauj_City/KJNC Kanpur__Airport/KNU:_94_km
