Departures_from_Bhikamkor/BKC Jodhpur__Airport/JDH:_70_km
Departures_from_Samrau/SRK Jodhpur__Airport/JDH:_80_km
Departures_from_Marwar_Birthi/MBT Jodhpur__Airport/JDH:_127_km
Departures_from_Marwar_Khara/MKHR Jaisalmer__Airport/JSA:_134_km
Departures_from_Odhaniya_Chacha/OCH Jaisalmer__Airport/JSA:_90_km
Departures_from_Jetha_Chandan/JCH Jaisalmer__Airport/JSA:_49_km
Departures_from_Thalyat_Hamira/THM Jaisalmer__Airport/JSA:_27_km
Departures_from_Diva_Junction/DIVA Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_23_km
Departures_from_/ Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_24_km
Departures_from_Taloje_Panchnand/TPND Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_26_km
Departures_from_Navade_Road/NVRD Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_28_km
Departures_from_Kalamboli_Goods/KLMG Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_35_km
Departures_from_Somatne/SMNE Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_39_km
Departures_from_Rasayani/RSYI Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_41_km
Departures_from_Apta/APTA Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_40_km
Departures_from_Jite/JITE Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_48_km
Departures_from_Hamarapur/HMRR Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_57_km
Departures_from_Pen/PEN Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_71_km
Departures_from_Kasu/KASU Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_77_km
Departures_from_Nagothane/NGTN Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_40_km
Departures_from_Nidi/NIDI Pune_Lohegaon_Airport/PNQ:_81_km
Departures_from_Hurmujpur_Halt/HMPR Pune_Lohegaon_Airport/PNQ:_82_km
Departures_from_Kolad/KOL Pune_Lohegaon_Airport/PNQ:_84_km
Departures_from_Indapur/INP Pune_Lohegaon_Airport/PNQ:_89_km
Departures_from_Goregaon_Road_Halt/GNO Pune_Lohegaon_Airport/PNQ:_101_km
Departures_from_Karanjadi/KFD Pune_Lohegaon_Airport/PNQ:_126_km
Departures_from_Diwan_Khavati/DWV Kolhapur__Airport/KLH:_128_km
Departures_from_Anjani/ANO Kolhapur__Airport/KLH:_108_km
Departures_from_Kamathe/KMAH Kolhapur__Airport/KLH:_111_km
Departures_from_Ukshi/UKC Kolhapur__Airport/KLH:_99_km
Departures_from_Bhoke/BOKE Goa_Dabolim_Airport/GOI:_34_km
Departures_from_Nivsar/NIV Goa_Dabolim_Airport/GOI:_89_km
Departures_from_Balli/BLLI Hubli__Airport/HBX:_152_km
Departures_from_Harwada/HAA Mangalore_Bajpe_Airport/IXE:_118_km
Departures_from_Manki_Halt/MANK Mangalore_Bajpe_Airport/IXE:_90_km
Departures_from_Shiroor/SHMI Mangalore_Bajpe_Airport/IXE:_75_km
Departures_from_Senapura/SEN Mangalore_Bajpe_Airport/IXE:_72_km
Departures_from_Bajakare_Halt/BAJE Mangalore_Bajpe_Airport/IXE:_69_km
Departures_from_Kodimbala_Halt/KDBA Mangalore_Bajpe_Airport/IXE:_61_km
Departures_from_Yedamangala/YDM Mangalore_Bajpe_Airport/IXE:_50_km
Departures_from_Kaniuru_Halt/KNYR Kozhikkode_Calicut_Airport/CCJ:_26_km
Departures_from_Narimogaru/NRJ Kozhikkode_Calicut_Airport/CCJ:_28_km
Departures_from_/ Kozhikkode_Calicut_Airport/CCJ:_35_km
Departures_from_Vellayil/VLL Kozhikkode_Calicut_Airport/CCJ:_56_km
Departures_from_West_Hill/WH Kozhikkode_Calicut_Airport/CCJ:_59_km
Departures_from_Elattur/ETR Kozhikkode_Calicut_Airport/CCJ:_64_km
Departures_from_Tikkotti/TKT Kozhikkode_Calicut_Airport/CCJ:_73_km
Departures_from_Payyoli/PYOL Kozhikkode_Calicut_Airport/CCJ:_77_km
Departures_from_Iringal/IGL Kozhikkode_Calicut_Airport/CCJ:_87_km
Departures_from_Nadapuram_Road/NAU Kozhikkode_Calicut_Airport/CCJ:_94_km
Departures_from_Mukkali/MUKE Kozhikkode_Calicut_Airport/CCJ:_98_km
Departures_from_Jagannath_Temple_Gate/JGE Kozhikkode_Calicut_Airport/CCJ:_106_km
Departures_from_Dharmadam/DMD Kozhikkode_Calicut_Airport/CCJ:_52_km
Departures_from_Edakkad/ETK Kozhikkode_Calicut_Airport/CCJ:_43_km
Departures_from_Kannur_South/CS Kozhikkode_Calicut_Airport/CCJ:_39_km
Departures_from_Karakkad/KRKD Kozhikkode_Calicut_Airport/CCJ:_37_km
Departures_from_Kodumunda/KODN Kozhikkode_Calicut_Airport/CCJ:_22_km
Departures_from_Pallippuram/PUM New_Delhi_Indira_Gandhi_International_Airport/DEL:_70_km
Departures_from_Perssannur/PEU New_Delhi_Indira_Gandhi_International_Airport/DEL:_79_km
Departures_from_Kallayi_Kozhikode_South/KUL New_Delhi_Indira_Gandhi_International_Airport/DEL:_90_km
Departures_from_Nangal_Mundi/NNU New_Delhi_Indira_Gandhi_International_Airport/DEL:_91_km
Departures_from_Dahina_Zainabad/DZB New_Delhi_Indira_Gandhi_International_Airport/DEL:_106_km
Departures_from_Gurha_Kemla/GRKA New_Delhi_Indira_Gandhi_International_Airport/DEL:_129_km
Departures_from_Bojawas/BJWS New_Delhi_Indira_Gandhi_International_Airport/DEL:_123_km
Departures_from_Zarpur_Pali/ZP New_Delhi_Indira_Gandhi_International_Airport/DEL:_127_km
Departures_from_Nangal_Degrota/NDRT New_Delhi_Indira_Gandhi_International_Airport/DEL:_140_km
Departures_from_Nanwan/NWN New_Delhi_Indira_Gandhi_International_Airport/DEL:_146_km
Departures_from_Sohansra/SAWN New_Delhi_Indira_Gandhi_International_Airport/DEL:_197_km
Departures_from_Kushalpura/KSLP New_Delhi_Indira_Gandhi_International_Airport/DEL:_157_km
Departures_from_Parvezpur/PVZ Bikaner__Airport/BKB:_180_km
Departures_from_Rampura_Beri/RMB Bikaner__Airport/BKB:_185_km
Departures_from_Bewar_Bhojan/BWBN Bikaner__Airport/BKB:_191_km
Departures_from_Harpalu/HR New_Delhi_Indira_Gandhi_International_Airport/DEL:_193_km
Departures_from_Mahansar/MWR New_Delhi_Indira_Gandhi_International_Airport/DEL:_184_km
Departures_from_Aslu/ASLU Bikaner__Airport/BKB:_14_km
Departures_from_Sirsala/SRSL Bikaner__Airport/BKB:_62_km
Departures_from_Hadyal/HYL Bikaner__Airport/BKB:_87_km
Departures_from_Dokwa/DKWA Bikaner__Airport/BKB:_93_km
Departures_from_Gadhwala/GDW Bikaner__Airport/BKB:_110_km
Departures_from_Sinthal_Halt/STHL Bikaner__Airport/BKB:_152_km
Departures_from_Belasar/BLSR Bikaner__Airport/BKB:_157_km
Departures_from_Banisar/BS Bikaner__Airport/BKB:_162_km
Departures_from_Bigga/BIGA Bikaner__Airport/BKB:_169_km
Departures_from_Biggabas_Ramsara/BGRM Bhatinda__Airport/BUP:_99_km
Departures_from_Sitalnagar/STNR Bhatinda__Airport/BUP:_120_km
Departures_from_Parsneu/PSV Bhatinda__Airport/BUP:_128_km
Departures_from_Payli_Halt/PYI New_Delhi_Indira_Gandhi_International_Airport/DEL:_174_km
Departures_from_Molisar/MIO Chennai_Meenambakkam_Airport/MAA:_143_km
Departures_from_Shri_Makri_Nath_Nagar/SMNN Chennai_Meenambakkam_Airport/MAA:_137_km
Departures_from_Juharpura/JOH Chennai_Meenambakkam_Airport/MAA:_134_km
Departures_from_Depalsar/DEP Hyderabad_Begumpet_Airport/HYD:_91_km
Departures_from_Surera/SURR Jabalpur__Airport/JLR:_109_km
