Departures_from_Mahroi/MFQ Jabalpur__Airport/JLR:_128_km
Departures_from_Chhataini/CTJ Jabalpur__Airport/JLR:_161_km
Departures_from_Joba/JOBA Allahabad_Bamrauli_Airport/IXD:_163_km
Departures_from_Marwasgram/MWJ Allahabad_Bamrauli_Airport/IXD:_157_km
Departures_from_Niwas_Road/NWB Allahabad_Bamrauli_Airport/IXD:_156_km
Departures_from_Bharsendi/BSDL Allahabad_Bamrauli_Airport/IXD:_157_km
Departures_from_Gajara_Bahara/GAJB Allahabad_Bamrauli_Airport/IXD:_173_km
Departures_from_Bargawan/BRGW Varanasi_Babatpur_Airport/VNS:_153_km
Departures_from_Katangi_Khurd/KTKD Jabalpur__Airport/JLR:_96_km
Departures_from_Dubri_Kalan/BARD Allahabad_Bamrauli_Airport/IXD:_172_km
Departures_from_Kunki/KZU Jamshedpur_Sonari_Airport/IXW:_13_km
Departures_from_Illoo/ILO Bokaro__Airport/VEBK:_51_km
Departures_from_Kosiara/KVQ Gaya__Airport/GAY:_115_km
Departures_from_Satbahini/SZF Gaya__Airport/GAY:_126_km
Departures_from_Sigsigi/SQS Gaya__Airport/GAY:_130_km
Departures_from_Chhipadohar/CPDR Ranchi__Airport/IXR:_134_km
Departures_from_Kumendi/KMND Ranchi__Airport/IXR:_116_km
Departures_from_Bendi/BFQ Ranchi__Airport/IXR:_109_km
Departures_from_Demu/DEMU Ranchi__Airport/IXR:_97_km
Departures_from_Richughutu/RCGT Ranchi__Airport/IXR:_88_km
Departures_from_Chetar/CTQ Ranchi__Airport/IXR:_83_km
Departures_from_Mahuamilan/MMLN Ranchi__Airport/IXR:_64_km
Departures_from_Hendegir/HNDR Ranchi__Airport/IXR:_47_km
Departures_from_Tokisud/TKS Ranchi__Airport/IXR:_43_km
Departures_from_Semarkheri/SRKI Guna__Airport/GUX:_94_km
Departures_from_Guneru_Bamori/GVB Guna__Airport/GUX:_79_km
Departures_from_Orr/ORR Guna__Airport/GUX:_50_km
Departures_from_Shadhoragaon/SHDR Guna__Airport/GUX:_27_km
Departures_from_Pagara/PGA Guna__Airport/GUX:_10_km
Departures_from_Maitha/MTO Kanpur__Airport/KNU:_36_km
Departures_from_Fatehgarh_Churian/FGCN Amritsar_Raja_Sansi_Airport/ATQ:_23_km
Departures_from_Hardorawal/HDWL Amritsar_Raja_Sansi_Airport/ATQ:_27_km
Departures_from_Ramdas/RDS Amritsar_Raja_Sansi_Airport/ATQ:_31_km
Departures_from_Derababa_Nanak/DBNK Amritsar_Raja_Sansi_Airport/ATQ:_43_km
Departures_from_Kathunangal/KNG Amritsar_Raja_Sansi_Airport/ATQ:_22_km
Departures_from_Jaintipura/JNT Amritsar_Raja_Sansi_Airport/ATQ:_31_km
Departures_from_Qadian/QDN Pathankot__Airport/IXP:_53_km
Departures_from_Somankatti/SMKT Hubli__Airport/HBX:_77_km
Departures_from_Lakhmapur/LKY Hubli__Airport/HBX:_85_km
Departures_from_Yerra_Goppa_Halt/YGA Hubli__Airport/HBX:_90_km
Departures_from_Honaganahalli/HOH Sholapur__Airport/SSE:_114_km
Departures_from_Mulvad/MVD Sholapur__Airport/SSE:_120_km
Departures_from_Wandal/WDL Sholapur__Airport/SSE:_142_km
Departures_from_Benl/BENL Sholapur__Airport/SSE:_146_km
Departures_from_Kudala_Sangam/KSAR Hubli__Airport/HBX:_143_km
Departures_from_Sher/SH Hubli__Airport/HBX:_130_km
Departures_from_Kadlimatti/KLM Hubli__Airport/HBX:_85_km
Departures_from_Jakanur/JAK Tirupati__Airport/TIR:_79_km
Departures_from_Jumnal/JML Sholapur__Airport/SSE:_129_km
Departures_from_Manubolu/MBL Hubli__Airport/HBX:_142_km
Departures_from_Kudgi/KDGI Jodhpur__Airport/JDH:_34_km
Departures_from_Sitimani/SII Jodhpur__Airport/JDH:_40_km
Departures_from_Sutlana/SUT Jodhpur__Airport/JDH:_50_km
Departures_from_Dudia/DUK Jodhpur__Airport/JDH:_56_km
Departures_from_Dundara/DOR Jodhpur__Airport/JDH:_60_km
Departures_from_Miyonka_Bara/MNKB Jodhpur__Airport/JDH:_82_km
Departures_from_Ajit/AJIT Jodhpur__Airport/JDH:_90_km
Departures_from_Parlu/PRU Jodhpur__Airport/JDH:_107_km
Departures_from_Janiyana/JNE Jodhpur__Airport/JDH:_109_km
Departures_from_Khed_Temple_Halt/KHTX Jodhpur__Airport/JDH:_118_km
Departures_from_Tilwara/TWL Jodhpur__Airport/JDH:_129_km
Departures_from_Gole/GOLE Jaisalmer__Airport/JSA:_146_km
Departures_from_Bhimarlai/BMQ Jaisalmer__Airport/JSA:_139_km
Departures_from_Baniya_Sanda_Dhora/BSDA Jaisalmer__Airport/JSA:_137_km
Departures_from_Kavas/KVA Jamshedpur_Sonari_Airport/IXW:_161_km
Departures_from_Jasai/JSA Jamshedpur_Sonari_Airport/IXW:_151_km
Departures_from_Thakurtola/TKH Jamshedpur_Sonari_Airport/IXW:_87_km
Departures_from_Jogal/JOL Jamshedpur_Sonari_Airport/IXW:_156_km
Departures_from_Bangriposi/BGY Jamshedpur_Sonari_Airport/IXW:_135_km
Departures_from_Jugpura/JRG Gaya__Airport/GAY:_128_km
Departures_from_Krishnachandrapur/KCV Gaya__Airport/GAY:_126_km
Departures_from_Mal_Junction/MAL Gaya__Airport/GAY:_121_km
Departures_from_Kechki/KCKI Gaya__Airport/GAY:_121_km
Departures_from_Chianki/CNF Gaya__Airport/GAY:_127_km
Departures_from_Kajri/KFT Trivandrum_International_Airport/TRV:_74_km
Departures_from_Rajhura/RHR Gorakhpur__Airport/GOP:_120_km
Departures_from_Tolra/TRZ Gorakhpur__Airport/GOP:_125_km
Departures_from_Suchindram/SUCH Gorakhpur__Airport/GOP:_132_km
Departures_from_Gokhula/GKA Patna__Airport/PAT:_147_km
Departures_from_Marajdwa/MRJD Patna__Airport/PAT:_144_km
Departures_from_Sikta/STF Patna__Airport/PAT:_135_km
Departures_from_Chauradano/CAO Patna__Airport/PAT:_131_km
Departures_from_Ghorasahan/GRH Patna__Airport/PAT:_128_km
Departures_from_Kundwa_Chainpur/KWC Patna__Airport/PAT:_125_km
Departures_from_Bairgania/BGU Patna__Airport/PAT:_124_km
Departures_from_Dhang/DAG Patna__Airport/PAT:_125_km
Departures_from_Riga/RIGA Patna__Airport/PAT:_121_km
Departures_from_Sitamarhi/SMI Patna__Airport/PAT:_115_km
Departures_from_Parsauni/PSZ Patna__Airport/PAT:_110_km
Departures_from_Bajpatti/BJT Patna__Airport/PAT:_129_km
Departures_from_Janakpur_Road/JNR Patna__Airport/PAT:_118_km
Departures_from_Kamtaul/KML Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_73_km
Departures_from_Muhammadpur/MHP Patna__Airport/PAT:_182_km
