Departures_from_Khutauna/KHTN Patna__Airport/PAT:_174_km
Departures_from_Vachaspati_Nagar/VPH Patna__Airport/PAT:_167_km
Departures_from_Mahrail/MHRL Patna__Airport/PAT:_149_km
Departures_from_Channasandra/CSDR Bengaluru__Airport/BLR:_22_km
Departures_from_Bettahalsoor/TLS Bengaluru__Airport/BLR:_13_km
Departures_from_Dodajala_Lake/DJL Bengaluru__Airport/BLR:_8_km
Departures_from_Devanahalli/DHL Bengaluru__Airport/BLR:_5_km
Departures_from_Avati/AVT Bengaluru__Airport/BLR:_12_km
Departures_from_Venkatagiri_Kote_Halt/VTE Bengaluru__Airport/BLR:_15_km
Departures_from_Nandi_Halt/NDY Bengaluru__Airport/BLR:_22_km
Departures_from_Chik_Ballapur/CBP Bengaluru__Airport/BLR:_27_km
Departures_from_Lottegollahalli/LOGH Bengaluru__Airport/BLR:_24_km
Departures_from_Hirehali/HHL Bengaluru__Airport/BLR:_61_km
Departures_from_Dobbspet/DBS Bengaluru__Airport/BLR:_52_km
Departures_from_Nidvanda/NDV Bengaluru__Airport/BLR:_50_km
Departures_from_Muddalingana_Halli/MDLL Bengaluru__Airport/BLR:_46_km
Departures_from_Bhairanayakanahalli/BNKH Bengaluru__Airport/BLR:_37_km
Departures_from_Golhalli/GHL Bengaluru__Airport/BLR:_33_km
Departures_from_Soldevanahalli/SDVL Bengaluru__Airport/BLR:_28_km
Departures_from_Semmandappatti/SMDT Salem__Airport/SXV:_4_km
Departures_from_Karuvalli/KVLR Salem__Airport/SXV:_7_km
Departures_from_Toppur/TPP Salem__Airport/SXV:_18_km
Departures_from_Muttampatti/MPC Salem__Airport/SXV:_26_km
Departures_from_Sivadi/SZV Salem__Airport/SXV:_31_km
Departures_from_Marandahalli/MZU Salem__Airport/SXV:_70_km
Departures_from_Rayakkottai/RYC Salem__Airport/SXV:_85_km
Departures_from_Kelamangalam/KMLM Bengaluru__Airport/BLR:_70_km
Departures_from_Anekal_Road/AEK Bengaluru__Airport/BLR:_56_km
Departures_from_Heelalige/HLE Bengaluru__Airport/BLR:_45_km
Departures_from_Karmelaram/CRLM Bengaluru__Airport/BLR:_34_km
Departures_from_Belandur_Road/BLRR Bengaluru__Airport/BLR:_31_km
Departures_from_Hebbal/HEB Bengaluru__Airport/BLR:_23_km
