Departures_from_Manopad/MOA Bellary__Airport/BEP:_154_km
Departures_from_Itkyala/IKI Hyderabad_Begumpet_Airport/HYD:_150_km
Departures_from_Peddadinne/PDNA Hyderabad_Begumpet_Airport/HYD:_146_km
Departures_from_Konnur/KONN Hyderabad_Begumpet_Airport/HYD:_112_km
Departures_from_Kurumurthi/KXI Hyderabad_Begumpet_Airport/HYD:_107_km
Departures_from_Kaukuntla/KQQ Hyderabad_Begumpet_Airport/HYD:_104_km
Departures_from_Devarkadre/DKC Hyderabad_Begumpet_Airport/HYD:_97_km
Departures_from_Manyamkonda/MQN Hyderabad_Begumpet_Airport/HYD:_90_km
Departures_from_Dumri_Khurd/DKU Nagpur_Sonegaon_Airport/NAG:_44_km
Departures_from_Ponpadi/POI Tirupati__Airport/TIR:_46_km
Departures_from_Venkatanarasimha_Rajuvaripeta/VKZ Tirupati__Airport/TIR:_43_km
Departures_from_Vepagunta/VGA Tirupati__Airport/TIR:_28_km
Departures_from_Taduku/TDK Tirupati__Airport/TIR:_16_km
Departures_from_Pudi/PUDI Tirupati__Airport/TIR:_14_km
Departures_from_Bommasamudram/BUM Tirupati__Airport/TIR:_80_km
Departures_from_Ramapuram/RAM Tirupati__Airport/TIR:_75_km
Departures_from_Peyanapalli/PYX Tirupati__Airport/TIR:_74_km
Departures_from_Siddampalli/SIE Tirupati__Airport/TIR:_72_km
Departures_from_Tirupati_West_Halt/TPW Tirupati__Airport/TIR:_16_km
Departures_from_Jakkalacheruvu/JKO Bellary__Airport/BEP:_95_km
Departures_from_Jutturu/JUR Cuddapah__Airport/COH:_113_km
Departures_from_Vanganur/VRN Cuddapah__Airport/COH:_87_km
Departures_from_Regadipalli/RLL Cuddapah__Airport/COH:_80_km
Departures_from_Mangapatnam/MUM Cuddapah__Airport/COH:_63_km
Departures_from_Kalamalia/KMH Cuddapah__Airport/COH:_39_km
Departures_from_Yerragudipad/YGD Cuddapah__Airport/COH:_22_km
Departures_from_Gangayapalle/GPY Cuddapah__Airport/COH:_8_km
Departures_from_Krishnapuram/KPU Cuddapah__Airport/COH:_2_km
Departures_from_Kanamalo_Palle/KNLP Cuddapah__Airport/COH:_20_km
Departures_from_Bhakarapet/BKPT Cuddapah__Airport/COH:_25_km
Departures_from_Ontimitta/VNM Cuddapah__Airport/COH:_31_km
Departures_from_Mantapampalle/MMPL Cuddapah__Airport/COH:_41_km
Departures_from_Hastavaram/HAQ Cuddapah__Airport/COH:_52_km
Departures_from_Reddipalle/RPL Tirupati__Airport/TIR:_65_km
Departures_from_Anantarajupet/ANE Tirupati__Airport/TIR:_51_km
Departures_from_Settigunta/SF Tirupati__Airport/TIR:_34_km
Departures_from_Mamanduru/MRM Tirupati__Airport/TIR:_16_km
Departures_from_Akkurti/AKY Tirupati__Airport/TIR:_23_km
Departures_from_Rachagunnari/RCG Tirupati__Airport/TIR:_14_km
Departures_from_Amolwa/AMO Gorakhpur__Airport/GOP:_120_km
Departures_from_Alawalpur/AWL Ludhiana_Sahnewal_Airport/LUH:_74_km
Departures_from_Wangapalli/WP Hyderabad_Begumpet_Airport/HYD:_74_km
Departures_from_Puduru/PDO Hyderabad_Begumpet_Airport/HYD:_143_km
Departures_from_Kurhani/KHI Patna__Airport/PAT:_52_km
Departures_from_Halbarga/HBU Latur__Airport/LTU:_107_km
Departures_from_Thanesar_City/TNDE Chandigarh__Airport/IXC:_83_km
Departures_from_Pehowa_Road/PHWR Chandigarh__Airport/IXC:_93_km
Departures_from_Kaithal/KLE Chandigarh__Airport/IXC:_110_km
Departures_from_Kalayat/KIY Chandigarh__Airport/IXC:_129_km
Departures_from_Pindarsi/PDS Vijayawada__Airport/VGA:_42_km
Departures_from_Pabnawa_Jasmahinder_Halt/PBJM Chandigarh__Airport/IXC:_137_km
Departures_from_Tik/TIK New_Delhi_Indira_Gandhi_International_Airport/DEL:_76_km
Departures_from_Geong/GXG New_Delhi_Indira_Gandhi_International_Airport/DEL:_83_km
Departures_from_Quatabpur/QTP New_Delhi_Indira_Gandhi_International_Airport/DEL:_92_km
Departures_from_Sajuma/SJM New_Delhi_Indira_Gandhi_International_Airport/DEL:_103_km
Departures_from_Gurthuri/GRZ New_Delhi_Indira_Gandhi_International_Airport/DEL:_110_km
Departures_from_Samar_Gopalpur/SMF New_Delhi_Indira_Gandhi_International_Airport/DEL:_115_km
Departures_from_Karainthi/KHV New_Delhi_Indira_Gandhi_International_Airport/DEL:_16_km
Departures_from_Kila_Zafargarh/KZH New_Delhi_Indira_Gandhi_International_Airport/DEL:_15_km
Departures_from_Jai_Jai_Wanti/JJT New_Delhi_Indira_Gandhi_International_Airport/DEL:_17_km
Departures_from_Kinana/KIU New_Delhi_Indira_Gandhi_International_Airport/DEL:_18_km
Departures_from_Bishanpur_Haryana/BSPH New_Delhi_Indira_Gandhi_International_Airport/DEL:_32_km
Departures_from_Vivekanand_Puri_Halt/VVKP New_Delhi_Indira_Gandhi_International_Airport/DEL:_37_km
Departures_from_Dayabasti/DBSI New_Delhi_Indira_Gandhi_International_Airport/DEL:_53_km
Departures_from_Mundka/MQC New_Delhi_Indira_Gandhi_International_Airport/DEL:_59_km
Departures_from_Ghevra/GHE Chandigarh__Airport/IXC:_142_km
Departures_from_Asaudah/ASE Ludhiana_Sahnewal_Airport/LUH:_135_km
Departures_from_Rohed_Nagar_Halt/ROHN Ludhiana_Sahnewal_Airport/LUH:_135_km
Departures_from_Kharawar/KRZ Bhatinda__Airport/BUP:_129_km
Departures_from_Asthal_Bohar/ABO Vijayawada__Airport/VGA:_40_km
Departures_from_Dharodi/DHY Vijayawada__Airport/VGA:_44_km
Departures_from_Dhamtan_Sahib/DTN Vijayawada__Airport/VGA:_57_km
Departures_from_Kalwan/KLWN Vijayawada__Airport/VGA:_73_km
Departures_from_Himmatpura/HMQ Vijayawada__Airport/VGA:_90_km
Departures_from_Cheruvu_Madhavaram/CVV Vijayawada__Airport/VGA:_96_km
Departures_from_Gangineni/GNN Vijayawada__Airport/VGA:_103_km
Departures_from_Tondalagopavaram/TNGM Vijayawada__Airport/VGA:_120_km
Departures_from_Motimari/MTMI Jaipur_Sanganer_Airport/JAI:_16_km
Departures_from_Nagalwancha/NVC Jaipur_Sanganer_Airport/JAI:_29_km
Departures_from_Chinta_Kani/CKN Jaipur_Sanganer_Airport/JAI:_43_km
Departures_from_Pandillapalli/PNDP Jaipur_Sanganer_Airport/JAI:_69_km
Departures_from_Papatapalli/PPY Jaipur_Sanganer_Airport/JAI:_91_km
Departures_from_Shivdaspura_Padampura/SAS Jaipur_Sanganer_Airport/JAI:_103_km
Departures_from_Chaksu/CKS Trivandrum_International_Airport/TRV:_11_km
Departures_from_Channani/CHNN Trivandrum_International_Airport/TRV:_23_km
Departures_from_Siras/SRAS Trivandrum_International_Airport/TRV:_62_km
Departures_from_Sureli/SURL Trivandrum_International_Airport/TRV:_66_km
Departures_from_Devpura/DPZ Tuticorin__Airport/TCN:_70_km
Departures_from_Aulant/ALQ Trivandrum_International_Airport/TRV:_74_km
Departures_from_Trivandrum_Nemom/NEM Tuticorin__Airport/TCN:_38_km
Departures_from_Amaravila_Halt/AMVA Madurai__Airport/IXM:_87_km
Departures_from_Virani_Alur/VRLR Madurai__Airport/IXM:_74_km
Departures_from_Nagercoil_Town/NJT Madurai__Airport/IXM:_58_km
Departures_from_North_Panakudi/NPK Madurai__Airport/IXM:_38_km
