Departures_from_Atrauli_Road/AUR Agra_Kheria_Airport/AGR:_115_km
Departures_from_Godha/GDHA Agra_Kheria_Airport/AGR:_117_km
Departures_from_Sunamai_Halt/SUNM Agra_Kheria_Airport/AGR:_113_km
Departures_from_Harduaganj/HGJ Agra_Kheria_Airport/AGR:_98_km
Departures_from_Manzurgarhi/MZGI Agra_Kheria_Airport/AGR:_95_km
Departures_from_Ramganga/RGB Bareilly__Airport/BEK:_9_km
Departures_from_Sisarka/SSKA Bareilly__Airport/BEK:_59_km
Departures_from_Pathakpur/PHX Bareilly__Airport/BEK:_100_km
Departures_from_Mitawal/MTI Agra_Kheria_Airport/AGR:_28_km
Departures_from_Barhan/BRN Agra_Kheria_Airport/AGR:_31_km
Departures_from_Chamrola/CMR Agra_Kheria_Airport/AGR:_35_km
Departures_from_Pora/PRA Agra_Kheria_Airport/AGR:_68_km
Departures_from_Sasni/SNS Agra_Kheria_Airport/AGR:_80_km
Departures_from_Daud_Khan/DAQ Kanpur__Airport/KNU:_4_km
Departures_from_Kanpur_Bridge_Left_Bank/CPB Kanpur__Airport/KNU:_12_km
Departures_from_Magarwara/MGW Kanpur__Airport/KNU:_23_km
Departures_from_Patiyara/PTYR Kanpur__Airport/KNU:_35_km
Departures_from_Safipur/SFPR Kanpur__Airport/KNU:_41_km
Departures_from_Ugu/UGU Kanpur__Airport/KNU:_46_km
Departures_from_Fatehpur_Chursi/FTC Kanpur__Airport/KNU:_67_km
Departures_from_Ganjmuradabad/GJMB Kanpur__Airport/KNU:_73_km
Departures_from_Mallanwan/MLW Kanpur__Airport/KNU:_83_km
Departures_from_Farhatnagar/FRH Kanpur__Airport/KNU:_82_km
Departures_from_Madhoganj/MAH Lucknow_Amausi_Airport/LKO:_75_km
Departures_from_Gauntra_Halt/GNTR Lucknow_Amausi_Airport/LKO:_74_km
Departures_from_Atwa_Kursath/ATKS Lucknow_Amausi_Airport/LKO:_75_km
Departures_from_Ghausganj/GSGJ Lucknow_Amausi_Airport/LKO:_76_km
Departures_from_Gaju_Halt/GAJU Lucknow_Amausi_Airport/LKO:_78_km
Departures_from_Arseni/ASI Lucknow_Amausi_Airport/LKO:_81_km
Departures_from_Atwa_Muthia_Halt/ATW Lucknow_Amausi_Airport/LKO:_82_km
Departures_from_Beniganj/BEJ Lucknow_Amausi_Airport/LKO:_86_km
Departures_from_Naimisharanya/NM Patna__Airport/PAT:_99_km
Departures_from_Ghori_Halt/GHRI Patna__Airport/PAT:_75_km
Departures_from_Misrikh_Tirath/MSTH Patna__Airport/PAT:_58_km
Departures_from_Barmi/BRMX Patna__Airport/PAT:_39_km
Departures_from_Ramkot/RAK Patna__Airport/PAT:_29_km
Departures_from_Barauni_Flag/BUJ Gorakhpur__Airport/GOP:_108_km
Departures_from_Vidyapatinagar/VPN Gorakhpur__Airport/GOP:_118_km
Departures_from_Nandani_Lagunia/NNNL Gorakhpur__Airport/GOP:_128_km
Departures_from_Sahadai_Buzurg/SDG Lucknow_Amausi_Airport/LKO:_44_km
Departures_from_Chak_Sikandar/CSR Lucknow_Amausi_Airport/LKO:_63_km
Departures_from_Katahri/KTHE Lucknow_Amausi_Airport/LKO:_86_km
Departures_from_Ulna_Bhari/ULN Lucknow_Amausi_Airport/LKO:_97_km
Departures_from_Darshannagar/DRG Lucknow_Amausi_Airport/LKO:_101_km
Departures_from_Rasauli/RES Lucknow_Amausi_Airport/LKO:_107_km
Departures_from_Saidkhanpur/SYK Nagpur_Sonegaon_Airport/NAG:_126_km
Departures_from_Rauzagaon/RZN Lucknow_Amausi_Airport/LKO:_118_km
Departures_from_Gauriyamau/GMU Bareilly__Airport/BEK:_88_km
