Departures_from_Barhni/BNY Gorakhpur__Airport/GOP:_112_km
Departures_from_Trilokpur/TPB Gorakhpur__Airport/GOP:_116_km
Departures_from_Pachperwa/PPW Gorakhpur__Airport/GOP:_124_km
Departures_from_Gainsari_Junction/GIR Gorakhpur__Airport/GOP:_131_km
Departures_from_Laiburwa_Halt/LBW Gorakhpur__Airport/GOP:_134_km
Departures_from_Tulsipur/TLR Gorakhpur__Airport/GOP:_142_km
Departures_from_Kauwapur/KPE Gorakhpur__Airport/GOP:_150_km
Departures_from_Gainjahwa/GAW Gorakhpur__Airport/GOP:_150_km
Departures_from_Jharkhandi/JKNI Gorakhpur__Airport/GOP:_150_km
Departures_from_Balrampur/BLP Gorakhpur__Airport/GOP:_155_km
Departures_from_Bhawanipur_Kalan/BWP Lucknow_Amausi_Airport/LKO:_144_km
Departures_from_Subhagpur/SUBR Lucknow_Amausi_Airport/LKO:_132_km
Departures_from_Dibnapur/DBNR Bareilly__Airport/BEK:_22_km
Departures_from_Sethal/STH Bareilly__Airport/BEK:_26_km
Departures_from_Bijauria/BJV Bareilly__Airport/BEK:_31_km
Departures_from_Shahi/SSC Bareilly__Airport/BEK:_38_km
Departures_from_Diyuri/DYU Bareilly__Airport/BEK:_54_km
Departures_from_Mala/MALA Bareilly__Airport/BEK:_60_km
Departures_from_Shahgarh/SG Bareilly__Airport/BEK:_69_km
Departures_from_Prasadpur/PRSP Bareilly__Airport/BEK:_74_km
Departures_from_Dudhia_Khurd/DYK Bareilly__Airport/BEK:_83_km
Departures_from_Kurraiya/KRYA Bareilly__Airport/BEK:_87_km
Departures_from_Sehramau/SW Bareilly__Airport/BEK:_90_km
Departures_from_Jarwa/JAW Gorakhpur__Airport/GOP:_143_km
Departures_from_Chureb/CRV Gorakhpur__Airport/GOP:_49_km
Departures_from_Orwara/ORW Gorakhpur__Airport/GOP:_64_km
Departures_from_Govindnagar/GOVR Gorakhpur__Airport/GOP:_77_km
Departures_from_Tinich/TH Gorakhpur__Airport/GOP:_85_km
Departures_from_Gaur/GAUR Gorakhpur__Airport/GOP:_94_km
Departures_from_Bahman_Jyotia/BNGY Gorakhpur__Airport/GOP:_103_km
Departures_from_Lakhpat_Nagar/LKNR Gorakhpur__Airport/GOP:_127_km
Departures_from_Jhilahi/JLHI Gorakhpur__Airport/GOP:_135_km
Departures_from_Motiganj/MOTG Lucknow_Amausi_Airport/LKO:_135_km
Departures_from_Baqua_Chak/BRCK Lucknow_Amausi_Airport/LKO:_129_km
