Departures_from_Angalakuduru/AKU Vijayawada__Airport/VGA:_39_km
Departures_from_Sangam_Jagarlamudi/SJL Vijayawada__Airport/VGA:_42_km
Departures_from_Sikroda/SKU Gwalior__Airport/GWL:_49_km
Departures_from_Sithouli/STLI Gwalior__Airport/GWL:_18_km
Departures_from_Antri/ARI Gwalior__Airport/GWL:_25_km
Departures_from_Anant_Paith/AEH Gwalior__Airport/GWL:_30_km
Departures_from_Kotra/KTRA Gwalior__Airport/GWL:_59_km
Departures_from_Karari/KRQ Gwalior__Airport/GWL:_94_km
Departures_from_Agasod/AGD Guna__Airport/GUX:_105_km
Departures_from_Mohasa/MXS Guna__Airport/GUX:_105_km
Departures_from_Jakhalaun/JLN Guna__Airport/GUX:_106_km
Departures_from_Jiron/JRO Guna__Airport/GUX:_108_km
Departures_from_Dailwara/DWA Guna__Airport/GUX:_112_km
Departures_from_Jakhaura/JHA Guna__Airport/GUX:_114_km
Departures_from_Bijrotha/BJA Guna__Airport/GUX:_119_km
Departures_from_Matatila/MZX Guna__Airport/GUX:_122_km
Departures_from_Khajraha/KHJ Gwalior__Airport/GWL:_118_km
Departures_from_Bijauli/BJI Gwalior__Airport/GWL:_111_km
Departures_from_Sikroda_Kwanri/SIKD Gwalior__Airport/GWL:_42_km
Departures_from_Simariatal/SMTL Gwalior__Airport/GWL:_40_km
Departures_from_Sukhisewaniyan/SUW Bhopal__Airport/BHO:_17_km
Departures_from_Bhadbhadaghat/BVB Bhopal__Airport/BHO:_24_km
Departures_from_Sumer/SUMR Bhopal__Airport/BHO:_71_km
Departures_from_Pabai/PAI Bhopal__Airport/BHO:_83_km
Departures_from_Kurwai_Kethora/KIKA Guna__Airport/GUX:_102_km
Departures_from_Khaigaon/KHA Indore__Airport/IDR:_112_km
Departures_from_Mathela/MTA Indore__Airport/IDR:_116_km
Departures_from_Summit/SUM Nasik_Gandhi_Nagar_Airport/ISK:_47_km
Departures_from_Ugaon/UGN Nasik_Gandhi_Nagar_Airport/ISK:_25_km
Departures_from_Kasbe_sukene/KBSN Nasik_Gandhi_Nagar_Airport/ISK:_14_km
Departures_from_Lahavit/LT Nasik_Gandhi_Nagar_Airport/ISK:_34_km
Departures_from_Asvali/AV Nasik_Gandhi_Nagar_Airport/ISK:_41_km
Departures_from_Ghoti/GO Nasik_Gandhi_Nagar_Airport/ISK:_56_km
Departures_from_Bani/VAI Allahabad_Bamrauli_Airport/IXD:_78_km
Departures_from_Sahajipur_Halt/SHJP Srinagar__Airport/SXR:_44_km
Departures_from_Anantnag/ANT Lucknow_Amausi_Airport/LKO:_82_km
Departures_from_Radha_Balampur/RDV Lucknow_Amausi_Airport/LKO:_81_km
Departures_from_Ubarni/UBN Lucknow_Amausi_Airport/LKO:_78_km
Departures_from_Daryapur/DYP Visakhapatnam_Visakhapatnam_Airport/VTZ:_96_km
Departures_from_Suraj_Kunda/SRJK Dehradun_Grant_Airport/DED:_59_km
Departures_from_Rompalle/RML Kanpur__Airport/KNU:_2_km
Departures_from_Baghara_Road/BHRD Kanpur__Airport/KNU:_8_km
Departures_from_Sunehti_Kharkhari/SNKE Kanpur__Airport/KNU:_20_km
Departures_from_Chandari/CNBI Kanpur__Airport/KNU:_26_km
Departures_from_Chakeri/CHK Kanpur__Airport/KNU:_38_km
Departures_from_Sirsaul/SSL Kanpur__Airport/KNU:_52_km
Departures_from_Prempur/PMPR Kanpur__Airport/KNU:_70_km
Departures_from_Aung/AUNG Allahabad_Bamrauli_Airport/IXD:_84_km
Departures_from_Kanspur_Gugauli/KSQ Allahabad_Bamrauli_Airport/IXD:_69_km
Departures_from_Kurasti_Kalan/KKS Allahabad_Bamrauli_Airport/IXD:_57_km
Departures_from_Sath_Naraini/SNIE Allahabad_Bamrauli_Airport/IXD:_70_km
Departures_from_Katoghan/KTCE Allahabad_Bamrauli_Airport/IXD:_49_km
Departures_from_Athsarai/ASCE Allahabad_Bamrauli_Airport/IXD:_38_km
Departures_from_Panhai/PNHI Allahabad_Bamrauli_Airport/IXD:_22_km
Departures_from_Kataiya_Dandi/KTDD Allahabad_Bamrauli_Airport/IXD:_17_km
Departures_from_Majhiari/MJHR Lucknow_Amausi_Airport/LKO:_6_km
Departures_from_Lohgara/LOG Gwalior__Airport/GWL:_108_km
Departures_from_Iradatganj/IDGJ Kanpur__Airport/KNU:_114_km
Departures_from_Manak_Nagar/MKG Kanpur__Airport/KNU:_109_km
Departures_from_Ekdil/EKL Kanpur__Airport/KNU:_100_km
Departures_from_Samhon/SHW Kanpur__Airport/KNU:_87_km
Departures_from_Ghasara_Halt/GHSR Kanpur__Airport/KNU:_73_km
