Departures_from_Harsingpur_Goba/HSY Bareilly__Airport/BEK:_109_km
Departures_from_Shukarullahpur/SHX Bareilly__Airport/BEK:_107_km
Departures_from_Bhatasa/BHTS Bareilly__Airport/BEK:_100_km
Departures_from_Kampil_Road/KXF Bareilly__Airport/BEK:_94_km
Departures_from_Rudain/RDN Bareilly__Airport/BEK:_94_km
Departures_from_Ballupur/BAPR Bareilly__Airport/BEK:_95_km
Departures_from_Narthar/NHX Bareilly__Airport/BEK:_94_km
Departures_from_Rura/RRH Agra_Kheria_Airport/AGR:_76_km
Departures_from_Pata/PTX Agra_Kheria_Airport/AGR:_15_km
Departures_from_Kaurara/KAA Bagdogra__Airport/IXB:_2_km
Departures_from_Chhalesar/CHLR Bagdogra__Airport/IXB:_13_km
Departures_from_Bagdogra/BORA Bagdogra__Airport/IXB:_29_km
Departures_from_Naksalbari/NAK Bagdogra__Airport/IXB:_36_km
Departures_from_Galgalia/GAGA Bagdogra__Airport/IXB:_135_km
Departures_from_Thakurganj/TKG Bagdogra__Airport/IXB:_143_km
Departures_from_Salmari/SRI Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_175_km
Departures_from_Sonalli/SI Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_186_km
Departures_from_Lalbagh_Court_Road/LCAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_193_km
Departures_from_Azimganj_City/ACLE Dhanbad__Airport/DBD:_188_km
Departures_from_Mahipal_Road/MPLR Dhanbad__Airport/DBD:_192_km
Departures_from_Manigram/MGLE Dhanbad__Airport/DBD:_189_km
Departures_from_Gankar/GALE Dhanbad__Airport/DBD:_191_km
Departures_from_Ahiran/AHN Dhanbad__Airport/DBD:_190_km
Departures_from_Sujnipara/SPLE Dhanbad__Airport/DBD:_199_km
Departures_from_Sankopara/SXP Dhanbad__Airport/DBD:_208_km
Departures_from_Chamagram/CMX Bagdogra__Airport/IXB:_208_km
Departures_from_Khaltipur/KTJ Bagdogra__Airport/IXB:_204_km
Departures_from_Jamirghata/JMQ Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_120_km
Departures_from_Gour_Malda/GZM Chennai_Meenambakkam_Airport/MAA:_40_km
Departures_from_Katwa/KWF Chennai_Meenambakkam_Airport/MAA:_40_km
Departures_from_Redipalayam/RDY Chennai_Meenambakkam_Airport/MAA:_41_km
Departures_from_Villiyambakkam/VB Chennai_Meenambakkam_Airport/MAA:_43_km
Departures_from_Palur/PALR Chennai_Meenambakkam_Airport/MAA:_47_km
Departures_from_Pazhaya_Seevaram/PYV Chennai_Meenambakkam_Airport/MAA:_52_km
Departures_from_Walajabad/WJ Chennai_Meenambakkam_Airport/MAA:_58_km
Departures_from_Nathapettai/NTT Chennai_Meenambakkam_Airport/MAA:_57_km
Departures_from_Tirumalpur/TMLP Chennai_Meenambakkam_Airport/MAA:_139_km
Departures_from_Takkolam/TKO Chennai_Meenambakkam_Airport/MAA:_126_km
Departures_from_Mundilyampakkam/MYP Chennai_Meenambakkam_Airport/MAA:_91_km
Departures_from_Perani/PEI Chennai_Meenambakkam_Airport/MAA:_86_km
Departures_from_Panchalam/PCLM Tirupati__Airport/TIR:_84_km
Departures_from_Karasangal/KSGL Tirupati__Airport/TIR:_75_km
Departures_from_Tozhuppedu/TZD Tirupati__Airport/TIR:_67_km
Departures_from_Pakkam/PQM Rajahmundry__Airport/RJA:_73_km
Departures_from_Tirumani/TRX Dhanbad__Airport/DBD:_88_km
Departures_from_Tiruvalam/THL Ranchi__Airport/IXR:_89_km
Departures_from_Thalangai/TUG Ranchi__Airport/IXR:_68_km
Departures_from_Chitteri/CTRE Ranchi__Airport/IXR:_59_km
Departures_from_Gorintada/GOTD Ranchi__Airport/IXR:_52_km
Departures_from_Galvav/GVV Ranchi__Airport/IXR:_46_km
Departures_from_Timmapuram/TMPM Ranchi__Airport/IXR:_39_km
Departures_from_Muktapuram/MPM Ranchi__Airport/IXR:_29_km
Departures_from_Anchuri/ANCR Ranchi__Airport/IXR:_21_km
Departures_from_Gautamdhara/GATD Ranchi__Airport/IXR:_13_km
Departures_from_Lohardaga/LAD Ranchi__Airport/IXR:_4_km
Departures_from_Irgaon/IRN Dhanbad__Airport/DBD:_35_km
Departures_from_Akashi/AKZ Dhanbad__Airport/DBD:_26_km
Departures_from_Nagjua/NJA Dhanbad__Airport/DBD:_14_km
Departures_from_Narkopi/NRKP Bokaro__Airport/VEBK:_14_km
Departures_from_Tangarbasuli/TGB Ahmedabad_Sardar_Patel_Airport/AMD:_153_km
Departures_from_Itky/ITKY Ahmedabad_Sardar_Patel_Airport/AMD:_159_km
