Departures_from_Rattoke_Gudwara/RKG Amritsar_Raja_Sansi_Airport/ATQ:_64_km
Departures_from_Valtoha/WLA Amritsar_Raja_Sansi_Airport/ATQ:_61_km
Departures_from_Gharyala/GYL Amritsar_Raja_Sansi_Airport/ATQ:_57_km
Departures_from_Boparai/BXO Amritsar_Raja_Sansi_Airport/ATQ:_54_km
Departures_from_Patti/PAX Amritsar_Raja_Sansi_Airport/ATQ:_50_km
Departures_from_Jandoke/JDK Amritsar_Raja_Sansi_Airport/ATQ:_39_km
Departures_from_Rure_Asal/RRAL Amritsar_Raja_Sansi_Airport/ATQ:_35_km
Departures_from_Tarn_Taran/TTO Amritsar_Raja_Sansi_Airport/ATQ:_32_km
Departures_from_Bhagtanwala/BGTN Amritsar_Raja_Sansi_Airport/ATQ:_15_km
Departures_from_Khasa/KSA Amritsar_Raja_Sansi_Airport/ATQ:_14_km
Departures_from_Chheharta/CIA Amritsar_Raja_Sansi_Airport/ATQ:_10_km
Departures_from_Baba_Bakalaraya/BBKR Amritsar_Raja_Sansi_Airport/ATQ:_48_km
Departures_from_Jamsher_Khas/JME Ludhiana_Sahnewal_Airport/LUH:_54_km
Departures_from_Thabalke/TYK Ludhiana_Sahnewal_Airport/LUH:_43_km
Departures_from_Shankar/SQK Ludhiana_Sahnewal_Airport/LUH:_41_km
Departures_from_Sidhwan/SWG Ludhiana_Sahnewal_Airport/LUH:_33_km
Departures_from_Gumtali_Halt/GTQ New_Delhi_Indira_Gandhi_International_Airport/DEL:_152_km
Departures_from_Partabpura/PPB New_Delhi_Indira_Gandhi_International_Airport/DEL:_153_km
Departures_from_Raipur_Hariyana_Junction/RPHR New_Delhi_Indira_Gandhi_International_Airport/DEL:_155_km
Departures_from_Dhansu/DNX Bhatinda__Airport/BUP:_149_km
Departures_from_Barwala/BXC Bhatinda__Airport/BUP:_145_km
Departures_from_Daulatpur_Haryana/DULP Bhatinda__Airport/BUP:_139_km
Departures_from_Uklana/UKN Bhatinda__Airport/BUP:_135_km
Departures_from_Gajuwala/GJW Bhatinda__Airport/BUP:_130_km
Departures_from_Pirthala_Llauda/PLT Bhatinda__Airport/BUP:_127_km
Departures_from_Jamalpur_Shaikhan/JPS Ludhiana_Sahnewal_Airport/LUH:_113_km
