Departures_from_Lodipur_Bishnupur/LDP Pantnagar__Airport/PGH:_85_km
Departures_from_Bahadurpur_Halt/BDP Allahabad_Bamrauli_Airport/IXD:_41_km
Departures_from_Dhirganj/DHRJ Akola__Airport/AKD:_11_km
Departures_from_Borgaon/BGN Allahabad_Bamrauli_Airport/IXD:_101_km
Departures_from_Bandhua_Kalan/BDKN Lucknow_Amausi_Airport/LKO:_45_km
Departures_from_Tirbediganj/TEG Lucknow_Amausi_Airport/LKO:_34_km
Departures_from_Rahmatnagar/RMNR Lucknow_Amausi_Airport/LKO:_29_km
Departures_from_Anupganj/APG Lucknow_Amausi_Airport/LKO:_21_km
Departures_from_Bakkas/BKKS Bareilly__Airport/BEK:_46_km
Departures_from_Kasrak_Halt/KSRK Bareilly__Airport/BEK:_108_km
Departures_from_Gobarsanda_Halt/GBRS Gorakhpur__Airport/GOP:_35_km
Departures_from_Sharma/SHRM Allahabad_Bamrauli_Airport/IXD:_15_km
Departures_from_Ramchaura/RCRA Allahabad_Bamrauli_Airport/IXD:_15_km
Departures_from_Lachhipura/LAC Varanasi_Babatpur_Airport/VNS:_63_km
Departures_from_Sarai_Gopal/SPGL Varanasi_Babatpur_Airport/VNS:_92_km
Departures_from_Mahgawan_Halt/MGWN Gorakhpur__Airport/GOP:_101_km
Departures_from_Tulsi_Nagar/TLGR Varanasi_Babatpur_Airport/VNS:_18_km
Departures_from_Jafarganj/JFG Lucknow_Amausi_Airport/LKO:_97_km
Departures_from_Lohta/LOT Lucknow_Amausi_Airport/LKO:_130_km
Departures_from_Adhinpur/AHZ Lucknow_Amausi_Airport/LKO:_131_km
Departures_from_Masodha/MSOD Lucknow_Amausi_Airport/LKO:_131_km
Departures_from_Bharatkund/BTKD Allahabad_Bamrauli_Airport/IXD:_127_km
Departures_from_Malethu_Kanak/MEQ Allahabad_Bamrauli_Airport/IXD:_112_km
Departures_from_Chaure_Bazar/CHBR Allahabad_Bamrauli_Airport/IXD:_85_km
Departures_from_Dwarkaganj/DWJ Allahabad_Bamrauli_Airport/IXD:_77_km
Departures_from_Ramganj/RMGJ Lucknow_Amausi_Airport/LKO:_62_km
Departures_from_Khundaur/KDF Patna__Airport/PAT:_19_km
Departures_from_Chaubisi/CHBS Patna__Airport/PAT:_45_km
Departures_from_Patna_Ghat/PTG New_Delhi_Indira_Gandhi_International_Airport/DEL:_153_km
Departures_from_/ Vadodara__Airport/BDQ:_66_km
Departures_from_Teka_Bigha_Halt/TKBG Vadodara__Airport/BDQ:_63_km
Departures_from_Bugana/BFN Vadodara__Airport/BDQ:_62_km
Departures_from_Garhara_Goods_Marsha/GHZ Vadodara__Airport/BDQ:_62_km
Departures_from_Raj_Pardi/RJD Vadodara__Airport/BDQ:_61_km
Departures_from_Umalla/UML Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_191_km
Departures_from_Juna_Rajuvadiya/JRV Jaipur_Sanganer_Airport/JAI:_133_km
Departures_from_Amletha/ALE Jaipur_Sanganer_Airport/JAI:_133_km
Departures_from_Rajpipla/RAJ Jaipur_Sanganer_Airport/JAI:_135_km
Departures_from_Subarnamrigi/SBNM Jaipur_Sanganer_Airport/JAI:_143_km
Departures_from_Hatundi/HTD Jaipur_Sanganer_Airport/JAI:_148_km
Departures_from_Rajosi/ROS Kota__Airport/KTU:_147_km
Departures_from_Jharwasaa/JWS Udaipur__Airport/UDR:_141_km
Departures_from_Bandanwara/BDW Udaipur__Airport/UDR:_135_km
Departures_from_Singwal/SGW Udaipur__Airport/UDR:_104_km
Departures_from_Rupaheli/RPI Kota__Airport/KTU:_96_km
Departures_from_Bhojras/BHAS Kota__Airport/KTU:_21_km
Departures_from_Raila_Road/RLR Udaipur__Airport/UDR:_10_km
Departures_from_Lambiya/LMA Udaipur__Airport/UDR:_10_km
Departures_from_Basi_Beriasal/BSSL Udaipur__Airport/UDR:_16_km
Departures_from_Barundini/BNDI Udaipur__Airport/UDR:_31_km
Departures_from_Thalera/THEA Udaipur__Airport/UDR:_43_km
Departures_from_Debari/DRB Udaipur__Airport/UDR:_57_km
Departures_from_Khemli/KLH Udaipur__Airport/UDR:_74_km
Departures_from_Bhimal/BIML Pune_Lohegaon_Airport/PNQ:_53_km
Departures_from_Fatehnagar/FAN Udaipur__Airport/UDR:_82_km
Departures_from_Bhupalsagar/BSJ Agra_Kheria_Airport/AGR:_99_km
Departures_from_Pandoli/PMO Indore__Airport/IDR:_128_km
Departures_from_Ghosunda/GSD Akola__Airport/AKD:_46_km
Departures_from_Malavli/MVL Akola__Airport/AKD:_52_km
Departures_from_Netawal/NTWL Akola__Airport/AKD:_66_km
Departures_from_Ordi/ORDI Akola__Airport/AKD:_77_km
Departures_from_Dhindora_Hukmikhera/DNHK Akola__Airport/AKD:_86_km
Departures_from_Bajrangarh/BJG Akola__Airport/AKD:_91_km
Departures_from_Akot/AKOT Akola__Airport/AKD:_95_km
Departures_from_Adgaon_Buzurg/ABZ Akola__Airport/AKD:_125_km
Departures_from_Wan_Road/WND Indore__Airport/IDR:_134_km
Departures_from_Dhulghat/DGT Indore__Airport/IDR:_110_km
Departures_from_Dabka/DBKA Indore__Airport/IDR:_95_km
Departures_from_Tukaithad/TTZ Indore__Airport/IDR:_85_km
