Departures_from_Motari_Halt/MWQ Bhubaneswar__Airport/BBI:_21_km
Departures_from_Haripur_Gram/HPGM Bhubaneswar__Airport/BBI:_18_km
Departures_from_Bani_Bihar/BNBH Bhubaneswar__Airport/BBI:_6_km
Departures_from_Gopalpur_Balkda/GBK Bhubaneswar__Airport/BBI:_22_km
Departures_from_Katha_Jori/KTJI Bhubaneswar__Airport/BBI:_25_km
Departures_from_Manguli_Chowdwar/MACR Bhubaneswar__Airport/BBI:_37_km
Departures_from_Salagaon/SQQ Bhubaneswar__Airport/BBI:_39_km
Departures_from_Bada_Padagaon/BDPG Bhubaneswar__Airport/BBI:_38_km
Departures_from_Gurudijhatia/GJTA Bhubaneswar__Airport/BBI:_37_km
Departures_from_Machapur/MZY Bhubaneswar__Airport/BBI:_37_km
Departures_from_Rajathagarh/RJGR Bhubaneswar__Airport/BBI:_39_km
Departures_from_Joranda_Road/JRZ Bhubaneswar__Airport/BBI:_47_km
Departures_from_Shyama_Charanpur_Halt/SCPR Bhubaneswar__Airport/BBI:_50_km
Departures_from_Patia_P.H./PTAB Bhubaneswar__Airport/BBI:_12_km
Departures_from_Radhakishorepur/RQP Bhubaneswar__Airport/BBI:_36_km
Departures_from_Dandi_Mal/DNDL Bhubaneswar__Airport/BBI:_62_km
Departures_from_Sadashibapur/SSPR Bhubaneswar__Airport/BBI:_66_km
Departures_from_Hindol_Road/HND Bhubaneswar__Airport/BBI:_74_km
Departures_from_Nayabagirthipur/NBT Bhubaneswar__Airport/BBI:_78_km
Departures_from_Meramandolil/MRDL Bhubaneswar__Airport/BBI:_85_km
Departures_from_Burhapanka/BDPK Bhubaneswar__Airport/BBI:_93_km
Departures_from_Talcher_Thermal/TLTM Bhubaneswar__Airport/BBI:_101_km
Departures_from_Bahanaga_Bazar/BNBR Bhubaneswar__Airport/BBI:_163_km
Departures_from_Bakhrabad/VKD Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_133_km
Departures_from_Nikursini/NSI Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_145_km
Departures_from_Lakshannath_Road/LXD Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_160_km
Departures_from_Rajghat_Halt/RGT Jamshedpur_Sonari_Airport/IXW:_163_km
Departures_from_Haldipada/HIP Jamshedpur_Sonari_Airport/IXW:_170_km
