Departures_from_Kirmiti_Mendha/KMMD Nagpur_Sonegaon_Airport/NAG:_98_km
Departures_from_Bramhapuri/BMP Nagpur_Sonegaon_Airport/NAG:_106_km
Departures_from_Chicholi_Buzurg/CCBG Nagpur_Sonegaon_Airport/NAG:_110_km
Departures_from_Arunnagar/ARNG Nagpur_Sonegaon_Airport/NAG:_111_km
Departures_from_Wadegaon/WDG Nagpur_Sonegaon_Airport/NAG:_109_km
Departures_from_Arjuni/AJU Nagpur_Sonegaon_Airport/NAG:_111_km
Departures_from_Barabhati/BFF Nagpur_Sonegaon_Airport/NAG:_114_km
Departures_from_Dewalgaon/DEW Nagpur_Sonegaon_Airport/NAG:_115_km
Departures_from_Gond_Umri/GMI Nagpur_Sonegaon_Airport/NAG:_114_km
Departures_from_Khodseoni/KSIH Nagpur_Sonegaon_Airport/NAG:_116_km
Departures_from_Gongle/GNL Nagpur_Sonegaon_Airport/NAG:_120_km
Departures_from_Pindkepar_Halt/PQH Nagpur_Sonegaon_Airport/NAG:_126_km
Departures_from_Hirdamali/HDM Nagpur_Sonegaon_Airport/NAG:_129_km
Departures_from_Gankhera_Halt/GKT Nagpur_Sonegaon_Airport/NAG:_129_km
Departures_from_Koka/KOKA Nagpur_Sonegaon_Airport/NAG:_74_km
Departures_from_Dhanoli/DNL Raipur__Airport/RPR:_144_km
Departures_from_Bakal/BAKL Raipur__Airport/RPR:_88_km
Departures_from_Parmalkasa/PMS Raipur__Airport/RPR:_70_km
Departures_from_Rasmara/RSM Raipur__Airport/RPR:_57_km
Departures_from_Sarona_Cabin/SZB Raipur__Airport/RPR:_20_km
Departures_from_Jetha/JDDA Bilaspur__Airport/PAB:_84_km
Departures_from_Sulgare/SGRD Bilaspur__Airport/PAB:_69_km
Departures_from_Donta/DON Ranchi__Airport/IXR:_99_km
Departures_from_Mahadevsal/MXW Ranchi__Airport/IXR:_94_km
Departures_from_Barsuan/BXF Jamshedpur_Sonari_Airport/IXW:_158_km
Departures_from_Bimlagarh_Junction/BUF Jamshedpur_Sonari_Airport/IXW:_159_km
Departures_from_Patasahi/PSJ Ranchi__Airport/IXR:_161_km
Departures_from_Chandiposi/CPE Ranchi__Airport/IXR:_153_km
Departures_from_Champajharam/CJQ Ranchi__Airport/IXR:_149_km
Departures_from_Lathikata/LTK Ranchi__Airport/IXR:_146_km
Departures_from_Dumerta/DMF Ranchi__Airport/IXR:_140_km
Departures_from_Quarry_Sundergarh/QRS Ranchi__Airport/IXR:_135_km
Departures_from_Kuarmunda/KRMD Ranchi__Airport/IXR:_131_km
Departures_from_Biramitrapur/BRMP Ranchi__Airport/IXR:_124_km
Departures_from_Balasiring/BLRG Ranchi__Airport/IXR:_8_km
Departures_from_Lodhma/LOM Ranchi__Airport/IXR:_17_km
