Departures_from_Nawan/NAWN Bhatinda__Airport/BUP:_83_km
Departures_from_Dabli_Rathan/DBI Bhatinda__Airport/BUP:_101_km
Departures_from_Amarpura_Rathan/AMPR Bhatinda__Airport/BUP:_122_km
Departures_from_Rangmahal/RMH Bhatinda__Airport/BUP:_130_km
Departures_from_Manikgarh/MAGH Nagpur_Sonegaon_Airport/NAG:_157_km
Departures_from_Wihirgaon/VHGN Nagpur_Sonegaon_Airport/NAG:_165_km
Departures_from_Wirur/WIRR Nagpur_Sonegaon_Airport/NAG:_174_km
Departures_from_Makudi/MKDI Nagpur_Sonegaon_Airport/NAG:_180_km
Departures_from_Karimnagar/KRMR Hyderabad_Begumpet_Airport/HYD:_164_km
Departures_from_Datewas/DTW Bhatinda__Airport/BUP:_98_km
Departures_from_Narindarpura/NPX Bhatinda__Airport/BUP:_82_km
Departures_from_Sadda_Singhwala/SSZ Bhatinda__Airport/BUP:_66_km
Departures_from_Maisar_Khana/MASK Bhatinda__Airport/BUP:_44_km
Departures_from_Kagangarh/KAGR Bhatinda__Airport/BUP:_111_km
Departures_from_Katar_Singhwala/KZW Bhatinda__Airport/BUP:_28_km
Departures_from_Kasba/KUB Bagdogra__Airport/IXB:_127_km
Departures_from_Golehwala/GHA Bhatinda__Airport/BUP:_61_km
Departures_from_Pipli_Pakhi_Kalan/PKZ Bhatinda__Airport/BUP:_54_km
Departures_from_Romana_Albel_Singh/RLS Bhatinda__Airport/BUP:_30_km
Departures_from_Ajitgill_Matta/AJTM Bhatinda__Airport/BUP:_27_km
Departures_from_Chand_Bhan/CBX Bhatinda__Airport/BUP:_24_km
Departures_from_Fazilka/FKA Bhatinda__Airport/BUP:_76_km
Departures_from_Chak_Banwala/CKLA Bhatinda__Airport/BUP:_63_km
Departures_from_Chak_Pakhhewala/CKA Bhatinda__Airport/BUP:_60_km
Departures_from_Roranwala/RRW Bhatinda__Airport/BUP:_55_km
Departures_from_Lakhewali/LKW Bhatinda__Airport/BUP:_46_km
Departures_from_Bhagsar/BSGR Bhatinda__Airport/BUP:_42_km
Departures_from_Badhai_Balamgarh_Halt/BDBG Bhatinda__Airport/BUP:_38_km
Departures_from_Muktsar/MKS Bhatinda__Airport/BUP:_35_km
Departures_from_Jhabelwali/JBW Bhatinda__Airport/BUP:_32_km
Departures_from_Bariwala/BRW Bhatinda__Airport/BUP:_32_km
Departures_from_Faqarsar/FSR Bhatinda__Airport/BUP:_21_km
Departures_from_Kasu_Begu/KBU Bhatinda__Airport/BUP:_69_km
Departures_from_Giani_Zail_Singh_Sandhwan/GZS Bhatinda__Airport/BUP:_40_km
Departures_from_Karamgarh_Sdrgh/KRSH Bhatinda__Airport/BUP:_28_km
Departures_from_Bathinda_Cantt./BTIC Bhatinda__Airport/BUP:_67_km
Departures_from_Ghunas/GUNS Chandigarh__Airport/IXC:_46_km
Departures_from_Daun_Kalan/DOC Ludhiana_Sahnewal_Airport/LUH:_58_km
Departures_from_Rajomajra/RJMA Ludhiana_Sahnewal_Airport/LUH:_58_km
Departures_from_Kakrala/KKRL Bhatinda__Airport/BUP:_32_km
Departures_from_Charawan/CWN Bhatinda__Airport/BUP:_34_km
Departures_from_Wanderjatana/WDJ Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_71_km
Departures_from_Kotegangur/KGH Pantnagar__Airport/PGH:_58_km
Departures_from_Kalwan_Halt/KLW Dimapur__Airport/DMU:_27_km
Departures_from_Alai/ALAI Allahabad_Bamrauli_Airport/IXD:_87_km
Departures_from_Naojan/NJN Kanpur__Airport/KNU:_63_km
Departures_from_Manjhlepur/MNJR Kanpur__Airport/KNU:_58_km
Departures_from_Nihasta_Halt/NHF Kanpur__Airport/KNU:_52_km
Departures_from_Raghuraj_Singh/RRS Kanpur__Airport/KNU:_41_km
Departures_from_Baiswara/BSWA Kanpur__Airport/KNU:_20_km
Departures_from_Band_Hamirpur/BAHP Kanpur__Airport/KNU:_18_km
Departures_from_Achalganj/ACH Kanpur__Airport/KNU:_49_km
Departures_from_Korari/KURO Nagpur_Sonegaon_Airport/NAG:_145_km
Departures_from_Indemau/IDM Bhatinda__Airport/BUP:_71_km
Departures_from_Wasanapura/VSP Bhatinda__Airport/BUP:_69_km
Departures_from_Theh_Qalandar/TQL Bhatinda__Airport/BUP:_66_km
Departures_from_Ladhuka/LDK Bhatinda__Airport/BUP:_64_km
Departures_from_Bahminiwala/BVW Bhatinda__Airport/BUP:_63_km
Departures_from_Jalalabad_DAV_College/DAVC Bhatinda__Airport/BUP:_62_km
Departures_from_Jalalabad/JBD Bhatinda__Airport/BUP:_63_km
Departures_from_Jiwa_Arain/JWN Bhatinda__Airport/BUP:_65_km
Departures_from_Guru_Harsahai/GHS Bhatinda__Airport/BUP:_68_km
Departures_from_Kohar_Singhwala/KRSW Bhatinda__Airport/BUP:_71_km
Departures_from_Jhoktahal_Singh/JTH Bhatinda__Airport/BUP:_77_km
Departures_from_Dodh/DODH Bhatinda__Airport/BUP:_82_km
Departures_from_Khai_Phemeki/KIQ Nagpur_Sonegaon_Airport/NAG:_47_km
Departures_from_Firozpur_City/FZP Nagpur_Sonegaon_Airport/NAG:_39_km
Departures_from_Ramtek/RTK Nagpur_Sonegaon_Airport/NAG:_125_km
Departures_from_Amdi_Halt/AMDI Nagpur_Sonegaon_Airport/NAG:_92_km
Departures_from_Jaulkhera/JKR Nagpur_Sonegaon_Airport/NAG:_68_km
Departures_from_Teegaon/TEO Nagpur_Sonegaon_Airport/NAG:_61_km
Departures_from_Tinkheda/TNH Nagpur_Sonegaon_Airport/NAG:_47_km
Departures_from_Kalambha/KLBA Nagpur_Sonegaon_Airport/NAG:_34_km
Departures_from_Metpanjra/MER Nagpur_Sonegaon_Airport/NAG:_17_km
Departures_from_Kohli/KOHL Ludhiana_Sahnewal_Airport/LUH:_70_km
