Departures_from_Gumani/GMAN Dhanbad__Airport/DBD:_185_km
Departures_from_Bakudi/BKLE Dhanbad__Airport/DBD:_191_km
Departures_from_Kalian_Chak/KXE Dhanbad__Airport/DBD:_199_km
Departures_from_Maharajpur/MJP Bagdogra__Airport/IXB:_181_km
Departures_from_Kasar_Wadi/KSWD Pune_Lohegaon_Airport/PNQ:_12_km
Departures_from_Begdewadi/BGW Pune_Lohegaon_Airport/PNQ:_27_km
Departures_from_Maheshi/MVV Dhanbad__Airport/DBD:_168_km
Departures_from_Lailakh_Mamalkha/LMM Dhanbad__Airport/DBD:_176_km
Departures_from_Karamtola/KRMA Bagdogra__Airport/IXB:_185_km
Departures_from_Karanpur_Ato/KPTO Bagdogra__Airport/IXB:_192_km
Departures_from_Dhamdhamia/DDX Dhanbad__Airport/DBD:_192_km
Departures_from_Swadinpur/SDLE Dhanbad__Airport/DBD:_156_km
Departures_from_Rahul_Road/RRE Patna__Airport/PAT:_58_km
Departures_from_Gangani/GNNA Patna__Airport/PAT:_165_km
Departures_from_Haldia/HLZ Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_82_km
Departures_from_Durga_Chak_Town/DZKT Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_76_km
Departures_from_Karna_Subarna/KNSN Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_163_km
Departures_from_Chowrigacha/CWLE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_153_km
Departures_from_Tenya/TYAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_140_km
Departures_from_Malihati_Talibpur_Road/MHTR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_137_km
Departures_from_Jhamatpur_Baharan/JHBN Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_133_km
Departures_from_Gangatikuri/GGLE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_130_km
Departures_from_Dainhat/DHAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_114_km
Departures_from_Agradwip/AGAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_111_km
Departures_from_Patuli/PTAE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_107_km
