Departures_from_Doddampatti/DPI Salem__Airport/SXV:_62_km
Departures_from_Thonganur/TNGR Salem__Airport/SXV:_48_km
Departures_from_Lokur/LCR Salem__Airport/SXV:_21_km
Departures_from_Danishpet/DSPT Salem__Airport/SXV:_14_km
Departures_from_Tinnappatti/TNT Salem__Airport/SXV:_5_km
Departures_from_Karuppur/KPPR Salem__Airport/SXV:_8_km
Departures_from_Neykkarapatti/NEA Salem__Airport/SXV:_20_km
Departures_from_Mavelipalaiyam/MVPM Salem__Airport/SXV:_40_km
Departures_from_Anangur/ANU Salem__Airport/SXV:_53_km
Departures_from_Kunnathur/KNNT Salem__Airport/SXV:_84_km
Departures_from_Royapuram/RPM Chennai_Meenambakkam_Airport/MAA:_18_km
Departures_from_Washermanpet/WST Chennai_Meenambakkam_Airport/MAA:_18_km
Departures_from_Villivakkam/VLK Chennai_Meenambakkam_Airport/MAA:_14_km
Departures_from_Ambattur/ABU Chennai_Meenambakkam_Airport/MAA:_14_km
Departures_from_Tiruninravur/TI Chennai_Meenambakkam_Airport/MAA:_23_km
Departures_from_Kadambattur/KBT Chennai_Meenambakkam_Airport/MAA:_36_km
Departures_from_Senji_Panambakkam/SPAM Chennai_Meenambakkam_Airport/MAA:_41_km
Departures_from_Manur/MAF Chennai_Meenambakkam_Airport/MAA:_44_km
Departures_from_Tiruvalangadu/TO Chennai_Meenambakkam_Airport/MAA:_49_km
Departures_from_Mosur/MSU Chennai_Meenambakkam_Airport/MAA:_51_km
Departures_from_Vellore_Cantt./VLR Tirupati__Airport/TIR:_97_km
Departures_from_Melalathur/MEH Tirupati__Airport/TIR:_113_km
Departures_from_Valathoor/VLT Tirupati__Airport/TIR:_118_km
Departures_from_Melpatti/MPI Tirupati__Airport/TIR:_124_km
Departures_from_Vellore_Town/VT Tirupati__Airport/TIR:_95_km
Departures_from_Kettandapatti/KDY Salem__Airport/SXV:_114_km
Departures_from_Vinnamangalam/VGM Bengaluru__Airport/BLR:_124_km
Departures_from_Pachachakupam/PCKM Bengaluru__Airport/BLR:_128_km
Departures_from_Kavanur/KVN Tirupati__Airport/TIR:_103_km
Departures_from_Virinchipuram/VJ Tirupati__Airport/TIR:_98_km
Departures_from_Latteri/LTI Tirupati__Airport/TIR:_95_km
Departures_from_Sevur/SVUR Tirupati__Airport/TIR:_87_km
Departures_from_Basin_Bridge_Junction/BBQ Chennai_Meenambakkam_Airport/MAA:_16_km
Departures_from_Korukkupet/KOK Chennai_Meenambakkam_Airport/MAA:_18_km
Departures_from_Tondiarpet/TNP Chennai_Meenambakkam_Airport/MAA:_19_km
Departures_from_Tiruvottiyur/TVT Chennai_Meenambakkam_Airport/MAA:_23_km
Departures_from_Wimco_Nagar/WCN Chennai_Meenambakkam_Airport/MAA:_26_km
Departures_from_Ennore/ENR Chennai_Meenambakkam_Airport/MAA:_31_km
Departures_from_Attipattu/AIP Chennai_Meenambakkam_Airport/MAA:_33_km
Departures_from_Minjur/MJR Chennai_Meenambakkam_Airport/MAA:_35_km
Departures_from_Anuppambattu/APB Chennai_Meenambakkam_Airport/MAA:_37_km
Departures_from_Ponneri/PON Chennai_Meenambakkam_Airport/MAA:_40_km
Departures_from_Kavaraippettai/KVP Chennai_Meenambakkam_Airport/MAA:_43_km
Departures_from_Elavur/ELR Chennai_Meenambakkam_Airport/MAA:_55_km
Departures_from_Arambakkam/AKM Tirupati__Airport/TIR:_61_km
Departures_from_Tada/TADA Tirupati__Airport/TIR:_56_km
Departures_from_Akkampet/AKAT Tirupati__Airport/TIR:_54_km
Departures_from_Polireddipalem/PEL Tirupati__Airport/TIR:_52_km
Departures_from_Doravari_Chatram/DVR Tirupati__Airport/TIR:_51_km
Departures_from_Pedapariya/PYA Tirupati__Airport/TIR:_59_km
Departures_from_Odur/ODUR Tirupati__Airport/TIR:_62_km
Departures_from_Nellore_South/NLS Tirupati__Airport/TIR:_107_km
Departures_from_Valigonda/VLG Hyderabad_Begumpet_Airport/HYD:_66_km
Departures_from_Tipparthi/TPPI Hyderabad_Begumpet_Airport/HYD:_113_km
Departures_from_Pondugula/PDGL Vijayawada__Airport/VGA:_128_km
Departures_from_Raparla_Halt/RPRL Vijayawada__Airport/VGA:_128_km
Departures_from_Pagidipalli/PGDP Hyderabad_Begumpet_Airport/HYD:_53_km
Departures_from_Ramnagar_Road/RNZ Bareilly__Airport/BEK:_118_km
Departures_from_Shrimad_Dwarakapuri/SRDW Bareilly__Airport/BEK:_118_km
Departures_from_Ugarpur/UGP Bareilly__Airport/BEK:_120_km
Departures_from_Nibkarori/NBUE Bareilly__Airport/BEK:_122_km
Departures_from_B_L_Daspuri/BBLK Bareilly__Airport/BEK:_124_km
Departures_from_Pakhna/PKNA Bareilly__Airport/BEK:_127_km
Departures_from_Mota/MOTA Agra_Kheria_Airport/AGR:_117_km
Departures_from_Mainpuri_Kachehri/MPUE Agra_Kheria_Airport/AGR:_101_km
Departures_from_Tindauli/TNUE Agra_Kheria_Airport/AGR:_95_km
Departures_from_Kosma/KOZ Agra_Kheria_Airport/AGR:_81_km
Departures_from_Araon/AON Agra_Kheria_Airport/AGR:_76_km
Departures_from_Buraha_Bharthara/BUBT Agra_Kheria_Airport/AGR:_48_km
Departures_from_Lyallpur_Khalsa_College_Halt/LKK Bhavnagar_Civil_Airport/BHU:_82_km
Departures_from_Pora/PORA Patna__Airport/PAT:_26_km
Departures_from_Dholi_Bhal/DIBL Bareilly__Airport/BEK:_94_km
Departures_from_Akshaywat_Rai_Nagar/AYRN Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_46_km
Departures_from_Badhari_Kalan/BHK Jodhpur__Airport/JDH:_113_km
Departures_from_Matheran/MAE Gorakhpur__Airport/GOP:_6_km
Departures_from_Merta_City/MEC Gorakhpur__Airport/GOP:_25_km
Departures_from_Unaula/UNLA Dhanbad__Airport/DBD:_81_km
Departures_from_Bodarwar/BBW Agra_Kheria_Airport/AGR:_86_km
Departures_from_Baidyanathdham_Deoghar/BDME Agra_Kheria_Airport/AGR:_65_km
Departures_from_Etah/ETAH Agra_Kheria_Airport/AGR:_59_km
Departures_from_Vasundhara/VSR Agra_Kheria_Airport/AGR:_52_km
Departures_from_Awa_Garh/AWG Agra_Kheria_Airport/AGR:_38_km
Departures_from_Kuswa/KWW Dhanbad__Airport/DBD:_103_km
Departures_from_Jalesar_City/JSC Dhanbad__Airport/DBD:_100_km
Departures_from_Shahanagar_Timarua/SWW Dhanbad__Airport/DBD:_101_km
Departures_from_Bikna/BKNO Dhanbad__Airport/DBD:_104_km
Departures_from_Nobanda/NOB Dhanbad__Airport/DBD:_111_km
Departures_from_Belboni/BEX Dhanbad__Airport/DBD:_129_km
Departures_from_Beliator/BZC Dhanbad__Airport/DBD:_122_km
Departures_from_Brindabanpur/BDPR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_127_km
Departures_from_Hamirhati/HAM Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_122_km
Departures_from_Sonamukhi/SONA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_118_km
Departures_from_Dhansimla/DIM Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_112_km
Departures_from_Dhagaria/DGF Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_110_km
Departures_from_Patrasayer/PSF Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_105_km
Departures_from_Betur/BTRB Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_95_km
Departures_from_Kumrul/KMRL Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_93_km
