Departures_from_Akkaraippatti/API Jabalpur__Airport/JLR:_144_km
Departures_from_Makansar/MU Varanasi_Babatpur_Airport/VNS:_124_km
Departures_from_Rafaleshwar/RF Daman__Airport/NMB:_46_km
Departures_from_Nazarbag/NZG Surat__Airport/STV:_49_km
Departures_from_Bijaysota/VST Surat__Airport/STV:_54_km
Departures_from_Magardaha/MWF Surat__Airport/STV:_57_km
Departures_from_Gandevi/GNV Surat__Airport/STV:_61_km
Departures_from_Chikhali_Road/CIO Surat__Airport/STV:_66_km
Departures_from_Rankua/RW Surat__Airport/STV:_73_km
Departures_from_Dholikua/DOLK Daman__Airport/NMB:_80_km
Departures_from_Anawal/ANW Daman__Airport/NMB:_82_km
Departures_from_Unai_Vansada_Road/UNI Jaipur_Sanganer_Airport/JAI:_98_km
Departures_from_Kevdi_Road/KVO Jaipur_Sanganer_Airport/JAI:_101_km
Departures_from_Dungarda/DNGD Jaipur_Sanganer_Airport/JAI:_105_km
Departures_from_Waghai/WGI Jaipur_Sanganer_Airport/JAI:_107_km
Departures_from_Shri_Ghasinagar/SHGN Jaipur_Sanganer_Airport/JAI:_110_km
Departures_from_Biwai/BW Agra_Kheria_Airport/AGR:_109_km
Departures_from_Bhajera/BJRA Agra_Kheria_Airport/AGR:_104_km
Departures_from_Karanpura/KPO Agra_Kheria_Airport/AGR:_87_km
Departures_from_Bhuda/BUDA Agra_Kheria_Airport/AGR:_72_km
Departures_from_Ghosrana/GOS Agra_Kheria_Airport/AGR:_69_km
Departures_from_Dantla/DTF Bhavnagar_Civil_Airport/BHU:_93_km
Departures_from_Tarchhera_Baraoliran/TBL Udaipur__Airport/UDR:_65_km
Departures_from_Paprera/PPEA Udaipur__Airport/UDR:_63_km
Departures_from_Helak/HK Udaipur__Airport/UDR:_45_km
Departures_from_Baldana_Road/BLDR Udaipur__Airport/UDR:_32_km
Departures_from_Vejalka/VJK Udaipur__Airport/UDR:_18_km
Departures_from_Bangurgram_Halt/BNGM Udaipur__Airport/UDR:_15_km
Departures_from_Bari_Sadri/BI Osmanabad__Airport/OMN:_10_km
Departures_from_Bansi_Bohera/BYE Kota__Airport/KTU:_37_km
Departures_from_Kanor/KFN Nagpur_Sonegaon_Airport/NAG:_89_km
Departures_from_Bhindar/BNNR Nagpur_Sonegaon_Airport/NAG:_89_km
Departures_from_Kheroda/KHW Nagpur_Sonegaon_Airport/NAG:_88_km
Departures_from_Vallabhnagar/VBN Nagpur_Sonegaon_Airport/NAG:_86_km
Departures_from_Yedshi/YSI Nagpur_Sonegaon_Airport/NAG:_86_km
Departures_from_Srinagar_Rajasthan/SNAR Nagpur_Sonegaon_Airport/NAG:_85_km
Departures_from_Arvi/ARVI Lucknow_Amausi_Airport/LKO:_80_km
Departures_from_Khubagaon/KBGN Kandla__Airport/IXY:_59_km
Departures_from_Pachagaon/PCGN Bilaspur__Airport/PAB:_153_km
Departures_from_Pargothan/PRGT Bilaspur__Airport/PAB:_170_km
Departures_from_Dhanori/DNZ Gorakhpur__Airport/GOP:_95_km
Departures_from_Virul/VUL Gorakhpur__Airport/GOP:_94_km
Departures_from_Shankarpur/SKLP Gorakhpur__Airport/GOP:_89_km
Departures_from_Dahinsara_Junction/DAC Gorakhpur__Airport/GOP:_86_km
Departures_from_Pipiliya_Road/PPS Gorakhpur__Airport/GOP:_80_km
Departures_from_Barwala_Road/BRL Gorakhpur__Airport/GOP:_73_km
Departures_from_Khakhrala_Road/KKR Gorakhpur__Airport/GOP:_64_km
Departures_from_/ Gorakhpur__Airport/GOP:_58_km
Departures_from_Kollam_Town/QLNN Gorakhpur__Airport/GOP:_53_km
Departures_from_Nagpur_Road/NPRD Gorakhpur__Airport/GOP:_41_km
