Departures_from_Nada/NADA Vadodara__Airport/BDQ:_29_km
Departures_from_Baripur_Mandala/BRPM Vadodara__Airport/BDQ:_30_km
Departures_from_Parikha/PRKA Vadodara__Airport/BDQ:_30_km
Departures_from_Kayavarohan/KV Vadodara__Airport/BDQ:_30_km
Departures_from_Ganpatpura/GNPT Vadodara__Airport/BDQ:_32_km
Departures_from_Kandari/KNDR Vadodara__Airport/BDQ:_33_km
Departures_from_Bharthali/BRTL Vadodara__Airport/BDQ:_39_km
Departures_from_Choranda_Junction/CRND Vadodara__Airport/BDQ:_41_km
Departures_from_Sinor/SINR Vadodara__Airport/BDQ:_51_km
Departures_from_Malsar/MLSR Vadodara__Airport/BDQ:_53_km
Departures_from_Brijbehra/VJBA Srinagar__Airport/SXR:_38_km
Departures_from_Panjgam/PJGM Srinagar__Airport/SXR:_31_km
Departures_from_Awantipura/ATPA Srinagar__Airport/SXR:_23_km
Departures_from_Kakapore/KAPE Srinagar__Airport/SXR:_14_km
Departures_from_Badgam/BDGM Srinagar__Airport/SXR:_7_km
Departures_from_Soniyana_Mewar/SNMR Udaipur__Airport/UDR:_41_km
Departures_from_Bejnal/BJN Ahmedabad_Sardar_Patel_Airport/AMD:_71_km
Departures_from_Randala/RLD Ahmedabad_Sardar_Patel_Airport/AMD:_74_km
Departures_from_Visnagar/VNG Ahmedabad_Sardar_Patel_Airport/AMD:_89_km
Departures_from_Gunja/GUJ Ahmedabad_Sardar_Patel_Airport/AMD:_83_km
Departures_from_Vadnagar/VDG Ahmedabad_Sardar_Patel_Airport/AMD:_94_km
Departures_from_Kheralu/KRU Ahmedabad_Sardar_Patel_Airport/AMD:_98_km
Departures_from_Kadarpur/KDYA Ahmedabad_Sardar_Patel_Airport/AMD:_106_km
Departures_from_Varetha/VTDI Ahmedabad_Sardar_Patel_Airport/AMD:_104_km
Departures_from_Taranga_Hill/TRAH Srinagar__Airport/SXR:_8_km
Departures_from_Srinagar_Kashmir/SINA Nagpur_Sonegaon_Airport/NAG:_145_km
Departures_from_Gondwanavisapur/GNVR Shirdi__Airport/SRD:_45_km
Departures_from_Taklimiya/TKMY Pantnagar__Airport/PGH:_28_km
Departures_from_Bilaspur_Road/BLQR Guna__Airport/GUX:_30_km
Departures_from_Vijay_Pur/VJP Gorakhpur__Airport/GOP:_104_km
Departures_from_Jiradei/ZRDE Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_14_km
Departures_from_Byculla/BY New_Delhi_Indira_Gandhi_International_Airport/DEL:_140_km
Departures_from_Kushal_Pura/KLSP Bengaluru__Airport/BLR:_15_km
Departures_from_Venkatagiri_Kote_Halt/H Guwahati_Borjhar_Airport/GAU:_34_km
Departures_from_Kendukana/KDKN Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_9_km
Departures_from_Tekanwas/TKV Mangalore_Bajpe_Airport/IXE:_69_km
Departures_from_Kolkata_Chitpur/KOAA Cooch_Behar__Airport/CDP:_145_km
Departures_from_Bekal_Fort/BFR Rajahmundry__Airport/RJA:_229_km
Departures_from_Mallickpur_Hat/MKRH Dhanbad__Airport/DBD:_19_km
Departures_from_Dabpal/DBF Dhanbad__Airport/DBD:_132_km
Departures_from_Pathardih_Junction/PEH Guna__Airport/GUX:_27_km
Departures_from_Banka/BAKA Aurangabad_Chikalthan_Airport/IXU:_117_km
Departures_from_Miyana/MINA Aurangabad_Chikalthan_Airport/IXU:_103_km
Departures_from_Hathidah_Upper/HTZU Aurangabad_Chikalthan_Airport/IXU:_94_km
Departures_from_Jamner/JMNR Aurangabad_Chikalthan_Airport/IXU:_92_km
Departures_from_Bhagdara/BGR Kanpur__Airport/KNU:_20_km
Departures_from_Pahur/PHU Agra_Kheria_Airport/AGR:_92_km
Departures_from_Shendurni/SDRN Patna__Airport/PAT:_53_km
Departures_from_Pimpalgaon/PMGN Bareilly__Airport/BEK:_105_km
Departures_from_Varkhedi/VRKD Pantnagar__Airport/PGH:_55_km
Departures_from_Binaur/BNAR Bareilly__Airport/BEK:_103_km
Departures_from_Marahra/MHA Kanpur__Airport/KNU:_91_km
Departures_from_Bastoi_Halt/BTRO Visakhapatnam_Visakhapatnam_Airport/VTZ:_132_km
Departures_from_Gautamsthan/GTST Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_112_km
Departures_from_/ Bareilly__Airport/BEK:_88_km
Departures_from_Banke_Ganj/BNKJ Lucknow_Amausi_Airport/LKO:_134_km
Departures_from_Muftiganj/MFJ Visakhapatnam_Visakhapatnam_Airport/VTZ:_152_km
Departures_from_Dodhi/DHE Lucknow_Amausi_Airport/LKO:_138_km
Departures_from_Nyoriya_Husenpur/NRY Gorakhpur__Airport/GOP:_108_km
Departures_from_Kasganj_Junction/KSJF Patna__Airport/PAT:_114_km
Departures_from_Jalalpur_Panwara/JPP Patna__Airport/PAT:_97_km
Departures_from_Bariguda/BGUA Patna__Airport/PAT:_87_km
Departures_from_Darsana_Border/DSNB Patna__Airport/PAT:_75_km
Departures_from_Soron/SRNK Patna__Airport/PAT:_68_km
Departures_from_Khiri_Town/KITN Patna__Airport/PAT:_58_km
Departures_from_Patapatnam/PHM Patna__Airport/PAT:_51_km
Departures_from_Intiyathok/ITE Patna__Airport/PAT:_49_km
Departures_from_Gopalganj/GOPG Patna__Airport/PAT:_47_km
Departures_from_Manjhagarh/MJV Lucknow_Amausi_Airport/LKO:_129_km
Departures_from_Sidhwalia/SQW Khajuraho__Airport/HJR:_124_km
Departures_from_Dighwa_Dubauli/DWDI Bareilly__Airport/BEK:_61_km
Departures_from_Rajapatti/RPV Bareilly__Airport/BEK:_58_km
Departures_from_Masrakh/MHC Bareilly__Airport/BEK:_50_km
Departures_from_Sham_Kauria/SMKR Bareilly__Airport/BEK:_41_km
Departures_from_Marhaura/MEW Bareilly__Airport/BEK:_44_km
Departures_from_Paterhi/PEE Bareilly__Airport/BEK:_49_km
Departures_from_Khairah/KYH Bareilly__Airport/BEK:_52_km
Departures_from_Kadipur_Sani_Halt/KDPS Bareilly__Airport/BEK:_56_km
Departures_from_Turki_Road/TZR Bareilly__Airport/BEK:_61_km
Departures_from_Pauta/PUF Bareilly__Airport/BEK:_64_km
Departures_from_Bhopatpur/BFPA Bareilly__Airport/BEK:_74_km
Departures_from_Sherganj/SNZ Jabalpur__Airport/JLR:_52_km
Departures_from_Bisalpur/BSUR Jabalpur__Airport/JLR:_43_km
Departures_from_Mighauna/MIW Dhanbad__Airport/DBD:_14_km
Departures_from_Zindpura/ZNP Belgaum__Airport/IXG:_51_km
Departures_from_Vazeerpur_Halt/VZPH Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_28_km
Departures_from_Nigohi/NOH Madurai__Airport/IXM:_52_km
Departures_from_Dhakia_Tiwari/DOT Bareilly__Airport/BEK:_79_km
Departures_from_Areli/ARX Gorakhpur__Airport/GOP:_102_km
