Departures_from_Gauri_Sriram/GSRM Gorakhpur__Airport/GOP:_77_km
Departures_from_Chaf_Halt/CHAF Gorakhpur__Airport/GOP:_67_km
Departures_from_Matia_Barghat_Halt/MTBG Gorakhpur__Airport/GOP:_39_km
Departures_from_Velachha/VLC Surat__Airport/STV:_37_km
Departures_from_Limbara/LMB Surat__Airport/STV:_42_km
Departures_from_Asarma/ASM Surat__Airport/STV:_45_km
Departures_from_Simodara/SMDR Surat__Airport/STV:_47_km
Departures_from_Mota_Miya_Mangrol/MNGV Surat__Airport/STV:_49_km
Departures_from_Vankal/VKL Surat__Airport/STV:_54_km
Departures_from_Zankhvav/ZKV Surat__Airport/STV:_62_km
Departures_from_Kevdi/KR Surat__Airport/STV:_77_km
Departures_from_Umarpada/UMPD Surat__Airport/STV:_80_km
Departures_from_Pratapnagar/PRTN Vadodara__Airport/BDQ:_7_km
Departures_from_Atladara/ATDA Vadodara__Airport/BDQ:_11_km
Departures_from_Bhaili/BALI Vadodara__Airport/BDQ:_13_km
Departures_from_Padra/PDRA Vadodara__Airport/BDQ:_19_km
Departures_from_Latipura/LPA Vadodara__Airport/BDQ:_22_km
Departures_from_Ranu_Pipri/RPP Vadodara__Airport/BDQ:_26_km
Departures_from_Bhoj_Padra/BHOJ Vadodara__Airport/BDQ:_35_km
Departures_from_Mobha_Road/MBH Vadodara__Airport/BDQ:_40_km
Departures_from_Kural/KORL Gorakhpur__Airport/GOP:_56_km
Departures_from_Masor_Road/MXD Gorakhpur__Airport/GOP:_66_km
Departures_from_Dohrighat/DIT Gorakhpur__Airport/GOP:_74_km
Departures_from_Amila/AMD Gorakhpur__Airport/GOP:_85_km
Departures_from_Ghosi/GSI New_Delhi_Indira_Gandhi_International_Airport/DEL:_27_km
Departures_from_Kopaganj/KPJ New_Delhi_Indira_Gandhi_International_Airport/DEL:_25_km
Departures_from_Farukhnagar/FN Akola__Airport/AKD:_53_km
Departures_from_Sultanpur_Kaliawas_Halt/STKW Srinagar__Airport/SXR:_20_km
Departures_from_Khamgaon/KMN Vadodara__Airport/BDQ:_45_km
Departures_from_Mazhama_Rajwansher/RWSR Vadodara__Airport/BDQ:_49_km
Departures_from_Bachar/BCHR Vadodara__Airport/BDQ:_54_km
Departures_from_Saniyad/SNAD Vadodara__Airport/BDQ:_59_km
Departures_from_Nareshwar_Road/NRUR Vadodara__Airport/BDQ:_52_km
Departures_from_Moti_Koral/MKRL Vadodara__Airport/BDQ:_45_km
Departures_from_Bodeli/BDE Vadodara__Airport/BDQ:_40_km
Departures_from_Jojwa/JJW Vadodara__Airport/BDQ:_37_km
Departures_from_Chhuchhapura_Junction/CCP Vadodara__Airport/BDQ:_35_km
Departures_from_Amalpur/AMLP Vadodara__Airport/BDQ:_74_km
Departures_from_Vadhvana/VAN Vadodara__Airport/BDQ:_69_km
Departures_from_Tankhala/TNKA Vadodara__Airport/BDQ:_55_km
Departures_from_Sandhia/SNDA Vadodara__Airport/BDQ:_52_km
Departures_from_Naswadi/NSW Vadodara__Airport/BDQ:_44_km
Departures_from_Kalediya/KLDA Bagdogra__Airport/IXB:_179_km
Departures_from_Ghantoli/GHTI Bagdogra__Airport/IXB:_172_km
Departures_from_Bhatpur/BTPR Bagdogra__Airport/IXB:_167_km
Departures_from_Gojapur_Sankheda/GPS Bagdogra__Airport/IXB:_161_km
Departures_from_Sher/SHER Madurai__Airport/IXM:_44_km
Departures_from_Bihariganj/BHGJ Amritsar_Raja_Sansi_Airport/ATQ:_16_km
Departures_from_Raghubans_Nagar/RBN Amritsar_Raja_Sansi_Airport/ATQ:_19_km
Departures_from_Barhara_Kothi/BAKT Patna__Airport/PAT:_86_km
Departures_from_Aurahi/AUI Coimbatore__Airport/CJB:_65_km
Departures_from_Melakkonnakkulam/MEKM Bhavnagar_Civil_Airport/BHU:_44_km
Departures_from_Majitha/MJTA Nasik_Gandhi_Nagar_Airport/ISK:_153_km
Departures_from_Kotla_Gujran/KTGN Nasik_Gandhi_Nagar_Airport/ISK:_158_km
Departures_from_Fagunagaon/FGN Bagdogra__Airport/IXB:_42_km
Departures_from_Maharajganj/MGZ Nagpur_Sonegaon_Airport/NAG:_101_km
Departures_from_Madattukulam/MDKM Bagdogra__Airport/IXB:_28_km
Departures_from_Dahej/DHF Bagdogra__Airport/IXB:_54_km
Departures_from_Choupale/CUE Bagdogra__Airport/IXB:_66_km
Departures_from_Vikhran/VKH Cooch_Behar__Airport/CDP:_71_km
Departures_from_Ghugus/GGS Cooch_Behar__Airport/CDP:_47_km
Departures_from_Indargarh/IDGH Cooch_Behar__Airport/CDP:_42_km
Departures_from_To_Darjeeling/DJRZ Cooch_Behar__Airport/CDP:_38_km
Departures_from_Jawaharnagar/JWHR Cooch_Behar__Airport/CDP:_34_km
Departures_from_Tirodi/TRDI Cooch_Behar__Airport/CDP:_11_km
Departures_from_Sivok/SVQ Vadodara__Airport/BDQ:_51_km
Departures_from_Chalsa_Jn/CLD Bareilly__Airport/BEK:_93_km
Departures_from_Nagrakata/NKB Ahmedabad_Sardar_Patel_Airport/AMD:_57_km
Departures_from_Banarhat/BNQ Ahmedabad_Sardar_Patel_Airport/AMD:_59_km
Departures_from_Madarihat/MDT Allahabad_Bamrauli_Airport/IXD:_85_km
Departures_from_Hamilton_Ganj/HOJ Ahmedabad_Sardar_Patel_Airport/AMD:_45_km
Departures_from_Kalchini/KCF Lucknow_Amausi_Airport/LKO:_120_km
Departures_from_Raja_Bhat_Khawa/RVK Gwalior__Airport/GWL:_53_km
Departures_from_Baneswar/BSW Gorakhpur__Airport/GOP:_110_km
Departures_from_/ Bhubaneswar__Airport/BBI:_28_km
Departures_from_Boddavara/BDVR Mysore_Mandakalli_Airport/MYQ:_5_km
Departures_from_Anakhi/ANKI Agra_Kheria_Airport/AGR:_43_km
Departures_from_Akelahanspur_Halt/ALNP Agra_Kheria_Airport/AGR:_37_km
Departures_from_Ghelda/GLD Agra_Kheria_Airport/AGR:_31_km
Departures_from_Bhesana_Manknaj/BSKN Agra_Kheria_Airport/AGR:_16_km
Departures_from_Bahilpurwa/BIP Agra_Kheria_Airport/AGR:_5_km
Departures_from_Mahudha/MHUA Jaipur_Sanganer_Airport/JAI:_130_km
Departures_from_Yogendra_Dham_Halt/YEAM Guna__Airport/GUX:_96_km
Departures_from_Itehar/AAH Vadodara__Airport/BDQ:_40_km
Departures_from_Swami_Narayan_Chhapia/SNC Madurai__Airport/IXM:_80_km
Departures_from_Jenapur_Road/JPRD Tiruchirapalli__Airport/TRZ:_69_km
Departures_from_Sri_Krishna_Janam_St/SKJS Cochin_International_Nedumbassery_Airport/COK:_48_km
