Departures_from_Obalapuram/OBM Bellary__Airport/BEP:_30_km
Departures_from_Bhuteshwar/BSTR Varanasi_Babatpur_Airport/VNS:_48_km
Departures_from_Taraon/TRN Sholapur__Airport/SSE:_138_km
Departures_from_Angadgeri_Halt/ANGR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_28_km
Departures_from_Subhas_Gram/SBGR Udaipur__Airport/UDR:_98_km
Departures_from_Det/DET Raipur__Airport/RPR:_199_km
Departures_from_Soniyana/SNYN Surat__Airport/STV:_84_km
Departures_from_Balangir_Road/BNRD Bellary__Airport/BEP:_40_km
Departures_from_Dhuwala/DWL Bhopal__Airport/BHO:_88_km
Departures_from_Lakkad_Kot/LKKD Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_56_km
Departures_from_Sankaragummanur_Halt/SNKG Cochin_International_Nedumbassery_Airport/COK:_60_km
Departures_from_Udyan_Kheri/UDK Chennai_Meenambakkam_Airport/MAA:_34_km
Departures_from_Palasdhari/PDI Bhopal__Airport/BHO:_107_km
Departures_from_Tiruvizha/TRVZ Allahabad_Bamrauli_Airport/IXD:_68_km
Departures_from_Nandiambakkam/NPKM Visakhapatnam_Visakhapatnam_Airport/VTZ:_3_km
Departures_from_Saheli/SAHL Khajuraho__Airport/HJR:_69_km
Departures_from_Arkha/ARKA Khajuraho__Airport/HJR:_80_km
Departures_from_Gopalapatnam/GPT Khajuraho__Airport/HJR:_29_km
Departures_from_Chithari_Halt/CHIT Khajuraho__Airport/HJR:_10_km
Departures_from_Raghouli/RGLI Gwalior__Airport/GWL:_12_km
Departures_from_Singhpur_Dumra/SPDM Gwalior__Airport/GWL:_10_km
Departures_from_Rajnagar/RJAK Gwalior__Airport/GWL:_14_km
Departures_from_Ghosipura/GOPA Gwalior__Airport/GWL:_17_km
Departures_from_Motijheel/MTJL Gwalior__Airport/GWL:_26_km
Departures_from_Milaoli/MIAL Gwalior__Airport/GWL:_34_km
Departures_from_Bamour_Gaon/BMZ Gwalior__Airport/GWL:_45_km
Departures_from_Ambikeshwar/ABE Gwalior__Airport/GWL:_52_km
Departures_from_Sumaoli/SMV Gwalior__Airport/GWL:_64_km
Departures_from_Jora_Alapur/JPO Gwalior__Airport/GWL:_74_km
Departures_from_Bhatpura/BHAT Gwalior__Airport/GWL:_79_km
Departures_from_Kailaras/KQS Gwalior__Airport/GWL:_86_km
Departures_from_Semai/SYF Kota__Airport/KTU:_128_km
Departures_from_Pipalwali_Chowk/PPCK Gwalior__Airport/GWL:_148_km
Departures_from_Sabalgarh/SBL Gwalior__Airport/GWL:_143_km
Departures_from_Girdharpur/GIW Gwalior__Airport/GWL:_147_km
Departures_from_Khojeepura/KJP Gwalior__Airport/GWL:_137_km
Departures_from_Seroni_Road/SEX Gwalior__Airport/GWL:_127_km
Departures_from_Tarrakalan/TKLN Gwalior__Airport/GWL:_111_km
Departures_from_Ikdori/IKD Gwalior__Airport/GWL:_119_km
Departures_from_Sillipur/SPRA Gwalior__Airport/GWL:_99_km
Departures_from_Birpur/BIB Gwalior__Airport/GWL:_93_km
Departures_from_Kaimarkalan/KAKN Bhubaneswar__Airport/BBI:_84_km
Departures_from_Bijaipur_Road/BJPR Pune_Lohegaon_Airport/PNQ:_86_km
Departures_from_Rampahari/RMPH Bagdogra__Airport/IXB:_49_km
Departures_from_Bogada/BGDA Bagdogra__Airport/IXB:_58_km
Departures_from_Sape_Wamne/SAPE Bagdogra__Airport/IXB:_63_km
Departures_from_New_Domohani/NQH Cooch_Behar__Airport/CDP:_51_km
Departures_from_Betgara/BYXA Cooch_Behar__Airport/CDP:_44_km
Departures_from_Altagram/ATM Cooch_Behar__Airport/CDP:_14_km
Departures_from_Kolai_Gram/KLGR Cooch_Behar__Airport/CDP:_12_km
Departures_from_Salbari/SXX Cooch_Behar__Airport/CDP:_9_km
Departures_from_Sajherpar/SJRR Cooch_Behar__Airport/CDP:_25_km
Departures_from_Pundibari/PQZ Cooch_Behar__Airport/CDP:_38_km
Departures_from_New_Baneswar/NBS Rupsi__Airport/RUP:_33_km
