Departures_from_Olapur/OLP Patna__Airport/PAT:_135_km
Departures_from_Imli/IMLI Patna__Airport/PAT:_128_km
Departures_from_Pagidirai/PGDI Bellary__Airport/BEP:_82_km
Departures_from_Belda/BLDA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_138_km
Departures_from_Kopar_Road/KOPR Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_27_km
Departures_from_Namtiali/NMT Jorhat_Rowriah_Airport/JRH:_49_km
Departures_from_Goindwal_Sahib/GWSB Amritsar_Raja_Sansi_Airport/ATQ:_52_km
Departures_from_Serndanur/SXR Chennai_Meenambakkam_Airport/MAA:_151_km
Departures_from_Thiruthuraiyur/TUY Chennai_Meenambakkam_Airport/MAA:_155_km
Departures_from_Melpattam_Bakkam/MBU Chennai_Meenambakkam_Airport/MAA:_155_km
Departures_from_Nellikuppan/NPM Chennai_Meenambakkam_Airport/MAA:_154_km
Departures_from_Varakalpattu/VKP Chennai_Meenambakkam_Airport/MAA:_153_km
Departures_from_Capper_Quarry/CQS Tiruchirapalli__Airport/TRZ:_160_km
Departures_from_Alapakam/ALP Tiruchirapalli__Airport/TRZ:_153_km
Departures_from_Puduchatiram/PUC Tiruchirapalli__Airport/TRZ:_148_km
Departures_from_Parangipettai/PO Tiruchirapalli__Airport/TRZ:_144_km
Departures_from_Kille/KII Tiruchirapalli__Airport/TRZ:_140_km
Departures_from_Vallampadugai/VMP Tiruchirapalli__Airport/TRZ:_133_km
Departures_from_Kollidam/CLN Tiruchirapalli__Airport/TRZ:_133_km
Departures_from_Anandatandavapuram/ANP Tiruchirapalli__Airport/TRZ:_117_km
Departures_from_Nidur/NID Tiruchirapalli__Airport/TRZ:_115_km
Departures_from_Delhi_Anand_Vihar_Terminal/ANVT New_Delhi_Indira_Gandhi_International_Airport/DEL:_24_km
Departures_from_Nilaje/NIIJ Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_25_km
Departures_from_Ezhukone/EKN Trivandrum_International_Airport/TRV:_62_km
Departures_from_Kundara_East/KFV Trivandrum_International_Airport/TRV:_63_km
Departures_from_Chandanattop_Halt/CTPE Trivandrum_International_Airport/TRV:_61_km
Departures_from_Kilikollur/KLQ Trivandrum_International_Airport/TRV:_61_km
Departures_from_Vallivedu/VLV Tirupati__Airport/TIR:_55_km
Departures_from_Battulapuram/BTM Bengaluru__Airport/BLR:_94_km
Departures_from_Chander_Nagar/CNJ New_Delhi_Indira_Gandhi_International_Airport/DEL:_27_km
Departures_from_Sree_Saradanagar_Hal/SSNH Mysore_Mandakalli_Airport/MYQ:_123_km
Departures_from_Konanur/KRNU Mysore_Mandakalli_Airport/MYQ:_30_km
Departures_from_Sadura/SDUA Srinagar__Airport/SXR:_50_km
Departures_from_Chandanagar/CDNR Hyderabad_Begumpet_Airport/HYD:_32_km
Departures_from_Hitech_City/HTCY Hyderabad_Begumpet_Airport/HYD:_29_km
Departures_from_Borabanda/BRBD Hyderabad_Begumpet_Airport/HYD:_27_km
Departures_from_Bharat_Nagar/BTNR Hyderabad_Begumpet_Airport/HYD:_27_km
Departures_from_Nature_Cure_Hospital/NCHS Hyderabad_Begumpet_Airport/HYD:_25_km
Departures_from_Sanjivaiah_Park/SJVP Hyderabad_Begumpet_Airport/HYD:_25_km
Departures_from_Necklace_Road/NLRD Hyderabad_Begumpet_Airport/HYD:_23_km
Departures_from_Lakdikapul/LKPL Hyderabad_Begumpet_Airport/HYD:_21_km
Departures_from_Tikra_Ph/TKRA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_152_km
Departures_from_Badalpur_Ph/BDPA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_142_km
Departures_from_Sujalpur/SJPA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_135_km
Departures_from_Deshapran_P.H./DSPN Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_100_km
Departures_from_Nandakumar_P.H./NDKR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_78_km
Departures_from_Kalv_Amba/KMB Surat__Airport/STV:_77_km
Departures_from_Modasa/MDSA Ahmedabad_Sardar_Patel_Airport/AMD:_85_km
Departures_from_Dhansura/DNUA Ahmedabad_Sardar_Patel_Airport/AMD:_69_km
Departures_from_Beyad/BAYD Ahmedabad_Sardar_Patel_Airport/AMD:_64_km
Departures_from_Kashipura/KSUA Ahmedabad_Sardar_Patel_Airport/AMD:_63_km
Departures_from_/ Bhubaneswar__Airport/BBI:_76_km
Departures_from_Chhanva/CHHU Visakhapatnam_Visakhapatnam_Airport/VTZ:_132_km
Departures_from_Brahamani_Ph/BRMI Nanded__Airport/NDC:_40_km
Departures_from_Dumuriput/DMRT Dhanbad__Airport/DBD:_107_km
Departures_from_Devthana/DVN Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_102_km
Departures_from_Chander_P.H./CNRF Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_100_km
Departures_from_Srirampur_P.H./SIMR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_91_km
Departures_from_Shankrul/SHKL Indore__Airport/IDR:_42_km
Departures_from_Sahaspur_Road/SHJ Tiruchirapalli__Airport/TRZ:_78_km
Departures_from_Kaiyar/KYB Aizawl__Airport/AJL:_91_km
Departures_from_Ajitkhedi/AJKI Dhanbad__Airport/DBD:_16_km
Departures_from_Tiruchitrambalam/TCT Bhubaneswar__Airport/BBI:_152_km
Departures_from_Pencharthal/PEC Bhubaneswar__Airport/BBI:_137_km
Departures_from_Nichitpur/NPJE Bhubaneswar__Airport/BBI:_116_km
Departures_from_Basantapur/BSTP Bhubaneswar__Airport/BBI:_115_km
Departures_from_Nilakantheswar/NKW Bhubaneswar__Airport/BBI:_107_km
Departures_from_Chilikidara/CLDR Bhubaneswar__Airport/BBI:_95_km
Departures_from_Sagadapata/SGDP Khajuraho__Airport/HJR:_99_km
Departures_from_Tangiriapal/TGRL Cochin_International_Nedumbassery_Airport/COK:_86_km
Departures_from_Baghuapal/BGPL Patna__Airport/PAT:_121_km
Departures_from_Hati/HATI Ranchi__Airport/IXR:_31_km
Departures_from_Punnapura/PNPR Hyderabad_Begumpet_Airport/HYD:_150_km
Departures_from_Bijuli_Halt/BJIH Salem__Airport/SXV:_106_km
Departures_from_Jonha/JONA Bhubaneswar__Airport/BBI:_27_km
Departures_from_Kazipet_Town/KZJT Bhubaneswar__Airport/BBI:_100_km
Departures_from_Kotturu/KTY Bhubaneswar__Airport/BBI:_70_km
Departures_from_Sarpeswar_Ph/SPSR Vadodara__Airport/BDQ:_27_km
Departures_from_Talcher_Thermal/TTPT Vadodara__Airport/BDQ:_19_km
Departures_from_Mahadia_Ph/MHDB Vadodara__Airport/BDQ:_16_km
Departures_from_Thuwavi/TWV Dhanbad__Airport/DBD:_21_km
Departures_from_Kundhela/KDHL Aizawl__Airport/AJL:_98_km
Departures_from_Kelanpur/KEP Silchar_Kumbirgram_Airport/IXS:_91_km
Departures_from_Sindri_Town/SNDT Silchar_Kumbirgram_Airport/IXS:_84_km
Departures_from_Nadiapur/NPU Silchar_Kumbirgram_Airport/IXS:_82_km
Departures_from_Tilbhum/TBX Silchar_Kumbirgram_Airport/IXS:_76_km
Departures_from_Chandkhira_Bagn/CHBN Silchar_Kumbirgram_Airport/IXS:_73_km
Departures_from_Kalkalighat/KKGT Silchar_Kumbirgram_Airport/IXS:_71_km
Departures_from_Kanaibazar/KNBR Silchar_Kumbirgram_Airport/IXS:_69_km
Departures_from_Baraigram_Junction/BRGM Silchar_Kumbirgram_Airport/IXS:_63_km
Departures_from_Kayasthagram/KTGM Silchar_Kumbirgram_Airport/IXS:_53_km
Departures_from_Nilambazar/NLBR Silchar_Kumbirgram_Airport/IXS:_51_km
Departures_from_Chargola/CGX Hyderabad_Begumpet_Airport/HYD:_27_km
Departures_from_Bhanga/BXG Gwalior__Airport/GWL:_93_km
Departures_from_Rupasibari/RPB Agra_Kheria_Airport/AGR:_86_km
Departures_from_Lallaguda/LGD Agra_Kheria_Airport/AGR:_68_km
Departures_from_Sirmuttra/SRMT Agra_Kheria_Airport/AGR:_69_km
Departures_from_Ranpura/RNB Agra_Kheria_Airport/AGR:_64_km
Departures_from_Mohari_Junction/MHF Agra_Kheria_Airport/AGR:_62_km
Departures_from_Bari/BARI Jaipur_Sanganer_Airport/JAI:_57_km
Departures_from_Soorothee/SRTE Jaipur_Sanganer_Airport/JAI:_57_km
Departures_from_Garhi_Sandra/GIS Jaipur_Sanganer_Airport/JAI:_60_km
Departures_from_Peeplee-ka-bas/PKBS Jaipur_Sanganer_Airport/JAI:_62_km
Departures_from_Khandel/KNDL Jaipur_Sanganer_Airport/JAI:_64_km
Departures_from_Bheslana/BILA Jaipur_Sanganer_Airport/JAI:_100_km
Departures_from_Pacharmalikpura/PCMK Jaipur_Sanganer_Airport/JAI:_115_km
Departures_from_Kishan_Manpura/KMNP New_Delhi_Indira_Gandhi_International_Airport/DEL:_125_km
Departures_from_Bhagega/BAGA New_Delhi_Indira_Gandhi_International_Airport/DEL:_108_km
Departures_from_Maonda/MADA New_Delhi_Indira_Gandhi_International_Airport/DEL:_92_km
Departures_from_Amarpur_Jorasi/APJ New_Delhi_Indira_Gandhi_International_Airport/DEL:_87_km
Departures_from_Mirzapur_Bachhaud/MBV New_Delhi_Indira_Gandhi_International_Airport/DEL:_75_km
Departures_from_Kathuwas/KTWS Nagpur_Sonegaon_Airport/NAG:_114_km
Departures_from_Kund/KUND Nagpur_Sonegaon_Airport/NAG:_145_km
Departures_from_Khori/KORI Nagpur_Sonegaon_Airport/NAG:_139_km
Departures_from_Katangi/KGE Agra_Kheria_Airport/AGR:_65_km
Departures_from_Hatra_Road/HTT Agra_Kheria_Airport/AGR:_62_km
Departures_from_Birsola/BRA Agra_Kheria_Airport/AGR:_63_km
Departures_from_Baseri/BED Indore__Airport/IDR:_48_km
Departures_from_Bagthar/BFG Rupsi__Airport/RUP:_31_km
Departures_from_Tantpur/TPO Rupsi__Airport/RUP:_23_km
Departures_from_Ranyal_Jasmiya/RCJ Rupsi__Airport/RUP:_14_km
Departures_from_Sapatgram/SPX Rupsi__Airport/RUP:_6_km
Departures_from_Tipkai/TPK Rupsi__Airport/RUP:_5_km
Departures_from_Monglajhora/MONJ Rupsi__Airport/RUP:_9_km
Departures_from_Basbari/BSI Rupsi__Airport/RUP:_9_km
Departures_from_Moterjhar/MTJR Rupsi__Airport/RUP:_16_km
